feature,permutation_train,permutation_test,gini
W1,-0.017393899118061884,0.0029015894551803756,0.014540801459036022
W1_err,-0.02030083712665598,0.0007427296539955774,0.006464150113374726
g_cmodel_mag,-0.021535611573230695,0.0006251529698427793,0.005070224456117946
r_cmodel_mag,-0.01930407568860082,0.002752102077018148,0.02160528294753693
i_cmodel_mag,-0.018474735372889906,0.003939759178000712,0.008910933907382443
z_cmodel_mag,-0.01876929447299769,0.002273523340979078,0.00773528541299233
y_cmodel_mag,-0.020024589051312214,0.0014369616431951782,0.006218988477209909
g_cmodel_magsigma,-0.02168496958512578,8.50020786294925e-05,0.0024457940192986775
r_cmodel_magsigma,-0.021253864348928397,0.0005153317335350183,0.007667060562644525
i_cmodel_magsigma,-0.02206874628054656,0.0001005848941721954,0.0015219655361218517
z_cmodel_magsigma,-0.021677043477114966,4.314456174325798e-06,0.0033842153466593595
y_cmodel_magsigma,-0.02177690987177694,2.55121266350411e-05,0.003149479368585723
g_cmodel_fracdev,-0.021806413759988375,0.00016338954459027555,0.0010348044148867559
r_cmodel_fracdev,-0.021390633172420848,0.0002734051279954519,0.002039382191639246
i_cmodel_fracdev,-0.020166242138196844,0.0006988584350385851,0.006875648404216278
z_cmodel_fracdev,-0.021355122401288562,0.00024442398402657606,0.0020446538427699923
y_cmodel_fracdev,-0.021927115731900537,0.00017382381851294149,0.0013412311233372025
g_kronflux_mag,-0.021836599533937684,0.00017848581885326897,0.003351134911648119
r_kronflux_mag,-0.018959734673179907,0.002401441773404067,0.018776471462735315
i_kronflux_mag,-0.01980738361480605,0.0023923313588120054,0.00900665502043723
z_kronflux_mag,-0.019855449397858105,0.0013988891519632896,0.006720653116001441
y_kronflux_mag,-0.020620057204295716,0.0007233165625669669,0.005518173018998316
g_kronflux_magsigma,-0.02195103170804369,0.00012034022678686362,0.0022120954726180635
r_kronflux_magsigma,-0.020571260153806614,0.0010590040817163304,0.01839179063451777
i_kronflux_magsigma,-0.02185310757388026,9.029475165267531e-05,0.0018735281062935226
z_kronflux_magsigma,-0.02136751777647239,-4.109556411824311e-05,0.0050659795603550965
y_kronflux_magsigma,-0.02174623596066627,3.3780814023831596e-06,0.0029180169914092644
i_kronflux_radius,-0.02186297800023218,2.682360638384118e-06,0.0012369089664316958
r_sdssshape_shape11,-0.021963322207427027,-1.2799285922349135e-05,0.0010086493740006626
i_sdssshape_shape11,-0.022103519657451054,5.9575987971793865e-06,0.0010051039205926878
z_sdssshape_shape11,-0.022012082352610984,6.227187746232765e-06,0.0009509587239398172
y_sdssshape_shape11,-0.02201773501287929,1.4655311101896551e-05,0.0009543927865556815
r_sdssshape_shape12,-0.02234538298620181,-9.159409772308003e-06,0.0009325612717022528
i_sdssshape_shape12,-0.021964400215705004,-1.1154403847024597e-05,0.0008890093656691795
z_sdssshape_shape12,-0.02214128664349413,-9.124855514852648e-06,0.0008883791323260313
y_sdssshape_shape12,-0.02206812627645116,2.9327815378454858e-06,0.0009258487240428385
r_sdssshape_shape22,-0.022028261631983237,7.974771612173637e-05,0.0010564747063937278
i_sdssshape_shape22,-0.02198392986053388,6.738435493669481e-05,0.0009469174968807459
z_sdssshape_shape22,-0.02196781275854609,-3.6828826524004654e-06,0.0009528995076460315
y_sdssshape_shape22,-0.022126902608946675,4.7832629408328664e-05,0.0009722569436876658
r_sdssshape_shape11sigma,-0.022237998607183118,-4.254426418381918e-05,0.0010883753076319877
i_sdssshape_shape11sigma,-0.02184211401984426,7.099028696699872e-05,0.0009898907394655316
z_sdssshape_shape11sigma,-0.02195075262549684,8.825394262301778e-05,0.001126981599838518
y_sdssshape_shape11sigma,-0.021978900217463848,7.963003480193631e-05,0.0010579950544203696
r_sdssshape_shape12sigma,-0.02174140928376367,2.2833952840750626e-06,0.001076041882181159
i_sdssshape_shape12sigma,-0.02226987605976638,8.49946887621078e-05,0.0010149575464206784
z_sdssshape_shape12sigma,-0.021935847876125236,3.4165930755003515e-05,0.0015214804205853842
y_sdssshape_shape12sigma,-0.022041418929785617,6.077816558547333e-05,0.001622309538540058
r_sdssshape_shape22sigma,-0.022136912778141005,4.893200853173241e-06,0.001153452056358554
i_sdssshape_shape22sigma,-0.02168079287192204,0.00014827532058714343,0.0012027955459069759
z_sdssshape_shape22sigma,-0.021068220472573507,0.00027651329411881864,0.002952155009031816
y_sdssshape_shape22sigma,-0.0214476601584056,0.0002119635751062221,0.0035187291189400383
gr,0.14378644133933405,0.15798452014510433,0.1032773554390099
ri,0.11138262723091519,0.13116821588149985,0.08646045077214853
iz,0.025972407859814473,0.04995187001178325,0.045357522733813924
zy,-0.017379835178443215,0.004772886863551373,0.009459884450286019
W1g,-0.007927820318589185,0.01668125185238778,0.0359333185088725
W1r,0.021500342850797494,0.04649481904234787,0.07986201179357465
W1i,-0.007769087406465425,0.014890603414088543,0.03628095653516045
W1z,-0.016814573788776377,0.005044667943429615,0.020453809923669863
W1y,-0.01794127372450094,0.0039526143650220336,0.014376603752529225
z_cl_near,0.5632790128238496,0.5715576937220925,0.36160816147292096
