feature,permutation_train,permutation_test,gini
W1,0.041912004649500546,0.005090056,0.029515347
W1_err,0.03524739261770512,0.002519386,0.023112821
g_cmodel_mag,0.03630867015176616,0.002671676,0.014779479
r_cmodel_mag,0.021651751800449943,0.000733979,0.012018457
i_cmodel_mag,0.025599609599096018,0.00236151,0.013787071
z_cmodel_mag,0.02761211801559793,0.004290165,0.018640821
y_cmodel_mag,0.02665011686218377,0.003885748,0.018622789
g_cmodel_magsigma,0.037846962035928265,0.002087108,0.015215074
r_cmodel_magsigma,0.018479416371559216,0.000576499,0.011410041
i_cmodel_magsigma,0.02124704600561463,0.00034342,0.011943224
z_cmodel_magsigma,0.02515022581134115,0.001078807,0.015487977
y_cmodel_magsigma,0.02634686836707963,0.001191306,0.016296055
g_cmodel_fracdev,0.019529578335587255,0.00377813,0.007583154
r_cmodel_fracdev,0.0297311073833512,0.007108478,0.012769293
i_cmodel_fracdev,0.04383807595050563,0.002542327,0.017652091
z_cmodel_fracdev,0.037027049609783015,0.001976386,0.017309495
y_cmodel_fracdev,0.023395260876972673,0.001197346,0.011092401
g_kronflux_mag,0.041010838981829924,0.003359211,0.016103876
r_kronflux_mag,0.023265704182481566,0.000944037,0.012046568
i_kronflux_mag,0.026771250599602725,0.002926151,0.014159481
z_kronflux_mag,0.029062562226429407,0.004030057,0.017856846
y_kronflux_mag,0.029526886250402784,0.004272466,0.017642029
g_kronflux_magsigma,0.041386874595692937,0.002777577,0.0152349
r_kronflux_magsigma,0.02039622565702674,0.000650266,0.011851323
i_kronflux_magsigma,0.021814141603549848,0.000416069,0.011848561
z_kronflux_magsigma,0.02490888903156478,0.001012824,0.014786003
y_kronflux_magsigma,0.02452125065067982,0.000900963,0.014711264
i_kronflux_radius,0.018768920740894385,0.001181042,0.012304296
r_sdssshape_shape11,0.015642489008750465,0.000750584,0.011696948
i_sdssshape_shape11,0.016847298406704958,0.00040226,0.011450706
z_sdssshape_shape11,0.014494752074865355,0.000313792,0.011271662
y_sdssshape_shape11,0.01888050637850458,0.000544154,0.011547348
r_sdssshape_shape12,0.01161635900125372,0.000154511,0.011381593
i_sdssshape_shape12,0.011790187481619122,0.000131265,0.011190831
z_sdssshape_shape12,0.011950221746212297,5.45e-05,0.011219925
y_sdssshape_shape12,0.01207192075774973,0.000143334,0.011358511
r_sdssshape_shape22,0.01508334208432586,0.000546428,0.011676956
i_sdssshape_shape22,0.017255350232233162,0.000370105,0.011460992
z_sdssshape_shape22,0.0145406247693232,0.000479774,0.011144812
y_sdssshape_shape22,0.017167212503620483,0.000314057,0.011574643
r_sdssshape_shape11sigma,0.015548776286914756,0.000928624,0.011149456
i_sdssshape_shape11sigma,0.019560884607056257,0.000344198,0.011938682
z_sdssshape_shape11sigma,0.021443449355992555,0.00060514,0.013388746
y_sdssshape_shape11sigma,0.027773291900373216,0.0009376,0.01636581
r_sdssshape_shape12sigma,0.015533398126242659,0.000754988,0.011113569
i_sdssshape_shape12sigma,0.0200027199960372,0.000476995,0.011758353
z_sdssshape_shape12sigma,0.023849346189704097,0.000712327,0.013574664
y_sdssshape_shape12sigma,0.028700755915305704,0.000880401,0.016724716
r_sdssshape_shape22sigma,0.016405313217325707,0.000869477,0.011142783
i_sdssshape_shape22sigma,0.024689991056665844,0.000957322,0.013372421
z_sdssshape_shape22sigma,0.031052885972773225,0.00131966,0.01653933
y_sdssshape_shape22sigma,0.04086528492961927,0.001931233,0.023962564
gr,0.16589264639730417,0.04691526,0.074810976
ri,0.09556182755450378,0.016239163,0.056608113
iz,0.04731319983419169,0.00604292,0.023175369
zy,0.02512430741288722,0.002100822,0.014574634
W1g,0.053240185590931355,0.00715556,0.026801553
W1r,0.035226116374982776,0.003440308,0.020686851
W1i,0.02943225719195149,0.002582958,0.016596498
W1z,0.025759979959941726,0.002778744,0.01625369
W1y,0.024564685818041016,0.003155085,0.016705558
