feature,permutation_train,permutation_test,gini
W1,0.005791770408108521,0.004613567,0.011779584
W1_err,0.003431720112721267,0.00206043,0.00829438
g_cmodel_mag,0.001744307807352204,0.000163523,0.00492727
r_cmodel_mag,0.0015311890473656369,0.000349335,0.004530193
i_cmodel_mag,0.0012626074934130778,0.000405173,0.004396665
z_cmodel_mag,0.001664595665948232,0.000891592,0.005086416
y_cmodel_mag,0.0018474526120103214,0.000732655,0.005238946
g_cmodel_magsigma,0.002496043168570994,0.000298213,0.005423256
r_cmodel_magsigma,0.0017423487095106955,0.000223031,0.004636714
i_cmodel_magsigma,0.0011179144913229984,7.48e-06,0.004144714
z_cmodel_magsigma,0.0011306610706699471,9.44e-05,0.004318039
y_cmodel_magsigma,0.001381389105802285,0.000162755,0.004710151
g_cmodel_fracdev,0.0007969406104991009,1.97e-05,0.00228638
r_cmodel_fracdev,0.0016499332900018853,8.44e-05,0.003348904
i_cmodel_fracdev,0.002831542077278315,0.000217325,0.004488153
z_cmodel_fracdev,0.002847199933075769,0.000118817,0.004646647
y_cmodel_fracdev,0.0016980173666274467,1.23e-05,0.003558855
g_kronflux_mag,0.0017137634271526074,0.000125264,0.00489961
r_kronflux_mag,0.0015188212794449152,0.000303764,0.004547684
i_kronflux_mag,0.0013003082035046853,0.000386186,0.004433058
z_kronflux_mag,0.0015699993886102808,0.000679204,0.004822253
y_kronflux_mag,0.0017145244609941084,0.000589978,0.005052006
g_kronflux_magsigma,0.0025482343924297934,0.000254033,0.005414236
r_kronflux_magsigma,0.0018825600517528758,0.000228773,0.004727395
i_kronflux_magsigma,0.0010900248773229408,3.47e-05,0.004145888
z_kronflux_magsigma,0.001101151004849199,3.28e-05,0.004209828
y_kronflux_magsigma,0.0012762617056787755,0.000134667,0.004586094
i_kronflux_radius,0.0010922762281618075,1.31e-06,0.004691837
r_sdssshape_shape11,0.001023616044379616,6.32e-05,0.004645984
i_sdssshape_shape11,0.001031949375772075,7.95e-06,0.004538639
z_sdssshape_shape11,0.0010907398949348002,-3.09e-06,0.004765245
y_sdssshape_shape11,0.001018907027140618,3.74e-05,0.004713031
r_sdssshape_shape12,0.0009673140035845185,-4.7e-06,0.0047928
i_sdssshape_shape12,0.0009629544640958146,-2.13e-06,0.004714962
z_sdssshape_shape12,0.000956377013810128,-7.75e-05,0.004717484
y_sdssshape_shape12,0.0009840884470999252,-1.95e-05,0.004799121
r_sdssshape_shape22,0.0010228669939863118,3.66e-05,0.004724199
i_sdssshape_shape22,0.0010554126990690953,1.5e-05,0.00455656
z_sdssshape_shape22,0.0010506025942795076,1.97e-05,0.004760275
y_sdssshape_shape22,0.0010778668327360668,3.89e-05,0.004772128
r_sdssshape_shape11sigma,0.0012458337009899993,1.99e-05,0.00454479
i_sdssshape_shape11sigma,0.0009982562403447008,4.31e-05,0.004253192
z_sdssshape_shape11sigma,0.001282369119889289,4.18e-05,0.00469936
y_sdssshape_shape11sigma,0.0012921033400545106,5.06e-05,0.004749248
r_sdssshape_shape12sigma,0.001202134868579748,9.47e-06,0.004501951
i_sdssshape_shape12sigma,0.0011222040264800004,-2.03e-05,0.004436277
z_sdssshape_shape12sigma,0.0011702804322046105,7.59e-05,0.004435729
y_sdssshape_shape12sigma,0.0015263640276962365,3.46e-05,0.005152464
r_sdssshape_shape22sigma,0.0011633947736030177,-2.5e-06,0.004394987
i_sdssshape_shape22sigma,0.0009296636844281133,2.56e-05,0.004065931
z_sdssshape_shape22sigma,0.0013894122632657584,7.31e-05,0.004757792
y_sdssshape_shape22sigma,0.001778739997735627,8.13e-05,0.00528837
gr,0.008863913006891341,0.001612816,0.014015185
ri,0.009741380841289024,0.003786206,0.01754568
iz,0.00862957053567496,0.002307415,0.013292582
zy,0.001585279395308022,9.09e-05,0.005627495
W1g,0.005989452197458019,0.003267393,0.014660236
W1r,0.006757479821210481,0.003533593,0.012442254
W1i,0.0039781404052918745,0.001133305,0.008765359
W1z,0.0027605650453828754,0.000535202,0.00703331
W1y,0.0023141861230455696,0.000399349,0.006583009
sigma_5,0.004047058106832295,0.000866775,0.008939421
sigma_3,0.002686925669879566,0.000321051,0.007263136
sigma_7,0.006221014771060444,0.002056273,0.011024264
sigma_10,0.009509080403857598,0.004442019,0.013627987
sigma_3_1000,0.0035879534661690617,0.000225749,0.01213109
sigma_5_1000,0.0026830370420670344,0.000199603,0.008823665
sigma_7_1000,0.0031570427974334514,0.000334388,0.010622278
sigma_10_1000,0.0028817933314219855,0.000600535,0.008470853
sigma_3_3000,0.00870115197973135,0.000973024,0.034665023
sigma_5_3000,0.008531202335377483,0.001048167,0.030159212
sigma_7_3000,0.00795693480329196,0.0015697,0.025872734
sigma_10_3000,0.006080718024920236,0.001749275,0.018061281
sigma_3_5000,0.01023806919190214,0.001605643,0.043306775
sigma_5_5000,0.01438194949774955,0.003341711,0.052255835
sigma_7_5000,0.019329518401445627,0.007712625,0.061580275
sigma_10_5000,0.021158978332750933,0.011866137,0.049383473
sigma_3_10000,0.012511673448154995,0.003272986,0.047591258
sigma_5_10000,0.02650663624040787,0.015175079,0.089109585
sigma_7_10000,0.06142499303093477,0.051468803,0.118021066
