feature,permutation_train,permutation_test,gini
W1,-0.017465613900428667,0.0021909223959966084,0.026442986499189927
W1_err,-0.02003470181057032,9.104601548992619e-05,0.016297194388203314
g_cmodel_mag,-0.01986537018940604,0.00018339246283116672,0.0020284630234408576
r_cmodel_mag,-0.020171299108254992,8.434326508499623e-05,0.0018177551562893852
i_cmodel_mag,-0.018186034355391012,0.001352317614431442,0.009368465917161083
z_cmodel_mag,-0.018909535539848754,0.0004187148581806799,0.016888246895758675
y_cmodel_mag,-0.02104215757510164,0.00012515510884325565,0.00937370236809605
g_cmodel_magsigma,-0.01896508942101416,0.00021550117195456853,0.002140961825246301
r_cmodel_magsigma,-0.020716077003561373,6.526656946803655e-05,0.0016434166195274907
i_cmodel_magsigma,-0.020798968638822024,0.00010047625918341296,0.0023379665545868156
z_cmodel_magsigma,-0.019745605565877566,0.0005618187626575954,0.00890363568726636
y_cmodel_magsigma,-0.021114569631567326,0.0002510970190373607,0.0038372445649960023
g_cmodel_fracdev,-0.016524306921336995,0.0024566238098199245,0.0037259895692822896
r_cmodel_fracdev,-0.018841233035673755,0.0014598196607076286,0.005592920232670028
i_cmodel_fracdev,-0.015536542554626331,0.0024944329005376353,0.03541097666106651
z_cmodel_fracdev,-0.018408250451681152,0.0003825897869543793,0.0035301361391684356
y_cmodel_fracdev,-0.01956030014571264,0.00012999562238935614,0.0029341578932823766
g_kronflux_mag,-0.020607572314465417,0.00028477471751264805,0.0026613924642877726
r_kronflux_mag,-0.020521175884620657,7.850314890378574e-05,0.0016476398484274472
i_kronflux_mag,-0.019198578557518164,0.00034638345846205176,0.004972550871451304
z_kronflux_mag,-0.020347060492911684,0.0005400246680228316,0.010920159845105517
y_kronflux_mag,-0.02006337634669353,0.000395509744809619,0.0070776868661352145
g_kronflux_magsigma,-0.01933848143079475,0.00025959813436204904,0.0019036258111696002
r_kronflux_magsigma,-0.019592878819152393,0.00021013857773888311,0.002066552831590812
i_kronflux_magsigma,-0.02063818478228696,9.669510702237094e-05,0.0020478614410826914
z_kronflux_magsigma,-0.018303622523979768,0.000684195156229972,0.0071674216641277
y_kronflux_magsigma,-0.019362637168473862,0.0003226642053275608,0.003697142502005624
i_kronflux_radius,-0.01942943583930279,0.0008530721866060187,0.0029194667790143707
r_sdssshape_shape11,-0.02035007497480057,0.000597403680370201,0.0026823167498467144
i_sdssshape_shape11,-0.01995688953566077,0.00019223421235436966,0.0021873987940913874
z_sdssshape_shape11,-0.01949283532090529,0.00010993374109369292,0.0016537228761699023
y_sdssshape_shape11,-0.018801298527058474,0.0003677619165070034,0.0017811847666332524
r_sdssshape_shape12,-0.0202973969149437,1.701941372433957e-05,0.0014085160738807354
i_sdssshape_shape12,-0.0206646984145461,6.471284017139922e-05,0.0014100821866394125
z_sdssshape_shape12,-0.020539541249233517,5.279647036404711e-05,0.0013540929627643737
y_sdssshape_shape12,-0.019593251371501696,2.96607570630103e-05,0.0012706783379189469
r_sdssshape_shape22,-0.020014911434249383,0.0005558086950580021,0.002494405443457235
i_sdssshape_shape22,-0.01948843119407906,0.00021718912094570442,0.0019658753768399284
z_sdssshape_shape22,-0.019773555789629804,0.00017926530660006268,0.001588110409823978
y_sdssshape_shape22,-0.01939034291829944,0.0002917329725654616,0.0019104601106822619
r_sdssshape_shape11sigma,-0.019095067349854222,0.0007277907908607162,0.0023109751383384803
i_sdssshape_shape11sigma,-0.02026811199036027,0.00015410521968739488,0.0018299864222126169
z_sdssshape_shape11sigma,-0.020086003672822095,0.00010695352829803717,0.004197669986690219
y_sdssshape_shape11sigma,-0.019116115804878375,0.0005363840006223919,0.004546301836618627
r_sdssshape_shape12sigma,-0.020061335188463536,0.0005678905640050802,0.002315106263093171
i_sdssshape_shape12sigma,-0.019653099118506545,0.00014264083207327083,0.0021763625438628114
z_sdssshape_shape12sigma,-0.019318322061127047,0.0002868041122114917,0.006131120628038703
y_sdssshape_shape12sigma,-0.019946428450261067,0.0004886353724111725,0.005530513760534561
r_sdssshape_shape22sigma,-0.017091191087672097,0.001831708318039471,0.003856774448953827
i_sdssshape_shape22sigma,-0.01930667962100363,0.0006290790460912188,0.003756819542630512
z_sdssshape_shape22sigma,-0.016862798156304093,0.001241486631859967,0.019168246164272502
y_sdssshape_shape22sigma,-0.017881463650814444,0.001810667170139113,0.029665720565985623
gr,0.08157472692921958,0.08895043667970465,0.3068120603476644
ri,0.00021969726045167892,0.013237260668341522,0.0999310454081021
iz,-0.011538463624098716,0.006279977128946901,0.012428607971078837
zy,-0.017642835089937803,0.001309673912713638,0.003897580553033105
W1g,-0.018834465548210666,0.0007528305422016546,0.008244797124203378
W1r,-0.017233867608199893,0.0014568409412893946,0.005558914625782506
W1i,-0.0179338916402223,0.0009975558669181872,0.004964447054095178
W1z,-0.018586636720809402,0.0007366800565069553,0.0045632423105220225
W1y,-0.017442046961564817,0.0015851104975306285,0.006703625305851695
phot_z,-0.005310793076131026,0.011350462655851823,0.05927532582921998
log_st_mass,-0.0009824577338691798,0.017304447320247496,0.18107219116083711
