permutation,gini,feature
0.005090056,0.029515347,W1
0.002519386,0.023112821,W1_err
0.002671676,0.014779479,g_cmodel_mag
0.000733979,0.012018457,r_cmodel_mag
0.00236151,0.013787071,i_cmodel_mag
0.004290165,0.018640821,z_cmodel_mag
0.003885748,0.018622789,y_cmodel_mag
0.002087108,0.015215074,g_cmodel_magsigma
0.000576499,0.011410041,r_cmodel_magsigma
0.00034342,0.011943224,i_cmodel_magsigma
0.001078807,0.015487977,z_cmodel_magsigma
0.001191306,0.016296055,y_cmodel_magsigma
0.00377813,0.007583154,g_cmodel_fracdev
0.007108478,0.012769293,r_cmodel_fracdev
0.002542327,0.017652091,i_cmodel_fracdev
0.001976386,0.017309495,z_cmodel_fracdev
0.001197346,0.011092401,y_cmodel_fracdev
0.003359211,0.016103876,g_kronflux_mag
0.000944037,0.012046568,r_kronflux_mag
0.002926151,0.014159481,i_kronflux_mag
0.004030057,0.017856846,z_kronflux_mag
0.004272466,0.017642029,y_kronflux_mag
0.002777577,0.0152349,g_kronflux_magsigma
0.000650266,0.011851323,r_kronflux_magsigma
0.000416069,0.011848561,i_kronflux_magsigma
0.001012824,0.014786003,z_kronflux_magsigma
0.000900963,0.014711264,y_kronflux_magsigma
0.001181042,0.012304296,i_kronflux_radius
0.000750584,0.011696948,r_sdssshape_shape11
0.00040226,0.011450706,i_sdssshape_shape11
0.000313792,0.011271662,z_sdssshape_shape11
0.000544154,0.011547348,y_sdssshape_shape11
0.000154511,0.011381593,r_sdssshape_shape12
0.000131265,0.011190831,i_sdssshape_shape12
5.45E-05,0.011219925,z_sdssshape_shape12
0.000143334,0.011358511,y_sdssshape_shape12
0.000546428,0.011676956,r_sdssshape_shape22
0.000370105,0.011460992,i_sdssshape_shape22
0.000479774,0.011144812,z_sdssshape_shape22
0.000314057,0.011574643,y_sdssshape_shape22
0.000928624,0.011149456,r_sdssshape_shape11sigma
0.000344198,0.011938682,i_sdssshape_shape11sigma
0.00060514,0.013388746,z_sdssshape_shape11sigma
0.0009376,0.01636581,y_sdssshape_shape11sigma
0.000754988,0.011113569,r_sdssshape_shape12sigma
0.000476995,0.011758353,i_sdssshape_shape12sigma
0.000712327,0.013574664,z_sdssshape_shape12sigma
0.000880401,0.016724716,y_sdssshape_shape12sigma
0.000869477,0.011142783,r_sdssshape_shape22sigma
0.000957322,0.013372421,i_sdssshape_shape22sigma
0.00131966,0.01653933,z_sdssshape_shape22sigma
0.001931233,0.023962564,y_sdssshape_shape22sigma
0.04691526,0.074810976,gr
0.016239163,0.056608113,ri
0.00604292,0.023175369,iz
0.002100822,0.014574634,zy
0.00715556,0.026801553,W1g
0.003440308,0.020686851,W1r
0.002582958,0.016596498,W1i
0.002778744,0.01625369,W1z
0.003155085,0.016705558,W1y
