permutation,gini,feature
0.008048855,0.027719155,W1
0.003295661,0.023043131,W1_err
0.00200005,0.01285057,g_cmodel_mag
0.000697765,0.010237706,r_cmodel_mag
0.002147965,0.012205425,i_cmodel_mag
0.003940178,0.017634931,z_cmodel_mag
0.003162148,0.017329424,y_cmodel_mag
0.001538674,0.013258811,g_cmodel_magsigma
0.000236364,0.010334536,r_cmodel_magsigma
0.000465154,0.010380941,i_cmodel_magsigma
0.001328489,0.014733039,z_cmodel_magsigma
0.000852526,0.01427053,y_cmodel_magsigma
0.004189839,0.006931879,g_cmodel_fracdev
0.006429294,0.01075095,r_cmodel_fracdev
0.00366012,0.023445237,i_cmodel_fracdev
0.001832953,0.014001314,z_cmodel_fracdev
0.001029899,0.010552235,y_cmodel_fracdev
0.002056864,0.013514377,g_kronflux_mag
0.00073439,0.010759352,r_kronflux_mag
0.001993927,0.012068257,i_kronflux_mag
0.004420508,0.015259378,z_kronflux_mag
0.004955978,0.016537188,y_kronflux_mag
0.002006325,0.013462328,g_kronflux_magsigma
0.000478771,0.010682314,r_kronflux_magsigma
0.000346694,0.010478433,i_kronflux_magsigma
0.001055388,0.013095758,z_kronflux_magsigma
0.001101046,0.01358408,y_kronflux_magsigma
0.001351734,0.01167409,i_kronflux_radius
0.00081138,0.011068906,r_sdssshape_shape11
0.000475191,0.01079965,i_sdssshape_shape11
0.000260325,0.010527571,z_sdssshape_shape11
0.000645025,0.010811802,y_sdssshape_shape11
0.000211013,0.010702361,r_sdssshape_shape12
0.000170853,0.010507433,i_sdssshape_shape12
0.000191824,0.010479173,z_sdssshape_shape12
0.000136017,0.010570006,y_sdssshape_shape12
0.001099068,0.011122049,r_sdssshape_shape22
0.000439689,0.010642356,i_sdssshape_shape22
0.00052557,0.0105587,z_sdssshape_shape22
0.000468908,0.010823891,y_sdssshape_shape22
0.000915343,0.010332889,r_sdssshape_shape11sigma
0.000636436,0.011108049,i_sdssshape_shape11sigma
0.000749462,0.013232746,z_sdssshape_shape11sigma
0.000815649,0.014344101,y_sdssshape_shape11sigma
0.00075246,0.010275065,r_sdssshape_shape12sigma
0.000389339,0.011156363,i_sdssshape_shape12sigma
0.000916576,0.014144665,z_sdssshape_shape12sigma
0.000713915,0.014716504,y_sdssshape_shape12sigma
0.001064835,0.010356094,r_sdssshape_shape22sigma
0.000878217,0.012400071,i_sdssshape_shape22sigma
0.001345757,0.01713587,z_sdssshape_shape22sigma
0.001320879,0.018047333,y_sdssshape_shape22sigma
0.04830655,0.075790366,gr
0.015826098,0.049719113,ri
0.005335535,0.022442942,iz
0.002018742,0.01325801,zy
0.005708214,0.022884931,W1g
0.002778383,0.016332965,W1r
0.001844216,0.013858325,W1i
0.0018354,0.013571011,W1z
0.002597956,0.01476764,W1y
0.003694753,0.015701409,g_cmodel_mag_abs
0.002583854,0.014878954,r_cmodel_mag_abs
0.001542896,0.015131964,i_cmodel_mag_abs
0.001795551,0.016701032,z_cmodel_mag_abs
0.001735217,0.01830232,y_cmodel_mag_abs
