permutation,gini,feature
0.004483713,0.016726145,W1
0.002507509,0.013329384,W1_err
0.004110778,0.012084123,g_cmodel_mag
0.004362314,0.013913713,r_cmodel_mag
0.005517,0.011597124,i_cmodel_mag
0.003339261,0.011369488,z_cmodel_mag
0.002858275,0.012091926,y_cmodel_mag
0.002960029,0.010529012,g_cmodel_magsigma
0.001640444,0.010186615,r_cmodel_magsigma
0.001105916,0.00801759,i_cmodel_magsigma
0.000861617,0.009533959,z_cmodel_magsigma
0.000791956,0.010090145,y_cmodel_magsigma
0.002335103,0.00409687,g_cmodel_fracdev
0.006014318,0.006675193,r_cmodel_fracdev
0.003004012,0.009846018,i_cmodel_fracdev
0.001749286,0.007997094,z_cmodel_fracdev
0.001478731,0.006538586,y_cmodel_fracdev
0.002908167,0.010889827,g_kronflux_mag
0.003388281,0.013082437,r_kronflux_mag
0.004659156,0.012410467,i_kronflux_mag
0.002932148,0.012216836,z_kronflux_mag
0.003744822,0.011692405,y_kronflux_mag
0.002989327,0.010423021,g_kronflux_magsigma
0.00221195,0.013361237,r_kronflux_magsigma
0.001356022,0.009609188,i_kronflux_magsigma
0.000471294,0.009580348,z_kronflux_magsigma
0.000792444,0.00890852,y_kronflux_magsigma
0.000159316,0.007733523,i_kronflux_radius
0.00021229,0.007273429,r_sdssshape_shape11
0.000391179,0.007201328,i_sdssshape_shape11
0.000173235,0.007133493,z_sdssshape_shape11
0.000350549,0.007199395,y_sdssshape_shape11
-0.000183334,0.007339529,r_sdssshape_shape12
-0.000181938,0.007190646,i_sdssshape_shape12
-0.00025184,0.00718414,z_sdssshape_shape12
-9.09E-05,0.007291288,y_sdssshape_shape12
0.000278489,0.007385439,r_sdssshape_shape22
0.00051197,0.007170461,i_sdssshape_shape22
0.00025735,0.00712415,z_sdssshape_shape22
0.000298856,0.007280699,y_sdssshape_shape22
0.000434561,0.00719092,r_sdssshape_shape11sigma
0.000662924,0.007715825,i_sdssshape_shape11sigma
0.000509376,0.007961467,z_sdssshape_shape11sigma
0.000628129,0.008577462,y_sdssshape_shape11sigma
0.000330282,0.007260618,r_sdssshape_shape12sigma
0.000598339,0.007530897,i_sdssshape_shape12sigma
0.00082252,0.008543778,z_sdssshape_shape12sigma
0.00087519,0.008901188,y_sdssshape_shape12sigma
0.000713315,0.007521664,r_sdssshape_shape22sigma
0.001008025,0.008396192,i_sdssshape_shape22sigma
0.001091627,0.009839787,z_sdssshape_shape22sigma
0.001134164,0.010426367,y_sdssshape_shape22sigma
0.076414118,0.044900856,gr
0.054969969,0.037722066,ri
0.019964478,0.020622076,iz
0.003395521,0.011161817,zy
0.015414269,0.022071911,W1g
0.017739796,0.024720604,W1r
0.009641791,0.019261921,W1i
0.005785242,0.016625243,W1z
0.00448583,0.015919682,W1y
0.483853202,0.305822868,z_cl_near
