permutation,gini,feature
0.004613567,0.011779584,W1
0.00206043,0.00829438,W1_err
0.000163523,0.00492727,g_cmodel_mag
0.000349335,0.004530193,r_cmodel_mag
0.000405173,0.004396665,i_cmodel_mag
0.000891592,0.005086416,z_cmodel_mag
0.000732655,0.005238946,y_cmodel_mag
0.000298213,0.005423256,g_cmodel_magsigma
0.000223031,0.004636714,r_cmodel_magsigma
7.48E-06,0.004144714,i_cmodel_magsigma
9.44E-05,0.004318039,z_cmodel_magsigma
0.000162755,0.004710151,y_cmodel_magsigma
1.97E-05,0.00228638,g_cmodel_fracdev
8.44E-05,0.003348904,r_cmodel_fracdev
0.000217325,0.004488153,i_cmodel_fracdev
0.000118817,0.004646647,z_cmodel_fracdev
1.23E-05,0.003558855,y_cmodel_fracdev
0.000125264,0.00489961,g_kronflux_mag
0.000303764,0.004547684,r_kronflux_mag
0.000386186,0.004433058,i_kronflux_mag
0.000679204,0.004822253,z_kronflux_mag
0.000589978,0.005052006,y_kronflux_mag
0.000254033,0.005414236,g_kronflux_magsigma
0.000228773,0.004727395,r_kronflux_magsigma
3.47E-05,0.004145888,i_kronflux_magsigma
3.28E-05,0.004209828,z_kronflux_magsigma
0.000134667,0.004586094,y_kronflux_magsigma
1.31E-06,0.004691837,i_kronflux_radius
6.32E-05,0.004645984,r_sdssshape_shape11
7.95E-06,0.004538639,i_sdssshape_shape11
-3.09E-06,0.004765245,z_sdssshape_shape11
3.74E-05,0.004713031,y_sdssshape_shape11
-4.70E-06,0.0047928,r_sdssshape_shape12
-2.13E-06,0.004714962,i_sdssshape_shape12
-7.75E-05,0.004717484,z_sdssshape_shape12
-1.95E-05,0.004799121,y_sdssshape_shape12
3.66E-05,0.004724199,r_sdssshape_shape22
1.50E-05,0.00455656,i_sdssshape_shape22
1.97E-05,0.004760275,z_sdssshape_shape22
3.89E-05,0.004772128,y_sdssshape_shape22
1.99E-05,0.00454479,r_sdssshape_shape11sigma
4.31E-05,0.004253192,i_sdssshape_shape11sigma
4.18E-05,0.00469936,z_sdssshape_shape11sigma
5.06E-05,0.004749248,y_sdssshape_shape11sigma
9.47E-06,0.004501951,r_sdssshape_shape12sigma
-2.03E-05,0.004436277,i_sdssshape_shape12sigma
7.59E-05,0.004435729,z_sdssshape_shape12sigma
3.46E-05,0.005152464,y_sdssshape_shape12sigma
-2.50E-06,0.004394987,r_sdssshape_shape22sigma
2.56E-05,0.004065931,i_sdssshape_shape22sigma
7.31E-05,0.004757792,z_sdssshape_shape22sigma
8.13E-05,0.00528837,y_sdssshape_shape22sigma
0.001612816,0.014015185,gr
0.003786206,0.01754568,ri
0.002307415,0.013292582,iz
9.09E-05,0.005627495,zy
0.003267393,0.014660236,W1g
0.003533593,0.012442254,W1r
0.001133305,0.008765359,W1i
0.000535202,0.00703331,W1z
0.000399349,0.006583009,W1y
0.000866775,0.008939421,sigma_5
0.000321051,0.007263136,sigma_3
0.002056273,0.011024264,sigma_7
0.004442019,0.013627987,sigma_10
0.000225749,0.01213109,sigma_3_1000
0.000199603,0.008823665,sigma_5_1000
0.000334388,0.010622278,sigma_7_1000
0.000600535,0.008470853,sigma_10_1000
0.000973024,0.034665023,sigma_3_3000
0.001048167,0.030159212,sigma_5_3000
0.0015697,0.025872734,sigma_7_3000
0.001749275,0.018061281,sigma_10_3000
0.001605643,0.043306775,sigma_3_5000
0.003341711,0.052255835,sigma_5_5000
0.007712625,0.061580275,sigma_7_5000
0.011866137,0.049383473,sigma_10_5000
0.003272986,0.047591258,sigma_3_10000
0.015175079,0.089109585,sigma_5_10000
0.051468803,0.118021066,sigma_7_10000
