permutation,gini,feature
0.003379145,0.025988925,W1
0.001211172,0.017244856,W1_err
0.002061628,0.013030195,g_cmodel_mag
0.000585605,0.010660316,r_cmodel_mag
0.001995309,0.012406068,i_cmodel_mag
0.002049236,0.0161052,z_cmodel_mag
0.002206088,0.016279336,y_cmodel_mag
0.001654672,0.014023294,g_cmodel_magsigma
0.000457418,0.010691619,r_cmodel_magsigma
0.000221755,0.011015847,i_cmodel_magsigma
0.000899534,0.014193827,z_cmodel_magsigma
0.001015956,0.016640852,y_cmodel_magsigma
0.003989856,0.007338096,g_cmodel_fracdev
0.007266674,0.012123305,r_cmodel_fracdev
0.003277473,0.020525214,i_cmodel_fracdev
0.001358731,0.01208329,z_cmodel_fracdev
0.001469232,0.010252721,y_cmodel_fracdev
0.002537883,0.014139223,g_kronflux_mag
0.000975682,0.011016847,r_kronflux_mag
0.00169115,0.012019098,i_kronflux_mag
0.003136889,0.014266495,z_kronflux_mag
0.005165567,0.016543271,y_kronflux_mag
0.002337307,0.014234719,g_kronflux_magsigma
0.000481953,0.011016136,r_kronflux_magsigma
0.000439946,0.011450096,i_kronflux_magsigma
0.001060315,0.014637157,z_kronflux_magsigma
0.000985337,0.014087562,y_kronflux_magsigma
0.001021923,0.011862289,i_kronflux_radius
0.000683261,0.011395642,r_sdssshape_shape11
0.000439459,0.011059689,i_sdssshape_shape11
0.000278673,0.010743418,z_sdssshape_shape11
0.000286316,0.010998157,y_sdssshape_shape11
0.000260922,0.011010867,r_sdssshape_shape12
0.000127895,0.010784479,i_sdssshape_shape12
0.000152117,0.010795909,z_sdssshape_shape12
0.000155748,0.010886289,y_sdssshape_shape12
0.00083978,0.01123956,r_sdssshape_shape22
0.000525292,0.010883851,i_sdssshape_shape22
0.000329148,0.010772922,z_sdssshape_shape22
0.000200849,0.011099403,y_sdssshape_shape22
0.000900541,0.010687077,r_sdssshape_shape11sigma
0.000553703,0.01164313,i_sdssshape_shape11sigma
0.000857954,0.013610501,z_sdssshape_shape11sigma
0.000693106,0.014693952,y_sdssshape_shape11sigma
0.000751439,0.010676161,r_sdssshape_shape12sigma
0.000516002,0.012337933,i_sdssshape_shape12sigma
0.00107534,0.015181231,z_sdssshape_shape12sigma
0.000994294,0.016565479,y_sdssshape_shape12sigma
0.000985325,0.010759432,r_sdssshape_shape22sigma
0.000962411,0.013024824,i_sdssshape_shape22sigma
0.001061669,0.014524486,z_sdssshape_shape22sigma
0.001349432,0.018595869,y_sdssshape_shape22sigma
0.046422104,0.07511063,gr
0.013263374,0.042704198,ri
0.004963139,0.020961267,iz
0.002206093,0.0138074,zy
0.004579588,0.021316773,W1g
0.002579186,0.016296934,W1r
0.001944405,0.014344522,W1i
0.002149078,0.014024464,W1z
0.002552303,0.014701181,W1y
0.01350726,0.030353593,phot_z
0.009271908,0.056532923,log_st_mass
