mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
140.32079792022705,4.497997522354126,1.7430790662765503,0.014519810676574707,125,0.01,5e-05,0.5,0.2,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini'}",0.5221036180406645,0.5221607100691761,0.5221321640549204,2.8546014255781405e-05,46,-0.587274016478071,-0.574940970952704,-0.5811074937153875,0.0061665227626834795,75
398.8301879167557,3.7859185934066772,4.343788146972656,0.08857560157775879,175,0.001,5e-05,0.75,0.2,20,gini,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini'}",0.5189585333819474,0.5239077783903686,0.521433155886158,0.0024746225042105996,58,-0.5551901616918881,-0.5441345692438837,-0.5496623654678858,0.005527796224002179,40
171.85587668418884,5.152029991149902,1.4280462265014648,0.015401601791381836,100,0.01,0.0001,0.5,0.2,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'entropy'}",0.52065925198375,0.5224322237798217,0.5215457378817858,0.0008864858980358603,54,-0.5861924929522474,-0.5736390059178229,-0.5799157494350351,0.0062767435172122465,70
616.8136283159256,11.14575469493866,4.123982906341553,0.057425498962402344,150,5e-05,0.0001,0.5,0.3,100,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 100, 'criterion': 'entropy'}",0.5203199533285826,0.5192490720945505,0.5197845127115666,0.0005354406170160475,80,-0.5300938694064378,-0.5256795235842258,-0.5278866964953317,0.0022071729111060034,10
518.4429104328156,9.183422565460205,1.9780340194702148,0.00010633468627929688,100,0.001,0.001,0.75,0.4,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5255650614795775,0.5252734919594009,0.5254192767194892,0.00014578476008830776,2,-0.5708094108705677,-0.558857150374964,-0.5648332806227658,0.0059761302478018585,41
471.7420115470886,3.196672201156616,2.7781230211257935,0.0007675886154174805,100,5e-05,0.0001,0.75,0.4,20,gini,"{'n_estimators': 100, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.517596221962296,0.5210912562501808,0.5193437391062384,0.0017475171439423898,86,-0.5391777713193314,-0.5323406054042678,-0.5357591883617996,0.003418582957531835,27
229.2699352502823,7.384204030036926,1.8542709350585938,0.046413421630859375,125,0.01,0.0001,0.5,0.2,100,entropy,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'entropy'}",0.5215597592110005,0.521465924989527,0.5215128421002637,4.691711073673277e-05,55,-0.5860649252034806,-0.5745021922629296,-0.5802835587332051,0.005781366470275495,73
190.71807372570038,1.6459685564041138,1.4430758953094482,0.08180546760559082,100,0.0001,0.005,0.75,0.3,100,gini,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 100, 'criterion': 'gini'}",0.5228194911986306,0.5206317129542762,0.5217256020764534,0.0010938891221771718,48,-0.5898757017820421,-0.5801996752828296,-0.5850376885324358,0.0048380132496062545,82
136.38086366653442,2.3821847438812256,1.8156284093856812,0.08376586437225342,125,0.01,0.001,0.5,0.2,100,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'gini'}",0.5200773770687568,0.5192505084586563,0.5196639427637065,0.00041343430505025314,82,-0.5894363365169517,-0.5785183680617654,-0.5839773522893585,0.005458984227593167,79
351.1162338256836,1.0800092220306396,1.062968134880066,0.04014170169830322,150,0.01,5e-05,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5240472756675374,0.5238388349447635,0.5239430553061504,0.00010422036138696411,20,-0.584015123644612,-0.5715370940743008,-0.5777761088594564,0.00623901478515565,66
