Features,Z,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Log loss,Threshold
all_features,#¿NOMBRE?,0.503,0.7424,0.6627,0.6878,0.5997,0.5845,0.7745,11.2523,0.4491
all_features,#¿NOMBRE?,0.5198,0.6925,0.753,0.7361,0.5939,0.5863,0.7987,9.5106,0.514
all_features,#¿NOMBRE?,0.4806,0.6368,0.8074,0.7701,0.5478,0.5213,0.7987,8.2867,0.5575
all_features,#¿NOMBRE?,0.374,0.5577,0.836,0.7944,0.4478,0.3844,0.7746,7.4088,0.5787
all_features_bcg,#¿NOMBRE?,0.7808,0.8986,0.884,0.8886,0.8356,0.9028,0.958,4.0149,0.4487
all_features_bcg,#¿NOMBRE?,0.7879,0.8851,0.908,0.9016,0.8337,0.9042,0.9644,3.5458,0.4486
all_features_bcg,#¿NOMBRE?,0.7901,0.8619,0.9359,0.9197,0.8244,0.9045,0.9726,2.8931,0.4493
all_features_bcg,#¿NOMBRE?,0.7817,0.842,0.9587,0.9412,0.8107,0.8988,0.9807,2.1178,0.45
all_features_sigmas,#¿NOMBRE?,0.7712,0.8505,0.884,0.8734,0.8089,0.8834,0.9431,4.5628,0.4745
all_features_sigmas,#¿NOMBRE?,0.7725,0.8267,0.906,0.8839,0.7987,0.8758,0.9469,4.1844,0.5271
all_features_sigmas,#¿NOMBRE?,0.7352,0.7921,0.9202,0.8922,0.7626,0.841,0.9447,3.887,0.5536
all_features_sigmas,#¿NOMBRE?,0.6955,0.7375,0.9433,0.9125,0.7159,0.7904,0.9461,3.153,0.6196
