feature,permutation_train,permutation_test,gini
W1,0.02003215145476711,0.04196399123311282,0.011779583855573624
W1_err,0.010581488226082994,0.028028730869949243,0.008294380427094938
g_cmodel_mag,0.0034939481883034715,0.0022934152947308903,0.004927270308776783
r_cmodel_mag,0.0039641338920676965,0.0064396717034331434,0.004530193131766654
i_cmodel_mag,0.004502436052629788,0.012855481918710185,0.0043966653549350095
z_cmodel_mag,0.006489552030034503,0.021096986578743742,0.005086415826118638
y_cmodel_mag,0.0061228685105178355,0.017213556638917844,0.005238945705588055
g_cmodel_magsigma,0.003360899188153151,-0.002105765249488911,0.005423256489464132
r_cmodel_magsigma,0.002859119670650704,0.00010337849671171462,0.004636713908143517
i_cmodel_magsigma,0.002718276472468917,0.0010239715028727374,0.0041447136508681775
z_cmodel_magsigma,0.0030856415973390763,0.0050239352034624485,0.004318039002196611
y_cmodel_magsigma,0.003592585825760719,0.006366604394636062,0.004710151036972893
g_cmodel_fracdev,0.0022582788191537104,0.0018942800350874773,0.002286379879710724
r_cmodel_fracdev,0.004239335367266062,0.0029051422718811004,0.003348903726991855
i_cmodel_fracdev,0.006199951608572192,0.004770651833722346,0.004488153150924949
z_cmodel_fracdev,0.005732165711983169,0.0024605262093454114,0.004646646698050807
y_cmodel_fracdev,0.003772629609668806,0.0018151302858211427,0.0035588553950824473
g_kronflux_mag,0.0035336185664105457,0.0015020671418412383,0.004899610122187399
r_kronflux_mag,0.003797165899670792,0.006133286102622611,0.004547684375158018
i_kronflux_mag,0.0044128379777106375,0.01149009373543497,0.004433058278000792
z_kronflux_mag,0.00572711423263698,0.016457154450435236,0.004822252947028571
y_kronflux_mag,0.005883296373096554,0.017767992520655085,0.0050520060943698986
g_kronflux_magsigma,0.003436209578789984,-0.0027160744461430797,0.005414236379884602
r_kronflux_magsigma,0.003040178942366819,0.0006622546029705356,0.0047273945584677774
i_kronflux_magsigma,0.0028087128734563724,0.002335531592761897,0.004145887938724118
z_kronflux_magsigma,0.003281884389658818,0.004397471794057621,0.004209828400130302
y_kronflux_magsigma,0.0034457033752065915,0.0051507926507543544,0.0045860935275713575
i_kronflux_radius,0.0024120088421123453,0.0003624437679815203,0.004691836697153676
r_sdssshape_shape11,0.002250617371730268,6.762002037530301e-05,0.004645983929646316
i_sdssshape_shape11,0.0023168625361825366,1.2618023112550189e-05,0.0045386393747858566
z_sdssshape_shape11,0.002407337011066176,-5.2189083099081955e-05,0.004765244944247057
y_sdssshape_shape11,0.002334355303493204,0.0003102632675829886,0.004713030694722824
r_sdssshape_shape12,0.002146966982955356,-0.00034164831473504353,0.004792799975413469
i_sdssshape_shape12,0.002149511451007613,-0.00037490003506335245,0.004714962008041065
z_sdssshape_shape12,0.0022086704525411025,-0.00031534863483088465,0.004717484078877328
y_sdssshape_shape12,0.002192586930303553,-0.0003204921278290677,0.004799121218908716
r_sdssshape_shape22,0.0022989767418140072,-0.00016622134496672528,0.004724198707022671
i_sdssshape_shape22,0.0023706686248060973,0.0001720071641089597,0.004556559938343774
z_sdssshape_shape22,0.0024134725917644615,6.708920554225155e-05,0.004760275149955632
y_sdssshape_shape22,0.0025517364286719024,0.0005257002930187937,0.0047721280515683855
r_sdssshape_shape11sigma,0.002550392304532393,0.0005520189958654701,0.004544789835404817
i_sdssshape_shape11sigma,0.002382688914214337,0.000504562611343277,0.004253192051589159
z_sdssshape_shape11sigma,0.002910126544389491,0.001134225928480374,0.004699359511545884
y_sdssshape_shape11sigma,0.0029485176333392906,0.0009589438775126821,0.004749247709595258
r_sdssshape_shape12sigma,0.0024961093929242915,0.0001889619319302612,0.004501951266372964
i_sdssshape_shape12sigma,0.0027495476438872033,0.0004845707467130052,0.004436277218578924
z_sdssshape_shape12sigma,0.00268228286885012,0.001071451026286992,0.004435728916724547
y_sdssshape_shape12sigma,0.00339798201499301,0.002054072566651577,0.005152463916319255
r_sdssshape_shape22sigma,0.002441143729454217,-5.415259551074432e-06,0.004394987321026241
i_sdssshape_shape22sigma,0.002369530316672419,0.0001351818997796054,0.004065931103552497
z_sdssshape_shape22sigma,0.00326088909520413,0.0018132538492314405,0.004757792229738853
y_sdssshape_shape22sigma,0.0038059298345067827,0.0018313270220033189,0.005288369665208126
gr,0.0181530032577318,0.005108607195668043,0.014015185378762878
ri,0.01702941664556649,-0.011066128365837166,0.01754567992261793
iz,0.012287779803857016,-0.005405856827398692,0.013292582426660803
zy,0.003561461227609771,0.0010383561049967331,0.005627494678381585
W1g,0.011131752183029678,-0.01733426068655926,0.014660236081760212
W1r,0.008558053454783368,-0.012947807548435239,0.012442254102128604
W1i,0.0070638720149339695,-0.0056949089857516455,0.00876535924376443
W1z,0.006324825853369205,-0.00259174889006993,0.007033310083254511
W1y,0.005502263938811036,-0.0022819837486025563,0.006583008652427135
sigma_5,0.006244904529911037,-0.010168679847268621,0.0089394214674428
sigma_3,0.004992532840012147,-0.0054883843470379485,0.007263136155838914
sigma_7,0.008138734704837095,-0.013994591601295792,0.011024264447571715
sigma_10,0.010378986640891466,-0.01700705633447815,0.013627987384258567
sigma_3_1000,0.007817923383889425,0.0022470663083281237,0.012131089970673333
sigma_5_1000,0.0059414104551108364,0.005698082963139006,0.008823665295405795
sigma_7_1000,0.006683511466339942,0.004657153596327642,0.010622278029395926
sigma_10_1000,0.0055997864676670854,0.003700476372175965,0.008470853335331837
sigma_3_3000,0.016304067439311527,0.0072842636831479774,0.03466502297078342
sigma_5_3000,0.018321139380220657,0.01578690499494617,0.030159212450031763
sigma_7_3000,0.01980830548859273,0.023645056038940848,0.025872733923110656
sigma_10_3000,0.015705654744787172,0.023483955176883103,0.018061281478800182
sigma_3_5000,0.017883838714802258,0.0074545459885920025,0.04330677498588743
sigma_5_5000,0.027956942961429403,0.016919276909482844,0.052255835070771285
sigma_7_5000,0.04620735563290668,0.04698975933620168,0.06158027497624636
sigma_10_5000,0.06601202159659829,0.07888367989766983,0.049383472700833625
sigma_3_10000,0.020925741235293487,0.0037776923938493225,0.04759125840107474
sigma_5_10000,0.04024702336158529,0.017623427182936746,0.08910958478231318
sigma_7_10000,0.10122817906297821,0.08052781699935474,0.11802106592034456
