     1 WH J000000.5+021911     0.00201    2.31980  0.4297 18.791 17.964   6.73 0.560  21.16   0.96  14          
     2 WH J000004.2+021941     0.01741    2.32800  0.6165 19.557 17.721   6.02 0.656  30.51   1.36  17  WHL     
     3 WH J000007.9+005153     0.03273    0.86473  0.9170 21.493 18.930   5.17 0.491  20.54   0.93  10          
     4 WH J000009.0+021817     0.03743    2.30465  0.7390 19.643 17.888   6.32 0.610  28.34   1.27  15          
     5 WH J000011.9-013226     0.04941   -1.54056  1.3002 23.644 19.698   5.20 0.500  26.45   1.19   9          
     6 WH J000014.7+005259     0.06120    0.88297  0.6746 19.176 17.811   5.47 0.593  23.12   1.05  12          
     7 WH J000015.0-003444     0.06253   -0.57879  0.7652 20.286 17.729   7.53 0.610  32.70   1.46  12          
     8 WH J000016.1+022955     0.06711    2.49857  0.4365 18.671 17.910   5.53 0.625  17.41   0.80  13  WHL     
     9 WH J000017.4-004841     0.07260   -0.81148  0.6165 19.392 17.836   9.24 0.671  40.08   1.77  23  WHL     
    10 WH J000020.3+014340     0.08467    1.72774  0.8528 21.824 19.052   5.95 0.630  30.35   1.36  16          
    11 WH J000021.4+010033     0.08927    1.00929  0.4135 17.961 17.769   6.33 0.642  24.28   1.10  11  WHL     
    12 WH J000024.9+005926     0.10372    0.99047  1.1292 22.630 19.267   5.39 0.502  25.52   1.15  10          
    13 WH J000026.0+010648     0.10841    1.11332  0.7309 21.064 19.074   6.32 0.601  30.28   1.36  20          
    14 WH J000027.5-003156     0.11448   -0.53214  0.5682 18.908 17.797   6.45 0.607  27.90   1.25  20          
    15 WH J000027.6-010141     0.11484   -1.02796  0.4975 19.239 18.245   8.43 0.686  31.21   1.39  32  WHL     
    16 WH J000028.5-010553     0.11872   -1.09798  0.4383 18.868 17.756   5.61 0.548  16.93   0.78  15  CAMIRA14
    17 WH J000030.4+010631     0.12654    1.10858  1.2277 22.398 18.504   5.70 0.554  28.74   1.29  11          
    18 WH J000034.5+005509     0.14357    0.91925  0.6917 20.787 18.642   7.20 0.732  48.08   2.11  35          
    19 WH J000037.8+003513     0.15747    0.58691  0.6366 19.695 18.576   5.10 0.633  22.12   1.00  19          
    20 WH J000042.8+022515     0.17832    2.42094  0.4212 17.870 17.487   8.38 0.582  23.24   1.05  18  WHL     
