Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,0.25,0.2587,0.4837,0.8537,0.8184,0.3371,0.216,0.7331,0.2685
all_features,0.25,0.5,0.1819,0.6494,0.6252,0.628,0.2842,0.202,0.6863,0.2646
all_features,0.5,0.75,0.2206,0.8618,0.4234,0.4932,0.3513,0.2451,0.6803,0.2673
all_features,0.75,1,0.2782,0.8205,0.4179,0.5044,0.4155,0.3377,0.6725,0.3389
all_features,1,1.25,0.362,0.786,0.4202,0.5281,0.4957,0.4481,0.6665,0.428
all_features,1.25,1.5,0.4406,0.9,0.2405,0.5038,0.5916,0.5277,0.6448,0.4717
all_features,1.5,1.75,0.5401,0.9557,0.1337,0.5575,0.6901,0.6226,0.6248,0.5207
all_features,1.75,2,0.5356,0.9464,0.1393,0.5525,0.6841,0.6279,0.6257,0.5097
all_features,2,2.25,0.5135,0.9419,0.1609,0.5394,0.6646,0.5756,0.6186,0.5181
all_features,2.25,2.5,0.5066,0.9872,0.0769,0.5228,0.6696,0.5605,0.5981,0.4439
all_features_bcg,0,0.25,0.7409,0.8512,0.9686,0.9574,0.7922,0.8834,0.9849,0.4492
all_features_bcg,0.25,0.5,0.8786,0.8669,0.9846,0.9712,0.8727,0.9493,0.9929,0.6761
all_features_bcg,0.5,0.75,0.8703,0.8858,0.975,0.9608,0.878,0.9528,0.9909,0.6405
all_features_bcg,0.75,1,0.8457,0.8664,0.9568,0.9374,0.8559,0.9302,0.9811,0.651
all_features_bcg,1,1.25,0.8375,0.9114,0.926,0.9217,0.8729,0.9436,0.9774,0.6216
all_features_bcg,1.25,1.5,0.8866,0.9482,0.9194,0.9309,0.9164,0.9712,0.9828,0.6267
all_features_bcg,1.5,1.75,0.937,0.9686,0.9307,0.9502,0.9525,0.986,0.9885,0.6819
all_features_bcg,1.75,2,0.9286,0.9826,0.9207,0.9524,0.9548,0.988,0.9894,0.5195
all_features_bcg,2,2.25,0.9542,0.9645,0.9565,0.9604,0.9593,0.9923,0.9933,0.7672
all_features_bcg,2.25,2.5,0.9385,0.9776,0.9385,0.9576,0.9576,0.986,0.9888,0.6055
all_features_sigmas,0,0.25,0.5529,0.6558,0.944,0.9165,0.6,0.6012,0.8952,0.3648
all_features_sigmas,0.25,0.5,0.6244,0.5754,0.9556,0.9123,0.5989,0.6322,0.9028,0.5095
all_features_sigmas,0.5,0.75,0.6392,0.6995,0.9252,0.8892,0.668,0.7148,0.9211,0.5117
all_features_sigmas,0.75,1,0.6728,0.7735,0.8971,0.8706,0.7196,0.7848,0.9222,0.4946
all_features_sigmas,1,1.25,0.7335,0.7726,0.8825,0.8501,0.7525,0.8267,0.9157,0.5955
all_features_sigmas,1.25,1.5,0.7705,0.8499,0.8317,0.839,0.8082,0.8766,0.9159,0.5686
all_features_sigmas,1.5,1.75,0.8193,0.8851,0.7922,0.8401,0.8509,0.917,0.9164,0.6052
all_features_sigmas,1.75,2,0.8226,0.8459,0.8085,0.8277,0.8341,0.9101,0.9052,0.6273
all_features_sigmas,2,2.25,0.8248,0.8461,0.831,0.8383,0.8353,0.9114,0.9157,0.6433
all_features_sigmas,2.25,2.5,0.7812,0.8814,0.7631,0.821,0.8283,0.8873,0.8993,0.5472
