Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,0.25,0.3021,0.7126,0.7129,0.7129,0.4243,0.3723,0.7939,0.3253
all_features,0.25,0.5,0.4999,0.7906,0.5401,0.6322,0.6125,0.5707,0.7251,0.4757
all_features,0.5,0.75,0.4219,0.7535,0.5359,0.6034,0.5409,0.5015,0.6988,0.4359
all_features,0.75,1.0,0.4307,0.8072,0.4109,0.5519,0.5617,0.5228,0.6747,0.4346
all_features,1.0,1.25,0.4345,0.7769,0.4972,0.5901,0.5573,0.5191,0.6898,0.4473
all_features_bcg,0,0.25,0.8139,0.7998,0.9681,0.9431,0.8068,0.8899,0.9795,0.6625
all_features_bcg,0.25,0.5,0.8897,0.9381,0.9324,0.9345,0.9133,0.9704,0.9845,0.6360
all_features_bcg,0.5,0.75,0.8958,0.9527,0.9502,0.9510,0.9234,0.9759,0.9901,0.6223
all_features_bcg,0.75,1.0,0.9329,0.9853,0.9609,0.9696,0.9584,0.9893,0.9950,0.4969
all_features_bcg,1.0,1.25,0.9554,0.9716,0.9774,0.9755,0.9634,0.9920,0.9964,0.6737
all_features_sigmas,0,0.25,0.6755,0.7940,0.9335,0.9128,0.7300,0.8002,0.9532,0.4977
all_features_sigmas,0.25,0.5,0.7690,0.8801,0.8463,0.8587,0.8208,0.8935,0.9381,0.5266
all_features_sigmas,0.5,0.75,0.7672,0.8363,0.8859,0.8705,0.8002,0.8752,0.9387,0.5767
all_features_sigmas,0.75,1.0,0.7869,0.8294,0.8760,0.8594,0.8076,0.8841,0.9330,0.6163
all_features_sigmas,1.0,1.25,0.8017,0.8715,0.8929,0.8858,0.8351,0.8887,0.9462,0.5880
