Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,0.25,0.2567,0.44,0.9231,0.8956,0.3242,0.1987,0.8099,0.2589
all_features,0.25,0.5,0.2958,0.7063,0.6958,0.6974,0.417,0.3956,0.7797,0.3111
all_features,0.5,0.75,0.4856,0.6541,0.6907,0.6795,0.5574,0.53,0.7277,0.4757
all_features,0.75,1,0.4535,0.7469,0.5255,0.6019,0.5644,0.5381,0.6963,0.4477
all_features,1,1.25,0.4525,0.8963,0.2499,0.5142,0.6014,0.5633,0.6605,0.4386
all_features,1.25,1.5,0.4964,0.9129,0.2127,0.5344,0.6431,0.576,0.6318,0.4911
all_features,1.5,1.75,0.4905,0.8286,0.3596,0.5597,0.6162,0.5696,0.6606,0.5253
all_features,1.75,2,0.4683,0.7613,0.4393,0.566,0.5799,0.5207,0.6272,0.5519
all_features_bcg,0,0.25,0.6682,0.8286,0.9752,0.9668,0.7398,0.8232,0.9861,0.4551
all_features_bcg,0.25,0.5,0.7439,0.8408,0.9476,0.9313,0.7894,0.8774,0.975,0.5727
all_features_bcg,0.5,0.75,0.8623,0.9068,0.9354,0.9266,0.884,0.9527,0.9799,0.6598
all_features_bcg,0.75,1,0.9133,0.948,0.9525,0.951,0.9303,0.9767,0.9897,0.6523
all_features_bcg,1,1.25,0.9208,0.9649,0.9426,0.9517,0.9424,0.9824,0.9897,0.6358
all_features_bcg,1.25,1.5,0.9389,0.9794,0.9459,0.9613,0.9587,0.9895,0.9927,0.604
all_features_bcg,1.5,1.75,0.922,0.9571,0.9398,0.9472,0.9393,0.9779,0.9876,0.7318
all_features_bcg,1.75,2,0.929,0.929,0.954,0.9442,0.929,0.9675,0.9844,0.7661
all_features_sigmas,0,0.25,0.6287,0.6,0.9786,0.9571,0.614,0.6476,0.9311,0.4164
all_features_sigmas,0.25,0.5,0.6626,0.7572,0.9302,0.9037,0.7068,0.7751,0.9429,0.509
all_features_sigmas,0.5,0.75,0.7514,0.8258,0.8781,0.8619,0.7868,0.8598,0.9287,0.5537
all_features_sigmas,0.75,1,0.7637,0.8164,0.8668,0.8494,0.7892,0.8657,0.9186,0.5739
all_features_sigmas,1,1.25,0.7733,0.8394,0.8297,0.8337,0.805,0.8768,0.9108,0.5585
all_features_sigmas,1.25,1.5,0.8093,0.8314,0.8335,0.8325,0.8202,0.8952,0.909,0.6263
all_features_sigmas,1.5,1.75,0.7319,0.8774,0.7609,0.8106,0.7981,0.8645,0.8943,0.4853
all_features_sigmas,1.75,2,0.8129,0.8129,0.8787,0.8528,0.8129,0.8816,0.9051,0.6168
