Features,ri_min,ri_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,none,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648
all_features,none,0.5575,0.3252,0.6773,0.7238,0.7161,0.4394,0.4308,0.79,0.3396,0.3271,0.6702,0.7291,0.7194,0.4397,0.4272,0.787,0.5162
all_features,0.5575,1.1237,0.4718,0.7209,0.5761,0.626,0.5704,0.5428,0.706,0.4647,0.4665,0.737,0.5573,0.6192,0.5714,0.5445,0.7068,0.4329
all_features,1.1237,none,0.471,0.9324,0.1731,0.5081,0.6259,0.5695,0.6401,0.4485,0.4781,0.9019,0.2228,0.5224,0.625,0.5703,0.6391,0.3705
all_features_bcg,none,none,0.8986,0.9298,0.9499,0.9434,0.914,0.9714,0.9875,0.6626,0.8986,0.9298,0.9499,0.9434,0.914,0.9714,0.9875,0.6626
all_features_bcg,none,0.5575,0.7792,0.8381,0.9533,0.9344,0.8076,0.8946,0.977,0.6111,0.7659,0.8661,0.948,0.9345,0.8129,0.8965,0.9779,0.7403
all_features_bcg,0.5575,1.1237,0.9025,0.9324,0.9471,0.942,0.9172,0.971,0.9866,0.6797,0.9008,0.9346,0.9459,0.942,0.9174,0.9713,0.9867,0.6536
all_features_bcg,1.1237,none,0.932,0.9708,0.9441,0.9559,0.951,0.9865,0.9911,0.636,0.9328,0.9706,0.9448,0.9562,0.9513,0.987,0.9915,0.5309
all_features_sigmas,none,none,0.7558,0.8272,0.8723,0.8577,0.7899,0.8657,0.928,0.5537,0.7558,0.8272,0.8723,0.8577,0.7899,0.8657,0.928,0.5537
all_features_sigmas,none,0.5575,0.6772,0.7736,0.9275,0.9023,0.7222,0.7966,0.944,0.509,0.6669,0.7785,0.9236,0.8997,0.7184,0.792,0.9432,0.6717
all_features_sigmas,0.5575,1.1237,0.7636,0.8258,0.8657,0.8519,0.7935,0.867,0.9219,0.5638,0.7684,0.8203,0.8701,0.853,0.7935,0.8669,0.922,0.5506
all_features_sigmas,1.1237,none,0.7748,0.8503,0.8048,0.8249,0.8108,0.8858,0.9066,0.5592,0.765,0.8624,0.7908,0.8224,0.8108,0.8863,0.907,0.4311
