Features,ri_min,ri_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,-99.0000,-0.2500,0.1667,1.0000,0.8913,0.8936,0.2857,0.0833,0.8913,0.1466,0.1667,1.0000,0.8913,0.8936,0.2857,0.0833,0.8913,0.1513
all_features,-0.2500,none,0.4725,0.7444,0.6025,0.6484,0.5781,0.5443,0.7376,0.4648,0.4740,0.7465,0.6038,0.6499,0.5798,0.5488,0.7399,0.4632
all_features,none,0.2500,0.2567,0.4400,0.9231,0.8956,0.3242,0.1987,0.8099,0.2589,0.2535,0.4171,0.9259,0.8969,0.3153,0.1934,0.8093,0.3077
all_features,0.2500,0.5000,0.2958,0.7063,0.6958,0.6974,0.4170,0.3956,0.7797,0.3111,0.2968,0.6807,0.7083,0.7040,0.4134,0.3899,0.7737,0.5056
all_features,0.5000,0.7500,0.4856,0.6541,0.6907,0.6795,0.5574,0.5300,0.7277,0.4757,0.4735,0.6888,0.6583,0.6677,0.5612,0.5347,0.7310,0.4636
all_features,0.7500,1.0000,0.4535,0.7469,0.5255,0.6019,0.5644,0.5381,0.6963,0.4477,0.4822,0.6859,0.6117,0.6373,0.5663,0.5444,0.7003,0.4492
all_features,1.0000,1.2500,0.4525,0.8963,0.2499,0.5142,0.6014,0.5633,0.6605,0.4386,0.4581,0.8746,0.2842,0.5257,0.6013,0.5673,0.6620,0.3762
all_features,1.2500,1.5000,0.4964,0.9129,0.2127,0.5344,0.6431,0.5760,0.6318,0.4911,0.4954,0.9179,0.2054,0.5327,0.6435,0.5850,0.6376,0.3517
all_features,1.5000,1.7500,0.4905,0.8286,0.3596,0.5597,0.6162,0.5696,0.6606,0.5253,0.4946,0.8107,0.3835,0.5658,0.6143,0.5738,0.6620,0.4222
all_features,1.7500,2.0000,0.4683,0.7613,0.4393,0.5660,0.5799,0.5207,0.6272,0.5519,0.4730,0.7355,0.4686,0.5736,0.5758,0.5231,0.6269,0.4491
all_features,2.0000,99.0000,0.4000,0.5000,0.8200,0.7581,0.4444,0.2716,0.5517,0.6586,0.4286,0.5000,0.8400,0.7742,0.4615,0.2835,0.5650,0.6220
all_features_bcg,-99.0000,-0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9945,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9980
all_features_bcg,-0.2500,none,0.8986,0.9298,0.9498,0.9434,0.9140,0.9714,0.9875,0.6626,0.8962,0.9353,0.9482,0.9440,0.9153,0.9724,0.9879,0.6493
all_features_bcg,none,0.2500,0.6682,0.8286,0.9752,0.9668,0.7398,0.8232,0.9861,0.4551,0.7727,0.7771,0.9862,0.9743,0.7749,0.8206,0.9860,0.9091
all_features_bcg,0.2500,0.5000,0.7439,0.8408,0.9476,0.9313,0.7894,0.8774,0.9750,0.5727,0.7505,0.8441,0.9492,0.9331,0.7946,0.8797,0.9759,0.7636
all_features_bcg,0.5000,0.7500,0.8623,0.9068,0.9354,0.9266,0.8840,0.9527,0.9799,0.6598,0.8469,0.9271,0.9252,0.9258,0.8852,0.9530,0.9802,0.6030
all_features_bcg,0.7500,1.0000,0.9133,0.9480,0.9525,0.9510,0.9303,0.9767,0.9897,0.6523,0.9144,0.9501,0.9531,0.9521,0.9319,0.9781,0.9902,0.6361
all_features_bcg,1.0000,1.2500,0.9208,0.9649,0.9426,0.9517,0.9424,0.9824,0.9897,0.6358,0.9267,0.9622,0.9474,0.9534,0.9441,0.9834,0.9902,0.5878
all_features_bcg,1.2500,1.5000,0.9389,0.9794,0.9459,0.9613,0.9587,0.9895,0.9927,0.6040,0.9443,0.9723,0.9513,0.9609,0.9581,0.9895,0.9928,0.5347
all_features_bcg,1.5000,1.7500,0.9220,0.9571,0.9398,0.9472,0.9393,0.9779,0.9876,0.7318,0.9302,0.9524,0.9469,0.9492,0.9412,0.9776,0.9876,0.6806
