Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-0.25,0,0.4727,0.7458,0.6008,0.6478,0.5787,0.5447,0.7373,0.4648
all_features,0,0.25,0.4907,0.7449,0.6228,0.6628,0.5917,0.5572,0.7468,0.4747
all_features,0.25,0.5,0.4403,0.8151,0.4764,0.5901,0.5717,0.5312,0.7139,0.4320
all_features,0.5,0.75,0.3830,0.6376,0.6828,0.6722,0.4785,0.4307,0.7176,0.4213
all_features_bcg,-0.25,0,0.8991,0.9302,0.9499,0.9435,0.9144,0.9716,0.9876,0.6626
all_features_bcg,0,0.25,0.8918,0.9246,0.9453,0.9385,0.9079,0.9692,0.9860,0.6625
all_features_bcg,0.25,0.5,0.9018,0.9505,0.9477,0.9486,0.9255,0.9750,0.9890,0.6212
all_features_bcg,0.5,0.75,0.9130,0.9345,0.9725,0.9635,0.9236,0.9747,0.9931,0.6799
all_features_sigmas,-0.25,0,0.7799,0.8408,0.8861,0.8714,0.8092,0.8839,0.9418,0.5815
all_features_sigmas,0,0.25,0.7725,0.8547,0.8772,0.8698,0.8115,0.8862,0.9427,0.5569
all_features_sigmas,0.25,0.5,0.7791,0.8448,0.8789,0.8675,0.8106,0.8858,0.9392,0.5813
all_features_sigmas,0.5,0.75,0.8037,0.7581,0.9428,0.8992,0.7802,0.8453,0.9465,0.6605
