Features,n_min,n_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,10,0.3572,0.9758,0.1031,0.3981,0.5229,0.421,0.5931,0.1089,0.5088,0.7981,0.6065,0.6713,0.6214,0.6286,0.7789,0.4528
all_features,10,20,0.4687,0.7724,0.5376,0.6188,0.5834,0.5459,0.7176,0.4342,0.4647,0.8169,0.5031,0.6116,0.5924,0.5664,0.7321,0.4325
all_features,20,30,0.5002,0.7709,0.6268,0.6738,0.6068,0.574,0.7658,0.4753,0.5191,0.7584,0.6595,0.6918,0.6163,0.584,0.7767,0.4908
all_features,30,40,0.521,0.729,0.7163,0.7201,0.6077,0.5672,0.788,0.5296,0.5291,0.7475,0.7184,0.7271,0.6196,0.5975,0.8121,0.5255
all_features,40,50,0.4946,0.7072,0.7253,0.7203,0.5821,0.5428,0.7799,0.5463,0.5507,0.7321,0.7729,0.7616,0.6285,0.6277,0.8358,0.5785
all_features,50,60,0.5164,0.6224,0.8112,0.765,0.5644,0.5052,0.781,0.6106,0.5714,0.7316,0.8223,0.8001,0.6417,0.6615,0.8652,0.6069
all_features,60,999,0.5043,0.7394,0.7629,0.7571,0.5996,0.5392,0.8137,0.5549,0.5529,0.7616,0.7991,0.7899,0.6407,0.6823,0.8736,0.5678
all_features_bcg,none,10,0.8995,0.946,0.946,0.946,0.9222,0.9758,0.9884,0.6215,0.899,0.9488,0.9455,0.9467,0.9232,0.975,0.9881,0.5911
all_features_bcg,10,20,0.8962,0.9431,0.9423,0.9426,0.919,0.9754,0.9878,0.6198,0.8955,0.945,0.9418,0.9429,0.9196,0.9752,0.9879,0.5991
all_features_bcg,20,30,0.8912,0.9388,0.9445,0.9426,0.9144,0.9698,0.9868,0.6261,0.886,0.9466,0.941,0.9428,0.9153,0.9703,0.9869,0.6085
all_features_bcg,30,40,0.8989,0.9068,0.9569,0.942,0.9029,0.9629,0.9858,0.7252,0.908,0.8918,0.9618,0.941,0.8998,0.9617,0.9856,0.7752
all_features_bcg,40,50,0.8797,0.9312,0.9516,0.946,0.9047,0.9605,0.9866,0.6361,0.884,0.9151,0.9544,0.9435,0.8993,0.96,0.9863,0.7198
all_features_bcg,50,60,0.8705,0.9461,0.9544,0.9524,0.9067,0.9624,0.9894,0.6139,0.8592,0.9474,0.9497,0.9491,0.9011,0.963,0.9892,0.6264
all_features_bcg,60,999,0.9074,0.8793,0.9707,0.9482,0.8931,0.9614,0.9879,0.7591,0.8887,0.8938,0.9635,0.9463,0.8912,0.9587,0.987,0.7445
all_features_sigmas,none,10,0.5803,0.7844,0.7103,0.7353,0.6671,0.6602,0.8192,0.2452,0.7088,0.7488,0.8429,0.8111,0.7283,0.787,0.8758,0.6024
all_features_sigmas,10,20,0.7322,0.8369,0.8383,0.8378,0.781,0.8426,0.9147,0.4553,0.7422,0.8293,0.8479,0.8415,0.7833,0.8506,0.9177,0.5406
all_features_sigmas,20,30,0.8177,0.8483,0.9084,0.8888,0.8327,0.9073,0.9527,0.6571,0.7996,0.8822,0.8929,0.8894,0.8389,0.914,0.9567,0.531
all_features_sigmas,30,40,0.8187,0.8657,0.9189,0.9031,0.8416,0.9176,0.9616,0.7132,0.8515,0.8654,0.9361,0.9151,0.8584,0.9301,0.9691,0.6623
all_features_sigmas,40,50,0.8705,0.8316,0.953,0.9195,0.8506,0.9274,0.9679,0.8136,0.9005,0.8477,0.9644,0.9322,0.8733,0.9443,0.978,0.764
all_features_sigmas,50,60,0.8516,0.8382,0.9527,0.9247,0.8448,0.9241,0.9691,0.8159,0.8813,0.8987,0.9608,0.9456,0.8899,0.9491,0.9822,0.6529
all_features_sigmas,60,999,0.8777,0.8726,0.9603,0.9387,0.8751,0.9405,0.979,0.8393,0.9219,0.889,0.9754,0.9542,0.9052,0.9607,0.9881,0.7643
