Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,5,25,0.2449,0.6,0.6962,0.6826,0.3478,0.28,0.7057,0.44
all_features,25,50,0.3948,0.7484,0.5428,0.6014,0.5169,0.4591,0.7033,0.4278
all_features,50,100,0.5057,0.8169,0.4852,0.6153,0.6247,0.587,0.7185,0.4476
all_features,100,200,0.5749,0.8182,0.5597,0.6686,0.6753,0.6472,0.752,0.4823
all_features,200,500,0.5476,0.7652,0.7057,0.7246,0.6384,0.598,0.7905,0.4993
all_features,500,1000,0.3841,0.5521,0.8694,0.8286,0.453,0.3415,0.8022,0.5443
all_features_bcg,5,25,0.9132,0.9373,0.9854,0.9786,0.9251,0.9716,0.996,0.6677
all_features_bcg,25,50,0.9098,0.9461,0.9626,0.9579,0.9276,0.9765,0.9919,0.6256
all_features_bcg,50,100,0.9066,0.9288,0.9383,0.9346,0.9176,0.973,0.984,0.6969
all_features_bcg,100,200,0.8579,0.9322,0.8876,0.9064,0.8935,0.9612,0.9735,0.5711
all_features_bcg,200,500,0.8338,0.9064,0.9159,0.9129,0.8686,0.9494,0.9746,0.6201
all_features_bcg,500,1000,0.7826,0.75,0.9693,0.9411,0.766,0.8442,0.9702,0.8143
all_features_sigmas,5,25,0.6197,0.7036,0.9291,0.8973,0.659,0.7054,0.9098,0.4435
all_features_sigmas,25,50,0.7288,0.7734,0.8853,0.8534,0.7505,0.822,0.9141,0.5539
all_features_sigmas,50,100,0.7947,0.8309,0.8616,0.8496,0.8124,0.8851,0.9238,0.6195
all_features_sigmas,100,200,0.8027,0.8885,0.841,0.861,0.8434,0.92,0.9412,0.5763
all_features_sigmas,200,500,0.7951,0.8826,0.8941,0.8905,0.8366,0.9041,0.9578,0.5606
all_features_sigmas,500,1000,0.5519,0.8854,0.894,0.8929,0.68,0.6776,0.9417,0.3036
