Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,2,0.0588,0.0588,0.9968,0.9935,0.0588,0.0065,0.6607,0.8019
all_features,2,5,0.0382,0.3851,0.7711,0.7622,0.0695,0.0325,0.6054,0.5489
all_features,5,10,0.2725,0.8759,0.2696,0.4139,0.4156,0.3159,0.6222,0.3354
all_features,10,20,0.6653,0.9741,0.2083,0.6813,0.7906,0.732,0.6673,0.2505
all_features,20,50,0.8673,0.9864,0.313,0.8651,0.923,0.9105,0.7401,0.2571
all_features,50,100,0.9286,0.9889,0.4788,0.9239,0.9578,0.9608,0.8424,0.2538
all_features,100,200,0.9405,1,0.5161,0.944,0.9693,0.9711,0.8657,0.2023
all_features_bcg,0,2,0.6471,0.6471,0.9988,0.9976,0.6471,0.6691,0.9974,0.9382
all_features_bcg,2,5,0.6933,0.6879,0.9928,0.9858,0.6906,0.7495,0.9897,0.8715
all_features_bcg,5,10,0.852,0.8804,0.9522,0.9351,0.866,0.9394,0.9814,0.7248
all_features_bcg,10,20,0.9076,0.9555,0.8429,0.9124,0.9309,0.9777,0.9694,0.5369
all_features_bcg,20,50,0.936,0.9924,0.6911,0.9381,0.9634,0.9901,0.9635,0.2483
all_features_bcg,50,100,0.9487,0.9951,0.6314,0.9487,0.9713,0.9917,0.9587,0.2013
all_features_bcg,100,200,0.9556,1,0.6452,0.959,0.9773,0.9952,0.9652,0.0448
all_features_sigmas,0,2,0.2972,0.2571,0.978,0.9529,0.2757,0.2266,0.8133,0.2532
all_features_sigmas,2,5,0.421,0.5442,0.8909,0.8468,0.4747,0.4628,0.8346,0.3857
all_features_sigmas,5,10,0.6237,0.8485,0.6086,0.7125,0.7189,0.7524,0.815,0.5214
all_features_sigmas,10,20,0.82,0.972,0.4461,0.8257,0.8895,0.9181,0.841,0.6043
all_features_sigmas,20,50,0.9225,0.9801,0.5595,0.9138,0.9504,0.9724,0.8931,0.7437
all_features_sigmas,50,100,0.9469,0.9842,0.6818,0.9395,0.9652,0.9845,0.9323,0.5973
all_features_sigmas,100,200,0.9062,1,0.4444,0.9128,0.9508,0.9577,0.8999,0.1492
