feature,permutation_train,permutation_test
W1,0.012456145293181176,0.016196466474644233
W1_err,0.012491708153729575,0.0155811801115453
g_cmodel_mag,0.01942580279830819,0.023416787720758392
r_cmodel_mag,0.03117136981073909,0.03561206066295686
i_cmodel_mag,0.019469933388957528,0.022178649042242538
z_cmodel_mag,0.02015843195589906,0.023838170976962503
y_cmodel_mag,0.01564593812234205,0.01961166798617875
g_cmodel_magsigma,0.0007307051422956734,0.004403209242337058
r_cmodel_magsigma,0.009262550534882341,0.012463663537738534
i_cmodel_magsigma,0.0046355758069513975,0.008515223992833776
z_cmodel_magsigma,0.0007327425579374269,0.004329195956988219
y_cmodel_magsigma,0.0004805917875714272,0.004176820885187005
g_cmodel_fracdev,-0.0031761637469825965,0.000910312105662725
r_cmodel_fracdev,-0.0018656194647679314,0.0019925032460266223
i_cmodel_fracdev,-0.0003415454773308957,0.0033680588033142556
z_cmodel_fracdev,-0.0009538745294541684,0.002668399962817758
y_cmodel_fracdev,-0.0026343560047287218,0.0019088770756794382
g_kronflux_mag,0.017113221231062514,0.020739664492119392
r_kronflux_mag,0.016537708066245993,0.020229025863372718
i_kronflux_mag,0.011557101700828576,0.015100903694398315
z_kronflux_mag,0.008177909048946774,0.011466372136730185
y_kronflux_mag,0.0061801965506812495,0.009794293625689732
g_kronflux_magsigma,-0.0022492691470713533,0.0017672849180262462
r_kronflux_magsigma,0.0033516209262401953,0.0072869423449777315
i_kronflux_magsigma,-0.0009093842907178518,0.003138446222129332
z_kronflux_magsigma,7.9259419126676e-05,0.003939000641986712
y_kronflux_magsigma,-0.0013812284672739539,0.0027250033019069475
i_kronflux_radius,-0.0024615590811499777,0.0017418103147512909
r_sdssshape_shape11,-0.0015170683779311966,0.002108335463309352
i_sdssshape_shape11,-0.001007930175429217,0.0025393131626175736
z_sdssshape_shape11,-0.0008621293615963532,0.002869937838485548
y_sdssshape_shape11,-0.002177139073341494,0.0019331112391639538
r_sdssshape_shape12,-0.0026622201620396524,0.001004228102646998
i_sdssshape_shape12,-0.0011158556166023237,0.002568471377116688
z_sdssshape_shape12,-0.0009829647799678431,0.0022764272228106286
y_sdssshape_shape12,-0.0025748885294771817,0.001272138825941238
r_sdssshape_shape22,-0.0015030815801074793,0.0022114964367441203
i_sdssshape_shape22,-0.0010665404440522996,0.002709165520229928
z_sdssshape_shape22,-0.0014268975784954563,0.0023692739025692466
y_sdssshape_shape22,-0.002559140693124462,0.0015408350407207783
r_sdssshape_shape11sigma,-0.001739849723015996,0.0022332534497979672
i_sdssshape_shape11sigma,-0.0018301976727531644,0.002271163488328898
z_sdssshape_shape11sigma,4.9976107362792455e-05,0.004017692387420113
y_sdssshape_shape11sigma,-0.0018399853403905375,0.002149083500283755
r_sdssshape_shape12sigma,-0.0009517999312954606,0.0028914350587498916
i_sdssshape_shape12sigma,-0.002300509798396022,0.001760500240519991
z_sdssshape_shape12sigma,-0.0015153543827409743,0.002582554191767894
y_sdssshape_shape12sigma,-0.0014327559683710023,0.00277498464475201
r_sdssshape_shape22sigma,0.0005949569641551244,0.004248973910240039
i_sdssshape_shape22sigma,-0.0003395942228578974,0.00401277329420191
z_sdssshape_shape22sigma,-0.0003392055872067923,0.0039242248616259134
y_sdssshape_shape22sigma,0.0009263505134832206,0.004908133900593525
gr,0.1938008019360874,0.19808753025679593
ri,0.22217548566335832,0.22840575040302857
iz,0.14427102526589763,0.1474180285901946
zy,0.024207110359581008,0.028178893065233912
W1g,0.03601619411210011,0.0399716019437909
W1r,0.0690568178268931,0.07338308215973388
W1i,0.04496125415217789,0.04870645758187697
W1z,0.022359510846162944,0.02471727954579117
W1y,0.01953508708282048,0.022056707626871397
z_cl_near,0.6273118916765035,0.6289150667058039
