feature,permutation_train,permutation_test
W1,0.029589878462314312,0.032628546371933576
W1_err,0.03174736225797081,0.034784962769970895
g_cmodel_mag,0.0017444411834037776,0.004339796572408017
r_cmodel_mag,-0.0012863957529795078,0.001822529616229418
i_cmodel_mag,0.002264927531276717,0.004934209927884736
z_cmodel_mag,0.003939583199682906,0.006489348646094517
y_cmodel_mag,0.003027470254630349,0.0062799185585123984
g_cmodel_magsigma,-0.0017446969209452545,0.0011940938532474243
r_cmodel_magsigma,-0.001471405145511584,0.001204547678426482
i_cmodel_magsigma,-0.0025731846294910765,0.0006489366301772881
z_cmodel_magsigma,-0.0017448322880644351,0.0004847827971848906
y_cmodel_magsigma,-0.0028446796230922056,0.0005096185445102597
g_cmodel_fracdev,-0.002423996323205224,0.00031670633255820313
r_cmodel_fracdev,-0.0020415063257310795,0.0007417459164692497
i_cmodel_fracdev,-0.002277026032047824,0.000803898742034681
z_cmodel_fracdev,-0.0017053864068514724,0.0006377026848877199
y_cmodel_fracdev,-0.0028447246218192834,0.0006376350806366338
g_kronflux_mag,-0.00019196271891275263,0.0017727425871265634
r_kronflux_mag,-0.00036817881004214126,0.0030947577428085404
i_kronflux_mag,-0.00011816260824015767,0.001546359482210824
z_kronflux_mag,-0.0008801639981432796,0.002089012928913836
y_kronflux_mag,-0.0007916132397414177,0.0017365700284542873
g_kronflux_magsigma,-0.0019144592825368623,0.00032146343825201207
r_kronflux_magsigma,-0.002037261390663958,0.0007046165572396346
i_kronflux_magsigma,-0.001988917112231925,0.0005110205099467802
z_kronflux_magsigma,-0.00213891051294135,0.0005171551560266829
y_kronflux_magsigma,-0.0028521957017504374,0.0003794800294555367
i_kronflux_radius,-0.0014085100916477744,0.0011240197985046274
r_sdssshape_shape11,-0.0013161658802297582,0.0011371049357385976
i_sdssshape_shape11,-0.0013329153542868122,0.0008737451325669943
z_sdssshape_shape11,-0.0016034606268168217,0.0009038784419895807
y_sdssshape_shape11,-0.0016521918560484794,0.0009110462842062406
r_sdssshape_shape12,-0.0017428897346084549,0.0005134811424248875
i_sdssshape_shape12,-0.0022128698606259656,0.0005369835179159788
z_sdssshape_shape12,-0.0026347294448444414,0.000430276922985362
y_sdssshape_shape12,-0.0024200197676579327,0.0004856910417820881
r_sdssshape_shape22,-0.0019646154927970283,0.0005852838879373268
i_sdssshape_shape22,-0.00199502348270697,0.0007990275332491192
z_sdssshape_shape22,-0.0006669083328623149,0.0020434091318758396
y_sdssshape_shape22,-0.002065758318259503,0.0005390906159713493
r_sdssshape_shape11sigma,-0.0020777912219094308,0.00040702685724958165
i_sdssshape_shape11sigma,-0.0021965350038518627,0.0005045896701142416
z_sdssshape_shape11sigma,-0.0021729629759856817,0.0003632758780225398
y_sdssshape_shape11sigma,-0.0024282158897530604,0.0006633936726448963
r_sdssshape_shape12sigma,-0.0016618878505566537,0.00043612162054029735
i_sdssshape_shape12sigma,-0.0025006001326628446,0.00033963527003399996
z_sdssshape_shape12sigma,-0.0023672216672786517,0.0005799227704053056
y_sdssshape_shape12sigma,-0.0023585008988592504,0.0005988585381515588
r_sdssshape_shape22sigma,-0.0020571274790416316,0.001357859940273043
i_sdssshape_shape22sigma,-0.0017408748170982813,0.0006368452876487352
z_sdssshape_shape22sigma,-0.0025686164870862838,0.0005805870476570663
y_sdssshape_shape22sigma,-0.0023668234569326208,0.0005010612377207568
gr,0.0058000662158940175,0.00820055114633178
ri,0.020452889388345552,0.02355298808615347
iz,0.013148436655296636,0.017247528294647485
zy,-0.0024656859567099287,0.0007440355125768461
W1g,0.005447598718614333,0.008552310501732108
W1r,0.006335867948394247,0.01057714189355663
W1i,0.005457875507943188,0.007624195724484251
W1z,-0.0014614357102848974,0.0007152614851292372
W1y,0.0012837246026620175,0.004218433552492296
sigma_5,-0.0024115569126831327,0.0008899069411668625
sigma_3,-0.0022087032849367194,0.0006791330960311814
sigma_7,-8.522947584499452e-05,0.003087804543750017
sigma_10,0.011772086713524366,0.014835435061838598
sigma_3_1000,-0.0033052017593008243,0.00018915171797961872
sigma_5_1000,-0.0020615821739398132,0.0002452782511658258
sigma_7_1000,-0.0015505041753430815,0.00022873076141194382
sigma_10_1000,0.0016535035143211418,0.0031672387754999587
sigma_3_3000,-0.001109602386915265,0.0006177051040373582
sigma_5_3000,-0.00122847982871499,0.0007836293213369094
sigma_7_3000,-0.0021501825114650375,0.00011057030090111386
sigma_10_3000,0.0006272004362891659,0.0021704861802881448
sigma_3_5000,-9.89026444038199e-05,0.0025433662929239542
sigma_5_5000,0.0021179931151077414,0.004667623335776971
sigma_7_5000,0.008296691533959732,0.011671142093769515
sigma_10_5000,0.06459340580372264,0.06806869607450161
sigma_3_10000,0.013422929776033876,0.015853698707528396
sigma_5_10000,0.0433783825481312,0.04794113666067645
sigma_7_10000,0.2999084158490709,0.3013486242641463
