feature,permutation_train,permutation_test
W1,0.009357376131037598,0.014392621079581613
W1_err,-0.001181950772006779,0.004651611122839072
g_cmodel_mag,-0.002301735080755374,0.003872746594399401
r_cmodel_mag,0.0012652060992760505,0.008105029821733445
i_cmodel_mag,0.0047665351198379335,0.010785664019258956
z_cmodel_mag,0.0034433316537537673,0.007992357109387282
y_cmodel_mag,0.0024489756591504763,0.008719887206959709
g_cmodel_magsigma,-0.0021858179962418456,0.0037783589476005908
r_cmodel_magsigma,-0.002517249853697723,0.002969636484258742
i_cmodel_magsigma,-0.0051381549641554836,0.0015590789294116503
z_cmodel_magsigma,-0.00313645630395909,0.002518436404665869
y_cmodel_magsigma,-0.004437758190684815,0.0016308358630600095
g_cmodel_fracdev,0.01107624578580324,0.01741746183336146
r_cmodel_fracdev,0.01000638017191735,0.015094041406622627
i_cmodel_fracdev,0.0024956799329772794,0.0070759954196573105
z_cmodel_fracdev,-0.0018816540868292764,0.004295128095872847
y_cmodel_fracdev,-0.0007670849917952305,0.0050370288546582875
g_kronflux_mag,0.023455228898540237,0.02737347606018925
r_kronflux_mag,0.006827487441008695,0.012407039448562585
i_kronflux_mag,0.006174465899112969,0.012035186264448328
z_kronflux_mag,0.0053762674838937485,0.010428460019794361
y_kronflux_mag,0.023747066074592094,0.029340941195461268
g_kronflux_magsigma,-0.0028971220170544987,0.0020371672121500817
r_kronflux_magsigma,-0.0024240236122093917,0.0035998858037274983
i_kronflux_magsigma,-0.00559673532875371,0.001487884620352209
z_kronflux_magsigma,-0.00421800318142751,0.0017085852728939699
y_kronflux_magsigma,-0.005296168208697272,0.0018159129381553063
i_kronflux_radius,0.004216124466092763,0.010396987261514279
r_sdssshape_shape11,-0.0025442265001676123,0.0032976783885183547
i_sdssshape_shape11,-0.0042407112925255674,0.002312575270302042
z_sdssshape_shape11,-0.0036258371765381936,0.0029250584481527175
y_sdssshape_shape11,-0.0033109506251794985,0.0029902896827228576
r_sdssshape_shape12,-0.0043610299089843485,0.002144807448392294
i_sdssshape_shape12,-0.0032348980014197393,0.002590704318615633
z_sdssshape_shape12,-0.004893869557308528,0.0014020586355721898
y_sdssshape_shape12,-0.003643699630404895,0.001857524747755801
r_sdssshape_shape22,-0.0008044496023345005,0.00393725700315406
i_sdssshape_shape22,-0.0041005197284715855,0.0018533095997081972
z_sdssshape_shape22,-0.0026161568124299928,0.002683579645730183
y_sdssshape_shape22,-0.0028667377749334033,0.0024026638712632
r_sdssshape_shape11sigma,-0.005238606457781514,0.0018746848880458744
i_sdssshape_shape11sigma,-0.004958167664174229,0.00206300634369716
z_sdssshape_shape11sigma,-0.0037508833794179797,0.0027757467845503925
y_sdssshape_shape11sigma,-0.003652378046543614,0.0033234500185573834
r_sdssshape_shape12sigma,-0.004317510319737483,0.002624378947392203
i_sdssshape_shape12sigma,-0.0025290496902816706,0.004041507713214987
z_sdssshape_shape12sigma,-0.002883183181939919,0.0029619050759204235
y_sdssshape_shape12sigma,-0.0037662516900479615,0.002442154992515877
r_sdssshape_shape22sigma,-0.0023585730584398945,0.0034420996195835274
i_sdssshape_shape22sigma,-0.003862895112309528,0.0030003149355648517
z_sdssshape_shape22sigma,-0.004914068395897364,0.0020829185722993637
y_sdssshape_shape22sigma,-0.0033187552087093897,0.002644195432915608
gr,0.05870888357277293,0.06284597844548734
ri,0.017674480836173623,0.023369238733986775
iz,0.010183387740337113,0.016199336549731935
zy,0.0013740940637094745,0.006713183191456307
W1g,0.006062379328306666,0.011884308655792819
W1r,-0.0006682050076373125,0.006477297998869314
W1i,0.0006093753259402979,0.0064509949622088
W1z,0.00047895961581956303,0.007621817322774116
W1y,0.005575410818949522,0.010723226402079677
phot_z,0.06760211738025007,0.06967088904202706
log_st_mass,0.02592232731039379,0.030551478197703763
