Features,z_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,0.4688,0.7573,0.5898,0.6440,0.5791,0.5466,0.7390,0.4618,0.4688,0.7573,0.5898,0.6440,0.5791,0.5466,0.7390,0.4618
all_features,1.2000,0.4712,0.7847,0.5310,0.6191,0.5888,0.5546,0.7233,0.4618,0.4740,0.7800,0.5389,0.6227,0.5896,0.5586,0.7255,0.4379
all_features,0.9000,0.4898,0.7879,0.5379,0.6279,0.6040,0.5665,0.7267,0.4788,0.4978,0.7718,0.5616,0.6373,0.6053,0.5732,0.7305,0.4491
all_features,0.6000,0.5128,0.7942,0.5905,0.6622,0.6232,0.5839,0.7565,0.4900,0.5195,0.7813,0.6078,0.6688,0.6240,0.5867,0.7579,0.4692
all_features,0.3000,0.5102,0.7562,0.6899,0.7098,0.6093,0.5684,0.7898,0.4792,0.5197,0.7467,0.7053,0.7177,0.6129,0.5776,0.7952,0.5172
all_features_bcg,none,0.8948,0.9346,0.9475,0.9433,0.9143,0.9716,0.9876,0.6576,0.8948,0.9346,0.9475,0.9433,0.9143,0.9716,0.9876,0.6576
all_features_bcg,1.2000,0.8940,0.9342,0.9410,0.9387,0.9137,0.9713,0.9860,0.6549,0.8887,0.9417,0.9372,0.9388,0.9144,0.9723,0.9865,0.6230
all_features_bcg,0.9000,0.8895,0.9312,0.9348,0.9335,0.9099,0.9690,0.9840,0.6576,0.8956,0.9318,0.9389,0.9363,0.9133,0.9713,0.9852,0.6397
all_features_bcg,0.6000,0.8729,0.9123,0.9279,0.9224,0.8921,0.9596,0.9790,0.6620,0.8820,0.9112,0.9338,0.9259,0.8964,0.9631,0.9811,0.6558
all_features_bcg,0.3000,0.8316,0.8878,0.9232,0.9126,0.8588,0.9391,0.9729,0.6338,0.8391,0.9390,0.9231,0.9278,0.8862,0.9539,0.9811,0.6247
all_features_sigmas,none,0.7822,0.8369,0.8886,0.8719,0.8086,0.8822,0.9413,0.5946,0.7822,0.8369,0.8886,0.8719,0.8086,0.8822,0.9413,0.5946
all_features_sigmas,1.2000,0.7844,0.8459,0.8761,0.8656,0.8140,0.8869,0.9384,0.5946,0.7834,0.8482,0.8751,0.8657,0.8145,0.8874,0.9388,0.5644
all_features_sigmas,0.9000,0.7847,0.8587,0.8674,0.8642,0.8200,0.8926,0.9393,0.5946,0.7849,0.8583,0.8676,0.8642,0.8200,0.8927,0.9394,0.5478
all_features_sigmas,0.6000,0.7934,0.8563,0.8790,0.8710,0.8236,0.8951,0.9435,0.5961,0.7878,0.8633,0.8738,0.8701,0.8238,0.8956,0.9438,0.5460
all_features_sigmas,0.3000,0.7964,0.8332,0.9091,0.8863,0.8144,0.8894,0.9522,0.6190,0.7805,0.8477,0.8982,0.8831,0.8127,0.8903,0.9526,0.6011
