feature,permutation_train,permutation_test
W1,0.030088254371135825,0.03334389905675561
W1_err,0.029388590854736663,0.0321303285770268
g_cmodel_mag,0.0005256586356314763,0.003264553583411267
r_cmodel_mag,-0.0023747001141144475,0.0014329326308463175
i_cmodel_mag,0.0005946324533930847,0.004277834911927347
z_cmodel_mag,0.0025955285248165927,0.006558035069408219
y_cmodel_mag,0.0028520498649183823,0.006543729180628399
g_cmodel_magsigma,-0.002704196085793309,0.0005114875676518471
r_cmodel_magsigma,-0.002704678861272458,0.00014127839104249862
i_cmodel_magsigma,-0.0031340585406663957,2.5674449824264478e-05
z_cmodel_magsigma,-0.0029355783187092754,2.574101763219705e-05
y_cmodel_magsigma,-0.003350507189309071,0.00014786080132234147
g_cmodel_fracdev,-0.002898470395069963,0.0004961361494691952
r_cmodel_fracdev,-0.0014527399827474197,0.0008428499941306455
i_cmodel_fracdev,-0.001958235608373271,0.0007368526763507077
z_cmodel_fracdev,-0.0025609237409041086,0.0005628551358186629
y_cmodel_fracdev,-0.0026096097342594993,0.0004682463605124587
g_kronflux_mag,-0.00096708859935557,0.001334651527265085
r_kronflux_mag,-0.0013452358318438717,0.0013545653193342
i_kronflux_mag,-0.0025917514366685657,0.0005259194286443281
z_kronflux_mag,-0.002030789278100742,0.001351056523202665
y_kronflux_mag,-0.0015589412671511704,0.0010444336782513552
g_kronflux_magsigma,-0.003560195301863245,9.599031921803114e-05
r_kronflux_magsigma,-0.0032422494958027626,-3.889150568348043e-05
i_kronflux_magsigma,-0.004402223536280392,-8.350807169010821e-05
z_kronflux_magsigma,-0.0027637443703220077,7.196097951622793e-05
y_kronflux_magsigma,-0.0029850505228458113,0.00014385676499240052
i_kronflux_radius,-0.0013545484360225624,0.0010137889936161493
r_sdssshape_shape11,-0.0017249992422495586,0.0009016785149391637
i_sdssshape_shape11,-0.0027789945983983655,0.0006465377884333767
z_sdssshape_shape11,-0.0024362639848654055,0.0008276471238305438
y_sdssshape_shape11,-0.0027360447874892335,0.0007921603463655336
r_sdssshape_shape12,-0.0031634326885666697,0.00044931048260687945
i_sdssshape_shape12,-0.0034504190898093645,0.0004935144274851311
z_sdssshape_shape12,-0.0023211038453166966,0.0005412687639170244
y_sdssshape_shape12,-0.0021881775042668083,0.0005317130452286989
r_sdssshape_shape22,-0.002004435753839462,0.0006965293488591096
i_sdssshape_shape22,-0.0035265602328191648,0.0007542088199593566
z_sdssshape_shape22,-0.0010344910245011496,0.0023099924473864997
y_sdssshape_shape22,-0.002034032562504784,0.0006947142358569858
r_sdssshape_shape11sigma,-0.0024803135659690057,6.706574076675853e-05
i_sdssshape_shape11sigma,-0.0036705811164053914,0.00016297157625022596
z_sdssshape_shape11sigma,-0.0031185696002428154,-7.814034630682087e-05
y_sdssshape_shape11sigma,-0.003265357838506233,0.0003052991179379738
r_sdssshape_shape12sigma,-0.003655703620895512,6.7869393953756685e-06
i_sdssshape_shape12sigma,-0.002677569987685202,8.900836913072752e-05
z_sdssshape_shape12sigma,-0.0033314081779106663,3.807272107003712e-05
y_sdssshape_shape12sigma,-0.0029290457873485387,0.00018978905223432374
r_sdssshape_shape22sigma,-0.0032770481688917386,0.0004389928117630726
i_sdssshape_shape22sigma,-0.002302210850813946,0.00016065126563225007
z_sdssshape_shape22sigma,-0.0025191976796935522,0.0001689931190681504
y_sdssshape_shape22sigma,-0.0022626152061161475,0.00022266813382187944
gr,0.0032512716516913676,0.006697712220903651
ri,0.018037863038829482,0.022584395181851513
iz,0.004113105457780208,0.007817666978375493
zy,-0.0026895693376948193,0.00020849739488515429
W1g,0.003014321724897684,0.006795345796155927
W1r,0.004713994836293645,0.006984127431896692
W1i,0.00043648137399310283,0.003626074369221244
W1z,-0.0019880986435674153,0.00047912183605136605
W1y,6.632728650990405e-05,0.0027867100458141003
sigma_5,-0.0031158828599203714,0.0007190010760117493
sigma_3,-0.0024959285944171627,0.0005943496874882825
sigma_7,0.0003168832958611034,0.003797585344490595
sigma_10,0.013960226568788703,0.016620082116028723
sigma_3_1000,-0.0029311083189146325,0.00030336489121995935
sigma_5_1000,-0.0028863375497404364,0.00022037273474095898
sigma_7_1000,-0.0018514315490260058,0.0003684810722069942
sigma_10_1000,0.00041771514232857854,0.002939825782406147
sigma_3_3000,-0.002791693568976794,0.000662268543260569
sigma_5_3000,-0.002100508898318698,0.0007548619498990439
sigma_7_3000,-0.0017904078320490902,0.00011660900638343907
sigma_10_3000,0.0009133340395220957,0.002451544977790543
sigma_3_5000,0.0003687334800733799,0.002737330364663393
sigma_5_5000,0.0026179905622374378,0.005091861789964902
sigma_7_5000,0.010142698774663006,0.013645497139157747
sigma_10_5000,0.07787601021024626,0.08081640737659057
sigma_3_10000,0.001752697591946517,0.004427778197200083
sigma_5_10000,0.01791800764467677,0.021494985107485043
sigma_7_10000,0.25524938185479584,0.2596610856796613
