feature,permutation_train,permutation_test
W1,0.02786632315300397,0.03217566799446969
W1_err,0.032381214413959025,0.03478518901464589
g_cmodel_mag,0.0015423330033598193,0.004065207759535672
r_cmodel_mag,-0.0016878348496587314,0.0015937268535907156
i_cmodel_mag,0.0004970495574444511,0.004188864818457705
z_cmodel_mag,0.002855451092714567,0.006428583423585099
y_cmodel_mag,0.003965931668734712,0.006921484091391705
g_cmodel_magsigma,-0.003254102362769129,0.0011876954147083119
r_cmodel_magsigma,-0.002292867020389333,0.0007194441253961514
i_cmodel_magsigma,-0.0030690238615553866,0.00019457836966429998
z_cmodel_magsigma,-0.0038412602398421036,0.00023432984759041986
y_cmodel_magsigma,-0.0031821771992919246,0.00015026198027667803
g_cmodel_fracdev,-0.002979853522667053,0.0004442379318364553
r_cmodel_fracdev,-0.0029527540045655165,0.0006812654717543998
i_cmodel_fracdev,-0.0017215045938159257,0.0008766416178294101
z_cmodel_fracdev,-0.0029920239929338566,0.0008103647312606155
y_cmodel_fracdev,-0.0029109339934058065,0.0005135809492724519
g_kronflux_mag,-0.0005729224042750891,0.0015559824928012
r_kronflux_mag,0.0011841691424218093,0.0031105070781315414
i_kronflux_mag,-0.001868476861431767,0.001208726692945472
z_kronflux_mag,-0.0020407319099083887,0.0016797898337158612
y_kronflux_mag,-0.001809469100491956,0.0015160698459211197
g_kronflux_magsigma,-0.003139193211509128,0.0003376992787988975
r_kronflux_magsigma,-0.0036417658090207583,0.00032621163818269405
i_kronflux_magsigma,-0.002770014460988013,0.00021809364674041376
z_kronflux_magsigma,-0.003621936120000502,0.00021800018014961342
y_kronflux_magsigma,-0.00260504378845805,0.00020624617673614676
i_kronflux_radius,-0.0027912493201127653,0.0012641014029854958
r_sdssshape_shape11,-0.002122023994193367,0.0009778756333260752
i_sdssshape_shape11,-0.002992145046820771,0.0008377704820260456
z_sdssshape_shape11,-0.002547510730250724,0.0011607575454405383
y_sdssshape_shape11,-0.0020443319495492274,0.0009615026133702465
r_sdssshape_shape12,-0.0029927945835809266,0.00045609893945897095
i_sdssshape_shape12,-0.0035328659492637193,0.0005011648413760783
z_sdssshape_shape12,-0.002487465719048121,0.0005876320399846868
y_sdssshape_shape12,-0.003075924947773534,0.000611691307128126
r_sdssshape_shape22,-0.002970018525709217,0.0007597528036168422
i_sdssshape_shape22,-0.002601034088777765,0.0009348480002399073
z_sdssshape_shape22,-0.0005377770690988548,0.00230800280175647
y_sdssshape_shape22,-0.0023255669344578456,0.0006258919606102475
r_sdssshape_shape11sigma,-0.003016235476295148,0.00030132568725127484
i_sdssshape_shape11sigma,-0.002717862455777209,0.000343198743904094
z_sdssshape_shape11sigma,-0.0031747217382348536,0.00010709875792980217
y_sdssshape_shape11sigma,-0.0033895214058786705,0.0004002502863834634
r_sdssshape_shape12sigma,-0.004032045309211529,0.00022871118964340464
i_sdssshape_shape12sigma,-0.0031856169406898616,0.00022139955717837
z_sdssshape_shape12sigma,-0.003145004199866741,0.0003368638171153959
y_sdssshape_shape12sigma,-0.0023952563314991737,0.00029188029208004895
r_sdssshape_shape22sigma,-0.0023935546378193173,0.0009026656014228251
i_sdssshape_shape22sigma,-0.0016823024237978546,0.00026230615572775395
z_sdssshape_shape22sigma,-0.0036217943298760824,0.00030788203494169775
y_sdssshape_shape22sigma,-0.00321920426659128,0.00038506596201459686
gr,0.0058050498076398505,0.00752236187477362
ri,0.01859265153185541,0.02214452351205598
iz,0.010947464895917247,0.01584243039029498
zy,-0.0025736476782265427,0.00041954426236223696
W1g,0.004581280210517735,0.00910287583059588
W1r,0.0059097573814792526,0.009720733464128717
W1i,0.002641130535473102,0.005991042419279835
W1z,-0.002451091541705419,0.0006340549812106078
W1y,-0.0003574893826386871,0.0036241520806091776
sigma_5,-0.0027148051115702954,0.0009047545117045752
sigma_3,-0.0030600802894366064,0.0006059322207575546
sigma_7,-0.0012252661768806794,0.0028074227309957678
sigma_10,0.013220940414073401,0.01655107722644311
sigma_3_1000,-0.002762272852622427,0.0001806233756580511
sigma_5_1000,-0.003443239247294172,0.0001327753931145148
sigma_7_1000,-0.00245782598557287,0.0003342955414757931
sigma_10_1000,-0.0004550874797174531,0.0031777525628921
sigma_3_3000,-0.003169907207032363,0.0007298214887857535
sigma_5_3000,-0.00208992228461069,0.0008708626584549295
sigma_7_3000,-0.003557550211468974,0.00039467205068488553
sigma_10_3000,-0.0006111890584329371,0.0025168844890951503
sigma_3_5000,-0.0007135853265509695,0.002853102805234653
sigma_5_5000,0.001657922912542742,0.005376316737654374
sigma_7_5000,0.007127248650319884,0.011450864116088977
sigma_10_5000,0.06932706690888324,0.07154156980017934
sigma_3_10000,0.005999628196153739,0.009452857452262209
sigma_5_10000,0.030265507203575126,0.03574700425424482
sigma_7_10000,0.28767489458105766,0.293021973153217
