Features,Z,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,None,0.4688,0.7573,0.5898,0.644,0.5791,0.5466,0.739,0.4618,0,0,0,0,0,0,0,0
all_features,1,0.4936,0.7622,0.642,0.6798,0.5992,0.5734,0.7729,0.4887,0.5087,0.7868,0.6521,0.6944,0.6179,0.5874,0.7934,0.5024
all_features,0.7,0.5114,0.6993,0.7442,0.7318,0.5907,0.5711,0.7935,0.5588,0.5524,0.8444,0.738,0.7675,0.6679,0.6551,0.8692,0.5508
all_features,0.5,0.4795,0.64,0.8067,0.7705,0.5482,0.5098,0.7957,0.6104,0.614,0.8605,0.8496,0.8519,0.7167,0.7162,0.9289,0.6557
all_features,0.3,0.3464,0.578,0.8135,0.7791,0.4332,0.3525,0.7673,0.6131,0.7193,0.839,0.944,0.9287,0.7745,0.8113,0.9708,0.818
all_features_bcg,None,0.8948,0.9346,0.9475,0.9433,0.9143,0.9716,0.9876,0.6576,0,0,0,0,0,0,0,0
all_features_bcg,1,0.8915,0.9328,0.948,0.9432,0.9117,0.9703,0.9875,0.6576,0.8996,0.9264,0.9527,0.9444,0.9128,0.9717,0.988,0.7009
all_features_bcg,0.7,0.8822,0.919,0.953,0.9436,0.9002,0.9642,0.987,0.6633,0.8811,0.9236,0.9523,0.9444,0.9019,0.966,0.9876,0.7142
all_features_bcg,0.5,0.8583,0.8972,0.9588,0.9454,0.8773,0.952,0.9867,0.6627,0.85,0.9156,0.955,0.9465,0.8816,0.9541,0.9874,0.7362
all_features_bcg,0.3,0.8238,0.8845,0.9677,0.9555,0.8531,0.9349,0.9884,0.6358,0.8346,0.8806,0.9702,0.9571,0.8569,0.9385,0.9892,0.8331
all_features_sigmas,None,0.7558,0.8272,0.8723,0.8577,0.7899,0.8657,0.928,0.5537,0,0,0,0,0,0,0,0
all_features_sigmas,1,0.7626,0.8418,0.88,0.868,0.8002,0.8769,0.9378,0.5738,0.7823,0.8414,0.8928,0.8767,0.8108,0.8854,0.9445,0.5841
all_features_sigmas,0.7,0.7748,0.8115,0.9097,0.8825,0.7927,0.8704,0.9432,0.6553,0.8017,0.8608,0.9185,0.9025,0.8302,0.9023,0.9626,0.6375
all_features_sigmas,0.5,0.7248,0.8124,0.9142,0.892,0.7661,0.8424,0.9446,0.6604,0.8097,0.8765,0.9427,0.9283,0.8418,0.9118,0.9761,0.7141
all_features_sigmas,0.3,0.7105,0.7216,0.9497,0.9164,0.716,0.7902,0.9473,0.7627,0.8394,0.888,0.9709,0.9588,0.863,0.9297,0.9888,0.8173
