feature,permutation_train,permutation_test
W1,0.01581290645455158,0.018983833941521477
W1_err,0.011978311449067358,0.01542341333237407
g_cmodel_mag,0.03351594005431935,0.0366139990616009
r_cmodel_mag,0.04548831520502039,0.04846489105956164
i_cmodel_mag,0.017830981498139775,0.021555896828998278
z_cmodel_mag,0.008549165241718226,0.01164207431512565
y_cmodel_mag,0.005630685769937971,0.008823033390499946
g_cmodel_magsigma,0.0022316071070346277,0.00567097830770158
r_cmodel_magsigma,0.007726040576016779,0.01107995834209452
i_cmodel_magsigma,0.001627766366111283,0.005419019427231553
z_cmodel_magsigma,0.00036005330137389713,0.004543790324478825
y_cmodel_magsigma,-0.001206537947025188,0.003032876185661837
g_cmodel_fracdev,-0.002562853252198627,0.0010649018329652593
r_cmodel_fracdev,-0.0013674667234492288,0.0020805597845824364
i_cmodel_fracdev,-0.00035899267847272487,0.003544501331342098
z_cmodel_fracdev,-0.0011364112811904636,0.0025348967420948387
y_cmodel_fracdev,-0.002009224899770623,0.0019383591260024868
g_kronflux_mag,0.012885998589558523,0.01586680303879251
r_kronflux_mag,0.011558771518129896,0.015215723070744813
i_kronflux_mag,0.01093637510296952,0.01414243186616626
z_kronflux_mag,0.005718727149086056,0.00872170353646784
y_kronflux_mag,0.005920332583681853,0.009527623522298745
g_kronflux_magsigma,-0.001983145787314844,0.0019567321045478314
r_kronflux_magsigma,0.003330496598637711,0.0072356215333687635
i_kronflux_magsigma,-0.000561137280109647,0.0033374791730623743
z_kronflux_magsigma,-9.075844456174487e-05,0.003030656743857163
y_kronflux_magsigma,-0.0012033908501287716,0.0029522852846752823
i_kronflux_radius,-0.0021281295559985036,0.0021215871099892203
r_sdssshape_shape11,-0.002179722767515324,0.0018373784770072676
i_sdssshape_shape11,-0.0009594153504315361,0.0028801597623526742
z_sdssshape_shape11,-0.001181184422421322,0.002365814487425788
y_sdssshape_shape11,-0.0018665325421770573,0.001817813333961693
r_sdssshape_shape12,-0.0023359687884887403,0.0012988866647999364
i_sdssshape_shape12,-0.002157788666793281,0.002096363876026852
z_sdssshape_shape12,-0.001896623409319953,0.0019928221394345247
y_sdssshape_shape12,-0.001989889737466055,0.0014886685188144622
r_sdssshape_shape22,-0.0024887287266578406,0.0017694769486790163
i_sdssshape_shape22,-0.0011493380969638256,0.0025269801117863144
z_sdssshape_shape22,-0.0012767408120472057,0.0021651916527417603
y_sdssshape_shape22,-0.0018999487328085207,0.0015454482651097168
r_sdssshape_shape11sigma,-0.0013996545537567906,0.0023133272444070263
i_sdssshape_shape11sigma,-0.0013582952105453128,0.0022668211028549212
z_sdssshape_shape11sigma,-0.0015241547146901402,0.0023560061317120518
y_sdssshape_shape11sigma,-0.0015653396616459592,0.0025467695789941347
r_sdssshape_shape12sigma,-0.0015687324016709914,0.0023360085686846555
i_sdssshape_shape12sigma,-0.0019223437369922936,0.001747487765056177
z_sdssshape_shape12sigma,-0.0009037892346805965,0.003075860947072462
y_sdssshape_shape12sigma,-0.0016128010881192312,0.0028215437967001877
r_sdssshape_shape22sigma,-0.00013025937185628944,0.0032248680268208707
i_sdssshape_shape22sigma,-0.0012146830303160217,0.0031293067164309685
z_sdssshape_shape22sigma,-8.649528850168675e-05,0.0036803573909635068
y_sdssshape_shape22sigma,0.00022565405720864629,0.003683690832529618
gr,0.19211261902343202,0.19524200650583656
ri,0.22085534737079804,0.22697166834783322
iz,0.1514519276931583,0.15320516172812593
zy,0.026353761361394556,0.029952805356718293
W1g,0.02709653844184312,0.03083431523230229
W1r,0.06359578407726274,0.06750405137864168
W1i,0.02427830585467483,0.02729524822019369
W1z,0.01596282446879871,0.019116656985224134
W1y,0.028217548868800568,0.030771382957154647
z_cl_near,0.6245998464106048,0.6277972328436543
