feature,permutation_train,permutation_test
W1,0.03223232950877297,0.03681016101547785
W1_err,0.03661155549024431,0.039906787825699674
g_cmodel_mag,8.291782812008819e-05,0.0022347929524677568
r_cmodel_mag,0.002629300041727012,0.005760820513204479
i_cmodel_mag,0.0029222827056658573,0.005690148457606847
z_cmodel_mag,0.004035549907662528,0.0076421175315398715
y_cmodel_mag,0.005048870986601006,0.008185541493953452
g_cmodel_magsigma,-0.0029168493068760792,0.0008945081810708411
r_cmodel_magsigma,-0.002561533620938139,0.000856773586424664
i_cmodel_magsigma,-0.0038179190166514054,1.6006418159131286e-05
z_cmodel_magsigma,-0.003782913381312425,-0.0003114167860073236
y_cmodel_magsigma,-0.001981109285870253,0.0009586455256629378
g_cmodel_fracdev,-0.002924216246958933,0.0006974066937024404
r_cmodel_fracdev,-0.002910233764910952,0.0008263720485663928
i_cmodel_fracdev,-0.0035082071336816067,0.0007649655264005961
z_cmodel_fracdev,-0.0019421745450263206,0.0005149647793861734
y_cmodel_fracdev,-0.0010308596443584506,0.0008088920793527521
g_kronflux_mag,-0.00043496702513246,0.001961123723027036
r_kronflux_mag,-0.0018893218540888546,0.0012628339677949185
i_kronflux_mag,-0.0027687846207173905,0.0005488157331431376
z_kronflux_mag,0.0012379162592268678,0.0038326474107793773
y_kronflux_mag,-0.001282612396055316,0.0016236940009625167
g_kronflux_magsigma,-0.003515388626556315,0.0001518549541073
r_kronflux_magsigma,-0.0026617741465279066,7.221264836598795e-05
i_kronflux_magsigma,-0.003241415679830939,-0.00022718534405696822
z_kronflux_magsigma,-0.0035449224986168204,-0.0001100952643495745
y_kronflux_magsigma,-0.002341401792698483,0.0002449484057374107
i_kronflux_radius,-0.0022787037042835134,0.001344547707483934
r_sdssshape_shape11,-0.0021616936589348157,0.0012249319356083532
i_sdssshape_shape11,-0.00281516657444425,0.0003798711968363566
z_sdssshape_shape11,-0.0010008330587745196,0.0009663137751960704
y_sdssshape_shape11,-0.0016813836155806783,0.000864762922167861
r_sdssshape_shape12,-0.00218259371917906,0.00028320306369489234
i_sdssshape_shape12,-0.0025337889204853914,0.0004761299977611433
z_sdssshape_shape12,-0.0012734794863040744,0.0011197387548255167
y_sdssshape_shape12,-0.002746672242098347,0.00038345167756315135
r_sdssshape_shape22,-0.0016835874108744875,0.0007785945895900648
i_sdssshape_shape22,-0.001923971924614687,0.0006455170332053672
z_sdssshape_shape22,-0.001587937524658356,0.002104595351750671
y_sdssshape_shape22,-0.0026164808955532193,0.0004918112714307199
r_sdssshape_shape11sigma,-0.003182792221380515,0.00022027519668221807
i_sdssshape_shape11sigma,-0.002480514371825726,2.4668407653138935e-05
z_sdssshape_shape11sigma,-0.003312575997597711,0.0003619532184258034
y_sdssshape_shape11sigma,-0.0029894210592663617,9.388329140325169e-06
r_sdssshape_shape12sigma,-0.0035542609656328272,-0.00014823060315805048
i_sdssshape_shape12sigma,-0.0030533920115247692,6.861424851845044e-05
z_sdssshape_shape12sigma,-0.002251524110206793,0.0002357010022895345
y_sdssshape_shape12sigma,-0.003143254512246285,-7.678746050920893e-05
r_sdssshape_shape22sigma,-0.003293469503597768,-0.0001926115954236085
i_sdssshape_shape22sigma,-0.002575435802111281,0.0007861130721723564
z_sdssshape_shape22sigma,-0.0026640282004177784,0.00033499400763281617
y_sdssshape_shape22sigma,-0.00268839397247711,0.0012385161728911687
gr,0.003568974078117959,0.006521734051328942
ri,0.013427037432215405,0.01638847576651803
iz,0.0049574861996817265,0.008441923717078859
zy,-0.002039501141183009,0.001320742163020805
W1g,0.0029011329639123673,0.006186234860682482
W1r,0.00400041214608593,0.007184153170096352
W1i,9.02099183310856e-05,0.0026345390085718012
W1z,-0.002800625056630479,8.777512242752472e-05
W1y,-0.002854862844134387,0.0004768470777734013
sigma_5,-0.0028380837211487986,0.0003704291939303772
sigma_3,-0.003586069622403154,0.00047544464043847157
sigma_7,-0.00024280681229249534,0.0037649242671468075
sigma_10,0.013251218379344287,0.01633893413503984
sigma_3_1000,-0.003091261111942911,0.00029447747587252326
sigma_5_1000,-0.0029020555811685167,0.0008502319550599546
sigma_7_1000,-0.002541794432091571,0.0006928169372090176
sigma_10_1000,-0.001978336549324222,0.0017198600333944158
sigma_3_3000,-0.0020994915788457025,0.0004894504321201198
sigma_5_3000,-0.0016398372264448957,0.001787228197119295
sigma_7_3000,-0.003202156403906198,0.0003802946798032725
sigma_10_3000,0.005049649654125243,0.00747817366596526
sigma_3_5000,-0.0011639355877928192,0.00227709376577645
sigma_5_5000,0.002757248003773638,0.004842086592275252
sigma_7_5000,0.014372450256549874,0.017497932400382887
sigma_10_5000,0.16452112807651265,0.1692012964741485
sigma_3_10000,0.0003497984365843365,0.003287048323748043
sigma_5_10000,0.014075955107117899,0.01634908590820816
sigma_7_10000,0.2154952094559266,0.21944705187446978
