feature,permutation_train,permutation_test
W1,0.029711368023381812,0.03335567660170691
W1_err,0.040760487038368876,0.04285812660970656
g_cmodel_mag,-0.001953235231604511,0.0013255145296277027
r_cmodel_mag,0.0006867286198346534,0.004090949967166191
i_cmodel_mag,0.001188204782553326,0.003574097454900338
z_cmodel_mag,0.003600274913484247,0.005038022122118124
y_cmodel_mag,0.002766279297427121,0.006022560023372647
g_cmodel_magsigma,-0.001970298476346777,0.00105954876554204
r_cmodel_magsigma,-0.0014901128010911258,0.0009311546485777367
i_cmodel_magsigma,-0.0016797268308714752,0.0006453223579061529
z_cmodel_magsigma,-0.0022361039371243674,0.0007336019250716586
y_cmodel_magsigma,-0.0028373779646995168,0.0007797762183079371
g_cmodel_fracdev,-0.002899236107113845,0.0003909568290605403
r_cmodel_fracdev,-0.002568772644373496,0.0005414930686429287
i_cmodel_fracdev,-0.003309239103510664,0.000729442500672195
z_cmodel_fracdev,-0.0014233040145180675,0.0006894156754106984
y_cmodel_fracdev,-0.002207472272609423,0.0005790092854354167
g_kronflux_mag,-0.0017490280963963212,0.0010080198864659273
r_kronflux_mag,-0.000436942612941138,0.0022942018183673696
i_kronflux_mag,-0.0014856796032436392,0.000957034863612094
z_kronflux_mag,-0.0009448972971437541,0.00233987172491279
y_kronflux_mag,-0.0013332002612891358,0.0010445496819404543
g_kronflux_magsigma,-0.0029942165818408473,0.0004096933890290755
r_kronflux_magsigma,-0.0021014140933638403,0.0003201854748667854
i_kronflux_magsigma,-0.002034606336519418,0.0004192461988969942
z_kronflux_magsigma,-0.0025596542264676447,0.00042225592799050027
y_kronflux_magsigma,-0.002460352546042821,0.0002700226139976669
i_kronflux_radius,-0.002230701956564607,0.0013913553377564725
r_sdssshape_shape11,-0.0018013561111640541,0.001389652741818237
i_sdssshape_shape11,-0.002433967778228796,0.0005233051547768319
z_sdssshape_shape11,-0.0023979396960756016,0.0007275885999060705
y_sdssshape_shape11,-0.0019159958968570923,0.0008785243207714011
r_sdssshape_shape12,-0.0013110202440982377,0.00025071708041035645
i_sdssshape_shape12,-0.0022488843149162108,0.0004485760720096543
z_sdssshape_shape12,-0.0014073206613400835,0.0008435150775298883
y_sdssshape_shape12,-0.0017115127807965091,0.0003964841585284429
r_sdssshape_shape22,-0.002995756603017874,0.0008495207697698515
i_sdssshape_shape22,-0.0017058213338967398,0.0007778433839198406
z_sdssshape_shape22,-0.0009810325753429883,0.0020067668110937964
y_sdssshape_shape22,-0.002854683700033833,0.000690452333221403
r_sdssshape_shape11sigma,-0.00184521238673796,0.0009755473578988427
i_sdssshape_shape11sigma,-0.002914292105675731,0.0004267106565423173
z_sdssshape_shape11sigma,-0.002095240234730511,0.0004470980622566234
y_sdssshape_shape11sigma,-0.0018345937020282088,0.00028905267238577004
r_sdssshape_shape12sigma,-0.0026298664932744575,0.00027664057855092405
i_sdssshape_shape12sigma,-0.0021042705849790844,0.00035808818558835664
z_sdssshape_shape12sigma,-0.0019474729693080839,0.0003968162600539449
y_sdssshape_shape12sigma,-0.0023789628196363433,0.0004226385093244467
r_sdssshape_shape22sigma,-0.0021909548888074948,0.0007370771548032007
i_sdssshape_shape22sigma,-0.002384930093428217,0.0007349790497135356
z_sdssshape_shape22sigma,-0.002609244588064219,0.0005985224506230846
y_sdssshape_shape22sigma,-0.0019836011715256285,0.001104761787167674
gr,0.005179739933567351,0.007757910838083859
ri,0.012139485882114887,0.01622966017188676
iz,0.006753807414605517,0.010253350751980195
zy,-0.0032329725479797178,0.0007815632027504682
W1g,0.005892348496091215,0.008192140130766634
W1r,0.006017414720177916,0.009994785616454616
W1i,0.0026732425660258574,0.005946594447733933
W1z,-0.00102377557990585,0.0027211262401753977
W1y,-0.0015098136726147127,0.002052354264438061
sigma_5,-0.0030110190307930385,0.0007713454975784018
sigma_3,-0.003388669429937652,0.00048526755436384406
sigma_7,0.0010556338469193127,0.00469100391773547
sigma_10,0.015134745795865934,0.018592599126519338
sigma_3_1000,-0.0025802208436296326,0.00029442902180665254
sigma_5_1000,-0.0017746496685362434,0.0006197175720175085
sigma_7_1000,-0.0018341616171393404,0.00039224760840395057
sigma_10_1000,-0.0005152199197092644,0.002089514235302792
sigma_3_3000,-0.001830741480725817,0.0006872727092970266
sigma_5_3000,-0.0009650355928886301,0.0016104431974914846
sigma_7_3000,-0.0029817572568164863,0.0005167799473422274
sigma_10_3000,0.0038917031020542225,0.006418039231966155
sigma_3_5000,-0.0008982332966566142,0.002661144233536805
sigma_5_5000,0.0032213490424588542,0.005046054123201471
sigma_7_5000,0.012687941019721705,0.015511337637235889
sigma_10_5000,0.15003394469102938,0.1502516746879875
sigma_3_10000,-0.000364940848055495,0.0028879460168891313
sigma_5_10000,0.012758878651722205,0.016445063433994767
sigma_7_10000,0.20730184437771615,0.20829793797595197
