Features,z_min,z_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,0.2,0.4,0.5163,0.8061,0.5796,0.6606,0.6295,0.5820,0.7514,0.4888,0.5350,0.7789,0.6231,0.6788,0.6343,0.5999,0.7630,0.4732
all_features,0.4,0.6,0.4984,0.8348,0.5019,0.6258,0.6241,0.5886,0.7392,0.4677,0.5157,0.8019,0.5536,0.6460,0.6277,0.5935,0.7434,0.4373
all_features,0.6,0.8,0.4653,0.8264,0.4059,0.5677,0.5954,0.5532,0.6843,0.4609,0.4746,0.8121,0.4374,0.5816,0.5991,0.5632,0.6915,0.4117
all_features,0.8,1.0,0.4302,0.7498,0.5052,0.5865,0.5467,0.5095,0.6813,0.4410,0.4238,0.7760,0.4743,0.5747,0.5482,0.5122,0.6840,0.4225
all_features,1.0,1.2,0.3751,0.6517,0.5983,0.6127,0.4762,0.4318,0.6697,0.4344,0.3701,0.6730,0.5761,0.6023,0.4775,0.4320,0.6702,0.4479
all_features,1.2,1.4,0.2998,0.5865,0.6481,0.6355,0.3968,0.3377,0.6537,0.3463,0.2965,0.5925,0.6389,0.6294,0.3952,0.3380,0.6541,0.3870
all_features,1.4,1.6,0.2322,0.4560,0.7869,0.7459,0.3077,0.2127,0.6377,0.2890,0.2300,0.4720,0.7767,0.7390,0.3093,0.2136,0.6390,0.3052
all_features,1.6,1.8,0.1642,0.2157,0.9546,0.9253,0.1864,0.0904,0.6377,0.2970,0.1719,0.2157,0.9571,0.9276,0.1913,0.0922,0.6385,0.3229
all_features,1.8,2.0,0.0870,0.0909,0.9762,0.9547,0.0889,0.0442,0.6419,0.2080,0.0649,0.2273,0.9186,0.9018,0.1010,0.0448,0.6418,0.1764
all_features_bcg,0.2,0.4,0.8166,0.9354,0.8830,0.9018,0.8720,0.9464,0.9710,0.5252,0.9053,0.9245,0.9461,0.9384,0.9148,0.9709,0.9855,0.6732
all_features_bcg,0.4,0.6,0.9021,0.9249,0.9405,0.9347,0.9134,0.9695,0.9834,0.6891,0.9246,0.9538,0.9539,0.9539,0.9390,0.9817,0.9908,0.6186
all_features_bcg,0.6,0.8,0.9133,0.9473,0.9437,0.9451,0.9300,0.9778,0.9879,0.6718,0.9277,0.9563,0.9533,0.9545,0.9418,0.9841,0.9914,0.5917
all_features_bcg,0.8,1.0,0.9204,0.9565,0.9588,0.9580,0.9381,0.9826,0.9922,0.6561,0.9335,0.9714,0.9655,0.9675,0.9521,0.9869,0.9944,0.6529
all_features_bcg,1.0,1.2,0.9060,0.9658,0.9629,0.9637,0.9349,0.9806,0.9940,0.5694,0.9365,0.9678,0.9757,0.9736,0.9519,0.9897,0.9965,0.6601
all_features_bcg,1.2,1.4,0.9074,0.9770,0.9744,0.9749,0.9409,0.9842,0.9964,0.5690,0.9541,0.9744,0.9880,0.9852,0.9642,0.9922,0.9982,0.8434
all_features_bcg,1.4,1.6,0.8707,0.9160,0.9808,0.9728,0.8928,0.9382,0.9923,0.7098,0.9139,0.9760,0.9870,0.9856,0.9439,0.9649,0.9965,0.8903
all_features_bcg,1.6,1.8,0.8936,0.8235,0.9959,0.9891,0.8571,0.9202,0.9948,0.7934,0.9167,0.8627,0.9968,0.9914,0.8889,0.9464,0.9972,0.8577
all_features_bcg,1.8,2.0,0.8400,0.9545,0.9955,0.9945,0.8936,0.9405,0.9985,0.6683,0.9545,0.9545,0.9989,0.9978,0.9545,0.9853,0.9996,0.9692
all_features_sigmas,0.2,0.4,0.7990,0.8525,0.8806,0.8705,0.8249,0.8971,0.9440,0.5785,0.7777,0.8853,0.8591,0.8685,0.8280,0.8976,0.9447,0.5080
all_features_sigmas,0.4,0.6,0.7917,0.8660,0.8649,0.8653,0.8272,0.8958,0.9393,0.5964,0.8014,0.8548,0.8744,0.8671,0.8273,0.8971,0.9399,0.5501
all_features_sigmas,0.6,0.8,0.7799,0.8713,0.8461,0.8558,0.8231,0.8937,0.9339,0.5928,0.7940,0.8594,0.8605,0.8601,0.8254,0.8946,0.9346,0.5428
all_features_sigmas,0.8,1.0,0.7808,0.8136,0.8862,0.8620,0.7969,0.8754,0.9325,0.5932,0.7888,0.8053,0.8925,0.8635,0.7970,0.8766,0.9332,0.6253
all_features_sigmas,1.0,1.2,0.7234,0.8255,0.8832,0.8676,0.7711,0.8386,0.9309,0.5141,0.7168,0.8286,0.8788,0.8653,0.7686,0.8381,0.9309,0.5578
all_features_sigmas,1.2,1.4,0.6928,0.7903,0.9100,0.8855,0.7384,0.8072,0.9377,0.5208,0.7635,0.7212,0.9426,0.8974,0.7418,0.8093,0.9386,0.7368
all_features_sigmas,1.4,1.6,0.6547,0.7280,0.9457,0.9188,0.6894,0.7099,0.9246,0.3449,0.6364,0.7280,0.9412,0.9148,0.6791,0.7020,0.9205,0.4789
all_features_sigmas,1.6,1.8,0.5660,0.5882,0.9814,0.9658,0.5769,0.5656,0.9569,0.4249,0.5918,0.5686,0.9838,0.9673,0.5800,0.5717,0.9577,0.5412
all_features_sigmas,1.8,2.0,0.6875,0.5000,0.9943,0.9823,0.5789,0.6023,0.9397,0.5844,0.5185,0.6364,0.9853,0.9768,0.5714,0.6003,0.9334,0.4223
