feature,permutation_train,permutation_test
W1,0.013177204859011919,-0.00368873155132049
W1_err,0.013758421024611913,-0.005574931004152683
g_cmodel_mag,0.01139444631311648,-0.017511344240592128
r_cmodel_mag,0.01129197714235404,-0.00818632941118893
i_cmodel_mag,0.01062269647828068,-0.010442474339152893
z_cmodel_mag,0.011665450330662505,-0.009308333155388121
y_cmodel_mag,0.01103969689002119,-0.008855610961685904
g_cmodel_magsigma,0.012034855941908867,-0.015232640790619575
r_cmodel_magsigma,0.010064241425265817,-0.009384640008562053
i_cmodel_magsigma,0.009762577307113475,-0.010337915867325784
z_cmodel_magsigma,0.009246509760445998,-0.012348394048985134
y_cmodel_magsigma,0.010190696625797212,-0.014580985780534919
g_cmodel_fracdev,0.011843805656847471,-0.029858080847524664
r_cmodel_fracdev,0.012077098906072274,-0.009178732142743395
i_cmodel_fracdev,0.011022895287231521,-0.011486062835092958
z_cmodel_fracdev,0.011713486399935642,-0.020358698155450626
y_cmodel_fracdev,0.011843273408312135,-0.01038686580380143
g_kronflux_mag,0.014321853406699687,-0.014986046626314989
r_kronflux_mag,0.013182375699305391,-0.009608537840524553
i_kronflux_mag,0.011265057551948565,-0.009726060111711177
z_kronflux_mag,0.009922332507193661,-0.015205419400106848
y_kronflux_mag,0.010435631403693392,-0.006278099743551556
g_kronflux_magsigma,0.010512902614696958,-0.009479806627541873
r_kronflux_magsigma,0.011376754022840822,-0.019457646766100796
i_kronflux_magsigma,0.013727359215123337,-0.0178322969063522
z_kronflux_magsigma,0.011570060801614282,-0.008988641938333729
y_kronflux_magsigma,0.01059229247302626,-0.01706295596347729
i_kronflux_radius,0.01173214620024314,-0.018897726541574338
r_sdssshape_shape11,0.011507993605926886,-0.011732991966744655
i_sdssshape_shape11,0.011540317443764637,-0.007456046091883092
z_sdssshape_shape11,0.0114119697021592,-0.006890820977171162
y_sdssshape_shape11,0.011619305292486684,-0.011708848326352259
r_sdssshape_shape12,0.01096472212448156,-0.0119144698011686
i_sdssshape_shape12,0.010821371454941137,-0.013385643365675173
z_sdssshape_shape12,0.011927484655451986,-0.010063853147719848
y_sdssshape_shape12,0.011460042419531996,-0.011580393544022849
r_sdssshape_shape22,0.011541350252319685,-0.016564716499850612
i_sdssshape_shape22,0.013101722531646091,-0.013607474984958567
z_sdssshape_shape22,0.011614816135069664,-0.012347050763105577
y_sdssshape_shape22,0.011312977826408027,-0.012680638415566492
r_sdssshape_shape11sigma,0.010780994939291175,-0.03432620855622382
i_sdssshape_shape11sigma,0.011799275635621387,-0.009032109556389133
z_sdssshape_shape11sigma,0.011609212961479709,-0.008000884991303692
y_sdssshape_shape11sigma,0.011015289364697416,-0.010320628603260815
r_sdssshape_shape12sigma,0.011355591048238856,-0.015974393770917625
i_sdssshape_shape12sigma,0.013145704286753258,-0.008346249689146823
z_sdssshape_shape12sigma,0.013292649518887957,-0.007100623704922052
y_sdssshape_shape12sigma,0.013802007401107614,-0.01491067210204683
r_sdssshape_shape22sigma,0.013026468135621135,-0.010964033253068071
i_sdssshape_shape22sigma,0.011060843008320151,-0.012547413965668636
z_sdssshape_shape22sigma,0.012898927595793766,-0.011600449542838578
y_sdssshape_shape22sigma,0.010906475999547444,-0.042167283695184084
gr,0.011838686411056717,-0.008282834822883958
ri,0.018937530652109354,0.010004241340190949
iz,0.01733153212622961,-0.0279925092218982
zy,0.011277926336794572,-0.01854485525049466
W1g,0.014176786949600721,-0.007108571173667165
W1r,0.011956682189766893,-0.011451187189670885
W1i,0.008999328147264854,-0.015181890489561048
W1z,0.009205238499998963,-0.015606463973652111
W1y,0.005926077820248857,-0.012425121773927676
