feature,permutation_train,permutation_test
W1,0.09316889638050474,0.004679890417011334
W1_err,0.0399448066971001,0.002384097135177954
g_cmodel_mag,0.051806740783021055,0.0005172387829988079
r_cmodel_mag,0.05077537027507606,0.0021161042492116033
i_cmodel_mag,0.049114454979550914,0.00043324515545550835
z_cmodel_mag,0.03857569972311892,-0.004827536688188583
y_cmodel_mag,0.03964632000093071,3.2896170979013206e-05
g_cmodel_magsigma,0.05772521729289337,0.0028304856074651275
r_cmodel_magsigma,0.0515593985978372,-0.00923121185504061
i_cmodel_magsigma,0.0512769329436954,0.012351081824409027
z_cmodel_magsigma,0.06583231752359942,0.009934810800458993
y_cmodel_magsigma,0.05237878437657251,0.008009590393599053
g_cmodel_fracdev,0.05021736839325297,-0.0017180834681232993
r_cmodel_fracdev,0.04853743807735378,0.0018544456516196295
i_cmodel_fracdev,0.05031669707563735,0.0005199129009277881
z_cmodel_fracdev,0.05209798819045841,0.0008297044895008154
y_cmodel_fracdev,0.04748931150801272,0.0004995989682742286
g_kronflux_mag,0.051677420345007996,0.0025183234758470174
r_kronflux_mag,0.05044409844267794,0.005860505787805836
i_kronflux_mag,0.04687057037538589,0.00234739785022986
z_kronflux_mag,0.04489662095993885,-0.0032632029592082334
y_kronflux_mag,0.04601435711673407,-0.00015297798644742233
g_kronflux_magsigma,0.05378777744667418,0.007035601639270639
r_kronflux_magsigma,0.05101315190571809,-0.004635833105218867
i_kronflux_magsigma,0.05691303203715126,0.003602886743312106
z_kronflux_magsigma,0.04929292825062481,-0.005915787794084415
y_kronflux_magsigma,0.04796217326920016,-0.0002278497623254827
i_kronflux_radius,0.051155326223374376,0.0009230047130966978
r_sdssshape_shape11,0.04825664159595289,-0.0015484781693509975
i_sdssshape_shape11,0.04709545259493153,-0.0003437579040450611
z_sdssshape_shape11,0.04680621607987201,-0.002978062229800904
y_sdssshape_shape11,0.04807445879358263,-0.0007947282788890453
r_sdssshape_shape12,0.04804340502876603,-0.0007332188447081167
i_sdssshape_shape12,0.04695134813871671,-0.00236017187444848
z_sdssshape_shape12,0.048414122193482845,0.00048241325263698176
y_sdssshape_shape12,0.04803108801022715,0.0006543838530401747
r_sdssshape_shape22,0.04950737828312923,-0.001401811259859831
i_sdssshape_shape22,0.047510403501807685,-0.0004449527261785047
z_sdssshape_shape22,0.04723992604987548,-0.001232431624728858
y_sdssshape_shape22,0.05082366795724247,-0.000733758260150208
r_sdssshape_shape11sigma,0.05359066164600634,-0.002502483633539776
i_sdssshape_shape11sigma,0.05228896051751042,0.0005481893573223706
z_sdssshape_shape11sigma,0.05419743638972219,0.005293513988566256
y_sdssshape_shape11sigma,0.07744819637520173,0.017958401021966663
r_sdssshape_shape12sigma,0.057193730223970674,-0.0002818295077823274
i_sdssshape_shape12sigma,0.05628379084459678,0.0034103161495678824
z_sdssshape_shape12sigma,0.05512328271288969,0.004779614485134531
y_sdssshape_shape12sigma,0.05324132910779478,0.0019624853447036683
r_sdssshape_shape22sigma,0.04964676567410764,-0.0008053024923696528
i_sdssshape_shape22sigma,0.06035311492348128,0.007840438140471084
z_sdssshape_shape22sigma,0.052128117843161514,0.007358304957095663
y_sdssshape_shape22sigma,0.05655458924337897,0.022894535024075013
gr,0.07253918630992362,0.013972376752852123
ri,0.14978598140467858,0.09757035537581371
iz,0.16976188017402494,0.060818322515520884
zy,0.06683540349455563,0.04273379699312907
W1g,0.06776559961137252,0.007192965205217727
W1r,0.09443989727538615,0.024132403478564712
W1i,0.11240017032052241,0.03168199526265314
W1z,0.11366564995096806,0.03927505469807524
W1y,0.12372829871911628,0.0432645767654668
z_cl_near,0.8765748264551263,0.8716148762194582
