feature,permutation_train,permutation_test
W1,0.04591119807779065,0.04024227446725792
W1_err,0.0737817044510305,0.061474551853959
g_cmodel_mag,0.012727191773085011,0.0022024420221292695
r_cmodel_mag,0.01111097431070629,0.00024083618851111765
i_cmodel_mag,0.010588020878898874,-0.00028746320469774655
z_cmodel_mag,0.01143481469112917,0.0007157562014852292
y_cmodel_mag,0.011342870798820126,0.001152357064667986
g_cmodel_magsigma,0.013933395399730597,0.0021201074147702004
r_cmodel_magsigma,0.01272036966387935,0.0018826936255136317
i_cmodel_magsigma,0.010970180154012965,0.00047141650874849006
z_cmodel_magsigma,0.01135408210289468,0.0010541413715017267
y_cmodel_magsigma,0.012005881883340175,0.0028241417238479283
g_cmodel_fracdev,0.010406239472125933,-0.00017341408673576808
r_cmodel_fracdev,0.010509889430632358,0.0002920531218071343
i_cmodel_fracdev,0.010841740999812055,-9.509065124069238e-05
z_cmodel_fracdev,0.010765335295669254,4.078741140411957e-05
y_cmodel_fracdev,0.010855881976077897,-0.00044452096186187173
g_kronflux_mag,0.010978375818269659,0.0002057625392956064
r_kronflux_mag,0.010385043720043119,0.00011741369352002984
i_kronflux_mag,0.0097034223209147,7.143122134334323e-05
z_kronflux_mag,0.010029369148607636,-0.00021699304713695966
y_kronflux_mag,0.01001258918977399,-0.0010042284478414265
g_kronflux_magsigma,0.012701664129313173,0.00289382105384528
r_kronflux_magsigma,0.011506192642268265,0.0005035240133866026
i_kronflux_magsigma,0.011872346521627941,0.0016189219189839399
z_kronflux_magsigma,0.01125860354125463,0.0007543080506391409
y_kronflux_magsigma,0.0106811984080184,-0.00035739541722978885
i_kronflux_radius,0.011027416863790052,0.0003110209154764121
r_sdssshape_shape11,0.010724403093275048,0.00011499457151731285
i_sdssshape_shape11,0.010071006461709109,-0.0006258998607140409
z_sdssshape_shape11,0.010531162994848353,0.0008539007537653465
y_sdssshape_shape11,0.010723300660937185,0.0006012786640119394
r_sdssshape_shape12,0.010049487888001751,-0.00038502893100234026
i_sdssshape_shape12,0.010052233882108297,1.6964153085163858e-05
z_sdssshape_shape12,0.010378328699430117,0.00012367654121947513
y_sdssshape_shape12,0.010027394700531045,0.00036597363343848777
r_sdssshape_shape22,0.010345117128223724,0.0005109695958946947
i_sdssshape_shape22,0.0100146029489796,0.00031873450216846066
z_sdssshape_shape22,0.010060952340417373,-0.00011907591604143342
y_sdssshape_shape22,0.01044417143769416,0.0008627298901338065
r_sdssshape_shape11sigma,0.01173217377038327,0.00144075329678639
i_sdssshape_shape11sigma,0.01252947999783105,0.003145260835907049
z_sdssshape_shape11sigma,0.011469456454326954,0.0009859610282602072
y_sdssshape_shape11sigma,0.01132490448198864,0.0012835675384975653
r_sdssshape_shape12sigma,0.011446129445466413,0.0010172003418331688
i_sdssshape_shape12sigma,0.011670687755354181,0.0015250451894448513
z_sdssshape_shape12sigma,0.011427822683901079,0.0010693670192012394
y_sdssshape_shape12sigma,0.011788888538836972,8.393311232501866e-05
r_sdssshape_shape22sigma,0.013513748260975955,0.0026135810339524834
i_sdssshape_shape22sigma,0.012295264606897782,0.001161423499770109
z_sdssshape_shape22sigma,0.01180336901241863,0.0022682235308135734
y_sdssshape_shape22sigma,0.01168639754029166,0.001580376581513443
gr,0.01658642713909475,0.0029461559420440597
ri,0.018105042809616556,0.011294153416720243
iz,0.01070417348074515,0.0005272712541608549
zy,0.011673905466540901,-0.000334957166808425
W1g,0.012289198009387547,0.003872694513488373
W1r,0.01303974214796999,0.005898008388636189
W1i,0.012785643960397275,0.004359208796395397
W1z,0.013112716395788482,0.0031658603615266623
W1y,0.012244868271838905,0.00232964422196702
sigma_5,0.009688616367106828,2.8949945178879943e-05
sigma_3,0.00956418381058921,-0.0001977669435708762
sigma_7,0.01041220419471256,0.00036889462925193683
sigma_10,0.012715803262884906,0.00353970021009431
sigma_3_1000,0.010064939952710183,-0.0005456474552317792
sigma_5_1000,0.009649164985368164,-0.0007372314426324911
sigma_7_1000,0.009607780820701128,-0.0005583600039706926
sigma_10_1000,0.010126993780575688,2.530074477036237e-05
sigma_3_3000,0.010431961087107866,0.0006337611309819025
sigma_5_3000,0.010120924055937786,0.0015813066928802577
sigma_7_3000,0.009617203825027731,0.0016509386521527114
sigma_10_3000,0.009836177040631555,0.0004084884655043419
sigma_3_5000,0.011319860859083986,0.001398421671062522
sigma_5_5000,0.0125699454042274,0.0024063984321026632
sigma_7_5000,0.017701084861485583,0.011131548928263957
sigma_10_5000,0.03605489464856737,0.02742728791969118
sigma_3_10000,0.01668648762845315,0.006664772890286774
sigma_5_10000,0.05023385707137229,0.038749217791226975
sigma_7_10000,0.30358065256943734,0.2919357115227652
