Features,z_min,z_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,0.2,0.3,0.5209,0.7553,0.6362,0.6771,0.6166,0.5753,0.7556,0.5112,0.5203,0.7694,0.6285,0.6769,0.6208,0.5915,0.7636,0.4718
all_features,0.3,0.4,0.5226,0.8272,0.5566,0.6567,0.6405,0.5870,0.7465,0.4888,0.5311,0.8115,0.5797,0.6654,0.6420,0.5953,0.7532,0.4696
all_features,0.4,0.5,0.5335,0.7730,0.6137,0.6716,0.6313,0.5893,0.7484,0.5349,0.5295,0.7996,0.5939,0.6687,0.6371,0.5912,0.7529,0.4448
all_features,0.5,0.6,0.4979,0.8297,0.4894,0.6183,0.6223,0.5892,0.7321,0.4677,0.5023,0.8266,0.5003,0.6239,0.6249,0.5993,0.7384,0.4201
all_features,0.6,0.7,0.4690,0.8130,0.4382,0.5802,0.5948,0.5557,0.6922,0.4693,0.4729,0.8118,0.4477,0.5857,0.5976,0.5603,0.6957,0.4251
all_features,0.7,0.8,0.4694,0.8283,0.3971,0.5660,0.5992,0.5508,0.6755,0.4610,0.4906,0.7807,0.4781,0.5966,0.6026,0.5642,0.6849,0.4226
all_features,0.8,0.9,0.4173,0.7842,0.4508,0.5622,0.5447,0.5020,0.6740,0.4318,0.4231,0.7804,0.4664,0.5712,0.5487,0.5040,0.6769,0.4186
all_features,0.9,1.0,0.4435,0.7337,0.5457,0.6078,0.5528,0.5219,0.6932,0.4421,0.4441,0.7337,0.5469,0.6086,0.5533,0.5221,0.6933,0.4433
all_features,1.0,1.1,0.3866,0.6642,0.6057,0.6216,0.4888,0.4557,0.6858,0.4362,0.3891,0.6577,0.6135,0.6256,0.4889,0.4557,0.6858,0.4463
all_features,1.1,1.2,0.3551,0.6695,0.5560,0.5863,0.4641,0.4020,0.6512,0.4176,0.3603,0.6550,0.5754,0.5967,0.4649,0.4020,0.6517,0.4365
all_features,1.2,1.3,0.3086,0.6355,0.6090,0.6147,0.4154,0.3652,0.6657,0.3467,0.3178,0.6016,0.6455,0.6360,0.4159,0.3653,0.6653,0.3782
all_features,1.3,1.4,0.2616,0.5977,0.6098,0.6075,0.3639,0.2884,0.6313,0.3056,0.2620,0.6046,0.6061,0.6058,0.3655,0.2894,0.6326,0.3217
all_features,1.4,1.5,0.2500,0.4675,0.7726,0.7300,0.3258,0.2322,0.6428,0.3019,0.2532,0.4675,0.7764,0.7333,0.3285,0.2326,0.6439,0.3192
all_features,1.5,1.6,0.2153,0.3780,0.8448,0.7975,0.2743,0.1699,0.6005,0.2895,0.2133,0.3902,0.8379,0.7926,0.2759,0.1705,0.6009,0.2956
all_features,1.6,1.7,0.2593,0.1944,0.9705,0.9314,0.2222,0.1440,0.6638,0.3638,0.2593,0.1944,0.9705,0.9314,0.2222,0.1470,0.6648,0.3748
all_features,1.7,1.8,0.1333,0.1333,0.9766,0.9545,0.1333,0.0366,0.5273,0.3119,0.1333,0.1333,0.9766,0.9545,0.1333,0.0370,0.5267,0.3240
all_features,1.8,1.9,0.3333,0.0769,0.9958,0.9717,0.1250,0.0451,0.5808,0.3653,0.3333,0.0769,0.9958,0.9717,0.1250,0.0451,0.5799,0.3695
all_features,1.9,2.0,0.1667,0.2222,0.9752,0.9587,0.1905,0.0581,0.7359,0.1686,0.1667,0.2222,0.9752,0.9587,0.1905,0.0583,0.7375,0.1718
all_features_bcg,0.2,0.3,0.8191,0.9233,0.8932,0.9035,0.8681,0.9459,0.9710,0.5254,0.9080,0.9369,0.9503,0.9457,0.9222,0.9741,0.9879,0.6586
all_features_bcg,0.3,0.4,0.8101,0.9525,0.8690,0.8999,0.8755,0.9464,0.9710,0.5024,0.8926,0.9690,0.9316,0.9454,0.9292,0.9799,0.9894,0.4479
all_features_bcg,0.4,0.5,0.8855,0.9150,0.9324,0.9261,0.9000,0.9649,0.9808,0.6659,0.9445,0.9596,0.9677,0.9648,0.9520,0.9879,0.9940,0.6144
all_features_bcg,0.5,0.6,0.9093,0.9380,0.9429,0.9410,0.9234,0.9727,0.9851,0.6884,0.9321,0.9627,0.9572,0.9593,0.9472,0.9838,0.9920,0.6436
all_features_bcg,0.6,0.7,0.8891,0.9586,0.9270,0.9390,0.9225,0.9728,0.9853,0.6079,0.9227,0.9651,0.9507,0.9561,0.9434,0.9863,0.9924,0.5636
all_features_bcg,0.7,0.8,0.9226,0.9578,0.9482,0.9520,0.9399,0.9827,0.9905,0.6511,0.9341,0.9810,0.9555,0.9655,0.9570,0.9890,0.9945,0.4691
all_features_bcg,0.8,0.9,0.9156,0.9602,0.9556,0.9571,0.9373,0.9806,0.9914,0.6605,0.9448,0.9656,0.9717,0.9697,0.9551,0.9869,0.9946,0.7247
all_features_bcg,0.9,1.0,0.9407,0.9419,0.9707,0.9612,0.9413,0.9857,0.9934,0.7213,0.9413,0.9806,0.9698,0.9734,0.9606,0.9922,0.9964,0.6324
all_features_bcg,1.0,1.1,0.9162,0.9535,0.9674,0.9636,0.9345,0.9843,0.9945,0.6580,0.9599,0.9753,0.9848,0.9822,0.9676,0.9936,0.9978,0.7551
all_features_bcg,1.1,1.2,0.9068,0.9743,0.9634,0.9663,0.9393,0.9775,0.9936,0.5000,0.9361,0.9777,0.9756,0.9762,0.9564,0.9905,0.9968,0.5723
all_features_bcg,1.2,1.3,0.9165,0.9810,0.9754,0.9766,0.9476,0.9867,0.9967,0.5557,0.9703,0.9729,0.9918,0.9877,0.9716,0.9951,0.9987,0.8646
all_features_bcg,1.3,1.4,0.9185,0.9586,0.9803,0.9763,0.9381,0.9797,0.9959,0.7272,0.9660,0.9793,0.9920,0.9896,0.9726,0.9923,0.9985,0.8531
all_features_bcg,1.4,1.5,0.9064,0.9172,0.9846,0.9752,0.9118,0.9560,0.9936,0.8024,0.9176,0.9882,0.9856,0.9860,0.9516,0.9698,0.9964,0.8940
all_features_bcg,1.5,1.6,0.8488,0.8902,0.9821,0.9728,0.8690,0.8899,0.9894,0.6921,0.8696,0.9756,0.9835,0.9827,0.9195,0.9627,0.9962,0.7578
all_features_bcg,1.6,1.7,0.8684,0.9167,0.9926,0.9888,0.8919,0.9472,0.9964,0.7934,0.8718,0.9444,0.9926,0.9902,0.9067,0.9589,0.9973,0.8107
all_features_bcg,1.7,1.8,0.8462,0.7333,0.9964,0.9895,0.7857,0.8527,0.9912,0.7166,0.8667,0.8667,0.9964,0.9930,0.8667,0.8376,0.9964,0.7332
all_features_bcg,1.8,1.9,0.8667,1.0000,0.9958,0.9960,0.9286,0.9765,0.9994,0.6683,0.8667,1.0000,0.9958,0.9960,0.9286,0.9656,0.9990,0.7190
all_features_bcg,1.9,2.0,0.8000,0.8889,0.9950,0.9927,0.8421,0.8646,0.9970,0.7211,0.8000,0.8889,0.9950,0.9927,0.8421,0.8646,0.9970,0.7302
all_features_sigmas,0.2,0.3,0.8069,0.8393,0.8948,0.8758,0.8228,0.8925,0.9460,0.6139,0.7621,0.8858,0.8552,0.8657,0.8193,0.8929,0.9464,0.5090
