Features,z_min,z_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,0.2,0.3,0.4484,0.6054,0.8292,0.7874,0.5152,0.4624,0.7956,0.6214,0.7874,0.8308,0.9485,0.9266,0.8085,0.885,0.975,0.794
all_features,0.3,0.4,0.5517,0.6547,0.8256,0.7834,0.5988,0.5727,0.8124,0.624,0.8101,0.8807,0.9323,0.9196,0.8439,0.9053,0.9723,0.7106
all_features,0.4,0.5,0.5755,0.7412,0.7274,0.732,0.6479,0.6552,0.8025,0.5571,0.8496,0.8955,0.921,0.9125,0.8719,0.9287,0.9694,0.6619
all_features,0.5,0.6,0.5579,0.8247,0.6071,0.6888,0.6656,0.6766,0.7962,0.4677,0.8379,0.9178,0.8933,0.9025,0.876,0.9297,0.9638,0.5681
all_features,0.6,0.7,0.5509,0.8881,0.5205,0.667,0.68,0.6639,0.7847,0.4263,0.8492,0.9399,0.8894,0.9095,0.8923,0.9336,0.9659,0.5101
all_features,0.7,0.8,0.5952,0.8683,0.5583,0.691,0.7063,0.668,0.7787,0.4338,0.8608,0.9444,0.8858,0.9109,0.9007,0.9467,0.9693,0.5116
all_features,0.8,0.9,0.5216,0.9519,0.3311,0.6004,0.6739,0.5624,0.6898,0.3493,0.8611,0.9523,0.8823,0.9127,0.9044,0.954,0.971,0.4654
all_features,0.9,1,0.4976,0.9632,0.2763,0.5694,0.6562,0.5501,0.6747,0.3061,0.8569,0.9494,0.882,0.9108,0.9008,0.9576,0.9728,0.4854
all_features,1,1.1,0.4894,0.9714,0.2483,0.5562,0.6509,0.4966,0.6287,0.2733,0.8692,0.9336,0.8958,0.9119,0.9002,0.9437,0.9683,0.5546
all_features,1.1,1.2,0.4723,0.9819,0.1806,0.5232,0.6378,0.4323,0.5513,0.2112,0.9052,0.9498,0.9257,0.936,0.927,0.9738,0.9823,0.5368
all_features,1.2,1.3,0.469,0.9736,0.1684,0.5147,0.6331,0.3978,0.488,0.1863,0.8992,0.9271,0.9216,0.924,0.913,0.945,0.9727,0.6632
