Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,17,18,0.6239,0.9069,0.2898,0.6385,0.7393,0.7307,0.6950,0.5684
all_features,18,19,0.5390,0.9049,0.2769,0.5803,0.6756,0.6152,0.6634,0.4929
all_features,19,20,0.4519,0.7818,0.4560,0.5747,0.5727,0.5158,0.6754,0.4649
all_features,20,21,0.4059,0.6403,0.6980,0.6840,0.4969,0.4527,0.7381,0.4265
all_features_bcg,17,18,0.9285,0.9657,0.9034,0.9386,0.9467,0.9735,0.9775,0.6972
all_features_bcg,18,19,0.9071,0.9689,0.9073,0.9371,0.9370,0.9822,0.9855,0.5774
all_features_bcg,19,20,0.8812,0.9296,0.9281,0.9287,0.9048,0.9676,0.9825,0.6213
all_features_bcg,20,21,0.9044,0.9141,0.9689,0.9555,0.9092,0.9689,0.9903,0.6974
all_features_sigmas,17,18,0.8433,0.9191,0.7781,0.8578,0.8796,0.9320,0.9253,0.5995
all_features_sigmas,18,19,0.8156,0.9032,0.8092,0.8546,0.8571,0.9205,0.9315,0.5713
all_features_sigmas,19,20,0.7831,0.8455,0.8657,0.8583,0.8131,0.8860,0.9331,0.5819
all_features_sigmas,20,21,0.7089,0.8326,0.8898,0.8759,0.7658,0.8434,0.9418,0.5110
