Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,19,20,0.5101,0.8306,0.5229,0.6380,0.6320,0.6189,0.7454,0.4116
all_features,20,21,0.5298,0.7688,0.6659,0.6998,0.6273,0.5883,0.7758,0.4782
all_features,21,22,0.5185,0.7067,0.6986,0.7011,0.5982,0.5773,0.7680,0.4984
all_features,22,23,0.4998,0.6937,0.6810,0.6850,0.5810,0.5657,0.7554,0.4796
all_features,23,24,0.4659,0.7347,0.6068,0.6475,0.5702,0.5305,0.7317,0.4575
all_features,24,25,0.4697,0.7761,0.5722,0.6391,0.5852,0.5384,0.7343,0.4533
all_features,25,26,0.4441,0.8208,0.4786,0.5938,0.5763,0.5024,0.7067,0.4527
all_features,26,27,0.3829,0.8554,0.3619,0.5180,0.5290,0.4481,0.6609,0.4109
all_features_bcg,19,20,0.8686,0.9271,0.9161,0.9202,0.8969,0.9536,0.9773,0.6288
all_features_bcg,20,21,0.8605,0.9060,0.9281,0.9208,0.8827,0.9525,0.9773,0.6512
all_features_bcg,21,22,0.8454,0.8617,0.9276,0.9069,0.8535,0.9380,0.9695,0.6447
all_features_bcg,22,23,0.8757,0.9051,0.9410,0.9297,0.8902,0.9580,0.9814,0.6694
all_features_bcg,23,24,0.9109,0.9403,0.9570,0.9517,0.9253,0.9745,0.9897,0.6779
all_features_bcg,24,25,0.9185,0.9486,0.9589,0.9555,0.9333,0.9794,0.9913,0.6884
all_features_bcg,25,26,0.9303,0.9590,0.9636,0.9620,0.9444,0.9844,0.9932,0.6438
all_features_bcg,26,27,0.9228,0.9598,0.9628,0.9619,0.9409,0.9829,0.9932,0.6380
all_features_sigmas,19,20,0.8336,0.8488,0.8987,0.8800,0.8412,0.9081,0.9463,0.6587
all_features_sigmas,20,21,0.7756,0.8814,0.8751,0.8772,0.8251,0.8978,0.9502,0.5328
all_features_sigmas,21,22,0.7692,0.8571,0.8819,0.8741,0.8108,0.8805,0.9444,0.5345
all_features_sigmas,22,23,0.8001,0.8253,0.9053,0.8801,0.8125,0.8856,0.9442,0.6174
all_features_sigmas,23,24,0.7496,0.8667,0.8649,0.8654,0.8039,0.8774,0.9407,0.5158
all_features_sigmas,24,25,0.7797,0.8424,0.8838,0.8702,0.8098,0.8850,0.9407,0.5791
all_features_sigmas,25,26,0.7853,0.8458,0.8827,0.8703,0.8145,0.8902,0.9406,0.5917
all_features_sigmas,26,27,0.7559,0.8371,0.8749,0.8629,0.7945,0.8627,0.9327,0.5910
