Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,17,18,0.5881,0.8341,0.4624,0.6405,0.6899,0.6806,0.7063,0.5410
all_features,18,19,0.5600,0.8702,0.4374,0.6327,0.6814,0.6417,0.7127,0.4910
all_features,19,20,0.5601,0.7970,0.5535,0.6549,0.6579,0.6208,0.7304,0.5412
all_features,20,21,0.5162,0.7881,0.5698,0.6501,0.6238,0.5797,0.7379,0.4997
all_features,21,22,0.4617,0.7894,0.5239,0.6144,0.5826,0.5273,0.7176,0.4576
all_features,22,23,0.4061,0.7340,0.5521,0.6056,0.5229,0.4621,0.6965,0.4275
all_features,23,24,0.3357,0.6547,0.6597,0.6586,0.4438,0.3666,0.7102,0.3813
all_features,24,25,0.2332,0.5387,0.7830,0.7563,0.3255,0.2449,0.7439,0.3012
all_features_bcg,17,18,0.9121,0.9696,0.9140,0.9406,0.9400,0.9722,0.9830,0.7312
all_features_bcg,18,19,0.8970,0.9478,0.9105,0.9273,0.9217,0.9709,0.9798,0.6318
all_features_bcg,19,20,0.8707,0.9354,0.9009,0.9153,0.9019,0.9691,0.9783,0.6068
all_features_bcg,20,21,0.8801,0.9094,0.9279,0.9210,0.8945,0.9615,0.9786,0.6626
all_features_bcg,21,22,0.8961,0.9491,0.9431,0.9451,0.9219,0.9744,0.9880,0.6119
all_features_bcg,22,23,0.9235,0.9297,0.9679,0.9566,0.9266,0.9766,0.9914,0.7182
all_features_bcg,23,24,0.9101,0.9389,0.9756,0.9680,0.9243,0.9747,0.9939,0.6510
all_features_bcg,24,25,0.9177,0.9355,0.9897,0.9838,0.9265,0.9737,0.9969,0.6358
all_features_sigmas,17,18,0.8134,0.9369,0.8022,0.8667,0.8708,0.9231,0.9369,0.4946
all_features_sigmas,18,19,0.8199,0.8883,0.8395,0.8615,0.8528,0.9165,0.9365,0.5778
all_features_sigmas,19,20,0.8118,0.8682,0.8564,0.8613,0.8391,0.9090,0.9380,0.5987
all_features_sigmas,20,21,0.7737,0.8930,0.8479,0.8645,0.8291,0.8992,0.9418,0.5266
all_features_sigmas,21,22,0.7873,0.8411,0.8825,0.8684,0.8133,0.8879,0.9407,0.5859
all_features_sigmas,22,23,0.7471,0.8168,0.8847,0.8647,0.7804,0.8561,0.9331,0.5767
all_features_sigmas,23,24,0.7068,0.8063,0.9121,0.8901,0.7533,0.8219,0.9422,0.5190
all_features_sigmas,24,25,0.6955,0.7516,0.9597,0.9370,0.7225,0.7996,0.9589,0.5420
