Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,17,18,0.6234,0.8324,0.5361,0.6783,0.7129,0.6812,0.7336,0.5662
all_features,18,19,0.5526,0.8542,0.4454,0.6273,0.671,0.6356,0.711,0.4788
all_features,19,20,0.5409,0.8232,0.534,0.6497,0.6528,0.6244,0.7404,0.4942
all_features,20,21,0.5299,0.7786,0.6189,0.6757,0.6306,0.5984,0.7588,0.4973
all_features,21,22,0.5057,0.7437,0.6265,0.6663,0.602,0.5638,0.749,0.4928
all_features,22,23,0.4678,0.7675,0.5568,0.6277,0.5813,0.5381,0.7225,0.4576
all_features,23,24,0.4428,0.7249,0.6,0.6381,0.5497,0.487,0.715,0.4533
all_features,24,25,0.3591,0.7975,0.5273,0.5947,0.4952,0.4185,0.7147,0.3813
all_features_bcg,17,18,0.9454,0.9665,0.9485,0.9571,0.9558,0.981,0.9875,0.7819
all_features_bcg,18,19,0.917,0.9361,0.9321,0.9339,0.9265,0.9685,0.9808,0.7716
all_features_bcg,19,20,0.8824,0.9299,0.9173,0.9223,0.9055,0.9674,0.9794,0.6511
all_features_bcg,20,21,0.8466,0.9035,0.9097,0.9075,0.8741,0.9537,0.9733,0.6068
all_features_bcg,21,22,0.8817,0.9106,0.9372,0.9282,0.8959,0.961,0.9811,0.6694
all_features_bcg,22,23,0.915,0.9401,0.9556,0.9504,0.9274,0.9751,0.989,0.6951
all_features_bcg,23,24,0.9307,0.9362,0.9694,0.9593,0.9334,0.9805,0.9926,0.7178
all_features_bcg,24,25,0.9141,0.9516,0.9703,0.9656,0.9325,0.9786,0.9937,0.6365
all_features_sigmas,17,18,0.8571,0.905,0.8608,0.882,0.8804,0.9349,0.9413,0.5357
all_features_sigmas,18,19,0.8143,0.9014,0.8352,0.8646,0.8556,0.9141,0.9355,0.5758
all_features_sigmas,19,20,0.8105,0.8555,0.8666,0.8622,0.8324,0.9017,0.9381,0.616
all_features_sigmas,20,21,0.8029,0.8444,0.8856,0.871,0.8231,0.8954,0.9407,0.6247
all_features_sigmas,21,22,0.7718,0.8451,0.8716,0.8626,0.8068,0.8776,0.9344,0.5748
all_features_sigmas,22,23,0.7702,0.8137,0.8768,0.8555,0.7914,0.8705,0.9264,0.5787
all_features_sigmas,23,24,0.7361,0.7955,0.875,0.8507,0.7646,0.8406,0.916,0.5538
all_features_sigmas,24,25,0.7006,0.7757,0.8899,0.8614,0.7362,0.8028,0.9138,0.5074
