Features,i_min,i_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,18.0000,0.5902,0.8340,0.4526,0.6379,0.6912,0.6890,0.7077,0.5410,0.6056,0.8417,0.4818,0.6567,0.7044,0.6886,0.7140,0.3848
all_features,18.0000,19.0000,0.5600,0.8702,0.4374,0.6327,0.6814,0.6417,0.7127,0.4910,0.5667,0.8528,0.4636,0.6393,0.6809,0.6396,0.7104,0.3759
all_features,19.0000,20.0000,0.5601,0.7970,0.5535,0.6549,0.6579,0.6208,0.7304,0.5412,0.5457,0.8284,0.5080,0.6414,0.6579,0.6210,0.7309,0.4135
all_features,20.0000,21.0000,0.5162,0.7881,0.5698,0.6501,0.6238,0.5797,0.7379,0.4997,0.5195,0.7817,0.5789,0.6535,0.6242,0.5802,0.7378,0.4600
all_features,21.0000,22.0000,0.4617,0.7894,0.5239,0.6144,0.5826,0.5273,0.7176,0.4576,0.4758,0.7548,0.5700,0.6330,0.5837,0.5323,0.7203,0.4561
all_features,22.0000,23.0000,0.4061,0.7340,0.5521,0.6056,0.5229,0.4621,0.6965,0.4275,0.4067,0.7398,0.5497,0.6056,0.5249,0.4625,0.6975,0.4564
all_features,23.0000,24.0000,0.3357,0.6547,0.6597,0.6586,0.4438,0.3666,0.7102,0.3813,0.3304,0.6681,0.6443,0.6493,0.4422,0.3667,0.7106,0.5101
all_features,24.0000,25.0000,0.2332,0.5387,0.7830,0.7563,0.3255,0.2449,0.7439,0.3012,0.2173,0.6645,0.7067,0.7021,0.3275,0.2405,0.7434,0.3316
all_features,25.0000,99.0000,0.1538,0.5000,0.8817,0.8660,0.2353,0.2273,0.8138,0.1777,0.2857,0.2500,0.9731,0.9433,0.2667,0.2321,0.8125,0.2412
all_features_bcg,none,18.0000,0.9020,0.9768,0.8996,0.9371,0.9379,0.9734,0.9831,0.6166,0.9221,0.9595,0.9234,0.9409,0.9404,0.9734,0.9827,0.4977
all_features_bcg,18.0000,19.0000,0.8970,0.9478,0.9105,0.9273,0.9217,0.9709,0.9798,0.6318,0.8970,0.9471,0.9105,0.9270,0.9213,0.9719,0.9800,0.4564
all_features_bcg,19.0000,20.0000,0.8707,0.9354,0.9009,0.9153,0.9019,0.9691,0.9783,0.6068,0.8927,0.9166,0.9214,0.9194,0.9045,0.9701,0.9788,0.5711
all_features_bcg,20.0000,21.0000,0.8801,0.9094,0.9279,0.9210,0.8945,0.9615,0.9786,0.6626,0.8824,0.9073,0.9296,0.9214,0.8947,0.9619,0.9789,0.6175
all_features_bcg,21.0000,22.0000,0.8961,0.9491,0.9431,0.9451,0.9219,0.9744,0.9880,0.6119,0.8960,0.9536,0.9428,0.9465,0.9239,0.9746,0.9883,0.5768
all_features_bcg,22.0000,23.0000,0.9235,0.9297,0.9679,0.9566,0.9266,0.9766,0.9914,0.7182,0.9064,0.9480,0.9592,0.9559,0.9267,0.9774,0.9916,0.6685
all_features_bcg,23.0000,24.0000,0.9101,0.9389,0.9756,0.9680,0.9243,0.9747,0.9939,0.6510,0.9130,0.9324,0.9767,0.9675,0.9226,0.9748,0.9939,0.7834
all_features_bcg,24.0000,25.0000,0.9177,0.9355,0.9897,0.9838,0.9265,0.9737,0.9969,0.6358,0.9154,0.9419,0.9893,0.9842,0.9285,0.9710,0.9967,0.8685
all_features_bcg,25.0000,99.0000,0.8889,1.0000,0.9946,0.9948,0.9412,0.9492,0.9980,0.9484,0.8889,1.0000,0.9946,0.9948,0.9412,0.9685,0.9987,0.9751
all_features_sigmas,none,18.0000,0.8113,0.9459,0.7920,0.8668,0.8734,0.9280,0.9380,0.4685,0.8333,0.9073,0.8285,0.8668,0.8688,0.9252,0.9357,0.4118
all_features_sigmas,18.0000,19.0000,0.8199,0.8883,0.8395,0.8615,0.8528,0.9165,0.9365,0.5778,0.8158,0.8963,0.8335,0.8619,0.8542,0.9162,0.9363,0.4071
all_features_sigmas,19.0000,20.0000,0.8118,0.8682,0.8564,0.8613,0.8391,0.9090,0.9380,0.5987,0.8103,0.8728,0.8542,0.8619,0.8403,0.9093,0.9382,0.5004
all_features_sigmas,20.0000,21.0000,0.7737,0.8930,0.8479,0.8645,0.8291,0.8992,0.9418,0.5266,0.7873,0.8788,0.8617,0.8680,0.8305,0.8990,0.9418,0.5186
all_features_sigmas,21.0000,22.0000,0.7873,0.8411,0.8825,0.8684,0.8133,0.8879,0.9407,0.5859,0.7674,0.8663,0.8642,0.8649,0.8139,0.8879,0.9408,0.5210
all_features_sigmas,22.0000,23.0000,0.7471,0.8168,0.8847,0.8647,0.7804,0.8561,0.9331,0.5767,0.7494,0.8146,0.8863,0.8652,0.7807,0.8559,0.9332,0.6076
all_features_sigmas,23.0000,24.0000,0.7068,0.8063,0.9121,0.8901,0.7533,0.8219,0.9422,0.5190,0.7476,0.7574,0.9328,0.8963,0.7525,0.8218,0.9420,0.7076
all_features_sigmas,24.0000,25.0000,0.6955,0.7516,0.9597,0.9370,0.7225,0.7996,0.9589,0.5420,0.6948,0.7710,0.9585,0.9380,0.7309,0.8013,0.9581,0.7434
all_features_sigmas,25.0000,99.0000,0.5556,0.6250,0.9785,0.9639,0.5882,0.4946,0.9395,0.3996,0.5455,0.7500,0.9731,0.9639,0.6316,0.5492,0.9489,0.3729
