Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,17,18,0.5525,0.8843,0.3524,0.605,0.6801,0.6434,0.6864,0.4835
all_features,18,19,0.5497,0.8678,0.4194,0.621,0.673,0.6407,0.7136,0.4984
all_features,19,20,0.5336,0.819,0.5016,0.6319,0.6462,0.6051,0.7183,0.5099
all_features,20,21,0.4854,0.7831,0.5373,0.6253,0.5993,0.5405,0.7171,0.4842
all_features,21,22,0.4222,0.697,0.5944,0.625,0.5258,0.4725,0.701,0.4526
all_features,22,23,0.331,0.6254,0.6677,0.6589,0.4329,0.3657,0.7019,0.3744
all_features,23,24,0.1974,0.4919,0.8246,0.7978,0.2818,0.222,0.7324,0.2239
all_features,24,25,0.05,0.3333,0.951,0.9463,0.087,0.0226,0.6924,0.0992
all_features_bcg,17,18,0.8863,0.9781,0.8866,0.93,0.9299,0.9687,0.9791,0.542
all_features_bcg,18,19,0.8978,0.9491,0.9118,0.9285,0.9227,0.9765,0.9826,0.6284
all_features_bcg,19,20,0.8732,0.9247,0.9065,0.914,0.8982,0.9659,0.977,0.618
all_features_bcg,20,21,0.8958,0.9297,0.9397,0.9361,0.9124,0.97,0.9846,0.6661
all_features_bcg,21,22,0.9179,0.9358,0.9644,0.9559,0.9268,0.9772,0.9913,0.6951
all_features_bcg,22,23,0.8941,0.9263,0.9711,0.9618,0.9099,0.9672,0.9922,0.6489
all_features_bcg,23,24,0.9083,0.8387,0.9926,0.9802,0.8721,0.9297,0.994,0.7357
all_features_bcg,24,25,1,0.6667,1,0.9974,0.8,0.8167,0.9974,0.8776
all_features_sigmas,17,18,0.8151,0.9074,0.8139,0.8583,0.8588,0.9108,0.9277,0.5758
all_features_sigmas,18,19,0.7828,0.9128,0.7932,0.847,0.8428,0.912,0.933,0.5129
all_features_sigmas,19,20,0.8052,0.8518,0.8564,0.8545,0.8278,0.8994,0.9304,0.6181
all_features_sigmas,20,21,0.7764,0.835,0.866,0.8549,0.8046,0.8797,0.9286,0.579
all_features_sigmas,21,22,0.7306,0.7919,0.8759,0.8508,0.76,0.833,0.9164,0.5522
all_features_sigmas,22,23,0.663,0.7407,0.901,0.8677,0.6997,0.7633,0.9082,0.488
all_features_sigmas,23,24,0.5688,0.6169,0.959,0.9314,0.5919,0.6318,0.8918,0.3417
all_features_sigmas,24,25,0.0222,0.3333,0.8866,0.8824,0.0417,0.0123,0.6744,0.049
