Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,17,18,0.5683,0.8606,0.4086,0.6233,0.6845,0.6527,0.6964,0.5113
all_features,18,19,0.5558,0.868,0.4213,0.6245,0.6777,0.6489,0.7132,0.4942
all_features,19,20,0.5341,0.8403,0.4859,0.632,0.6531,0.613,0.7262,0.4982
all_features,20,21,0.4906,0.8062,0.5206,0.6246,0.61,0.5553,0.7237,0.4794
all_features,21,22,0.421,0.8025,0.4794,0.583,0.5523,0.4915,0.7043,0.4263
all_features,22,23,0.3392,0.6888,0.5758,0.603,0.4545,0.3894,0.6841,0.3821
all_features,23,24,0.2739,0.4717,0.8333,0.7908,0.3466,0.2773,0.7308,0.3304
all_features,24,25,0.1549,0.3667,0.9246,0.9044,0.2178,0.0994,0.7557,0.1762
all_features_bcg,17,18,0.9158,0.9495,0.9211,0.9345,0.9323,0.9668,0.979,0.7695
all_features_bcg,18,19,0.902,0.9492,0.914,0.93,0.925,0.9763,0.9827,0.6284
all_features_bcg,19,20,0.8689,0.9327,0.9013,0.9142,0.8997,0.9679,0.9776,0.6074
all_features_bcg,20,21,0.889,0.9204,0.9342,0.9291,0.9044,0.9657,0.9819,0.6661
all_features_bcg,21,22,0.9233,0.9341,0.9634,0.954,0.9287,0.9781,0.9906,0.7135
all_features_bcg,22,23,0.9111,0.9228,0.9715,0.9598,0.9169,0.9709,0.9919,0.6948
all_features_bcg,23,24,0.8984,0.8998,0.9864,0.9762,0.8991,0.9619,0.9949,0.651
all_features_bcg,24,25,0.931,0.9,0.9975,0.9939,0.9153,0.9182,0.9972,0.7582
all_features_sigmas,17,18,0.8159,0.9096,0.8144,0.8596,0.8602,0.9156,0.9292,0.5758
all_features_sigmas,18,19,0.819,0.8765,0.8384,0.8557,0.8468,0.9124,0.9329,0.6125
all_features_sigmas,19,20,0.8051,0.8569,0.8545,0.8555,0.8302,0.9001,0.9316,0.6195
all_features_sigmas,20,21,0.7784,0.8447,0.8623,0.8559,0.8102,0.8851,0.9306,0.5753
all_features_sigmas,21,22,0.7436,0.8124,0.8679,0.8501,0.7765,0.8515,0.9205,0.5524
all_features_sigmas,22,23,0.6783,0.7614,0.8859,0.856,0.7175,0.7841,0.9089,0.5111
all_features_sigmas,23,24,0.6333,0.5832,0.955,0.9113,0.6072,0.6528,0.8937,0.4808
all_features_sigmas,24,25,0.75,0.4,0.995,0.9734,0.5217,0.4261,0.8234,0.4712
