Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-25,-24,0.4286,0.3529,0.9184,0.8348,0.3871,0.3211,0.6783,0.565
all_features,-24,-23,0.5485,0.7469,0.7528,0.7511,0.6325,0.6439,0.8227,0.5051
all_features,-23,-22,0.5022,0.7717,0.6135,0.6666,0.6085,0.6025,0.7643,0.4663
all_features,-22,-21,0.4615,0.7536,0.5424,0.6147,0.5724,0.5272,0.7063,0.4583
all_features,-21,-20,0.4561,0.7634,0.5472,0.619,0.5711,0.5207,0.7151,0.4618
all_features,-20,-19,0.4749,0.7455,0.6494,0.6781,0.5802,0.5308,0.7683,0.4651
all_features,-19,-18,0.4112,0.6944,0.8251,0.8055,0.5166,0.4143,0.8479,0.444
all_features_bcg,-25,-24,0.9412,0.9412,0.9898,0.9826,0.9412,0.8198,0.9886,0.8152
all_features_bcg,-24,-23,0.9033,0.9788,0.9579,0.9639,0.9396,0.9719,0.9915,0.5424
all_features_bcg,-23,-22,0.9317,0.9626,0.9643,0.9638,0.9469,0.9837,0.9935,0.6837
all_features_bcg,-22,-21,0.9173,0.9467,0.9556,0.9526,0.9318,0.9795,0.9906,0.6656
all_features_bcg,-21,-20,0.8856,0.9248,0.9406,0.9353,0.9048,0.9671,0.9846,0.6634
all_features_bcg,-20,-19,0.8354,0.8869,0.9257,0.9141,0.8604,0.9327,0.973,0.6344
all_features_bcg,-19,-18,0.6009,0.7596,0.9112,0.8885,0.671,0.729,0.9403,0.6373
all_features_sigmas,-25,-24,0.5185,0.8235,0.8673,0.8609,0.6364,0.5866,0.8589,0.2367
all_features_sigmas,-24,-23,0.7748,0.7893,0.9077,0.8737,0.782,0.8573,0.9322,0.5551
all_features_sigmas,-23,-22,0.7468,0.8396,0.8562,0.8506,0.7905,0.8664,0.9226,0.4919
all_features_sigmas,-22,-21,0.7608,0.8207,0.8658,0.8504,0.7897,0.8637,0.9199,0.558
all_features_sigmas,-21,-20,0.7645,0.8296,0.8729,0.8585,0.7957,0.8727,0.9299,0.5756
all_features_sigmas,-20,-19,0.769,0.8237,0.8948,0.8736,0.7954,0.8692,0.9406,0.5952
all_features_sigmas,-19,-18,0.6155,0.8694,0.9044,0.8992,0.7208,0.7593,0.9511,0.5092
