Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-26,-25,0.2881,0.7391,0.6613,0.6735,0.4146,0.2870,0.7037,0.3019
all_features,-25,-24,0.5700,0.6928,0.8069,0.7761,0.6254,0.6311,0.8240,0.5466
all_features,-24,-23,0.5407,0.7666,0.6377,0.6838,0.6342,0.6342,0.7738,0.5106
all_features,-23,-22,0.4711,0.7930,0.5073,0.6091,0.5911,0.5450,0.7125,0.4621
all_features,-22,-21,0.4492,0.7380,0.5456,0.6099,0.5585,0.5089,0.6975,0.4578
all_features,-21,-20,0.4694,0.7238,0.6490,0.6714,0.5695,0.5291,0.7539,0.4575
all_features,-20,-19,0.4503,0.6189,0.8420,0.8034,0.5213,0.4452,0.8335,0.4713
all_features_bcg,-26,-25,0.8214,1.0000,0.9597,0.9660,0.9020,0.8194,0.9849,0.4454
all_features_bcg,-25,-24,0.9318,0.9628,0.9740,0.9710,0.9471,0.9733,0.9930,0.7914
all_features_bcg,-24,-23,0.9303,0.9700,0.9595,0.9633,0.9497,0.9827,0.9928,0.6541
all_features_bcg,-23,-22,0.9220,0.9540,0.9554,0.9549,0.9377,0.9822,0.9914,0.6656
all_features_bcg,-22,-21,0.8969,0.9308,0.9463,0.9411,0.9136,0.9721,0.9869,0.6634
all_features_bcg,-21,-20,0.8573,0.9043,0.9354,0.9260,0.8801,0.9468,0.9790,0.6572
all_features_bcg,-20,-19,0.6528,0.8374,0.9069,0.8949,0.7337,0.8074,0.9551,0.5306
all_features_sigmas,-26,-25,0.5938,0.8261,0.8952,0.8844,0.6909,0.6093,0.9253,0.3229
all_features_sigmas,-25,-24,0.7938,0.8963,0.9140,0.9092,0.8419,0.8945,0.9603,0.5107
all_features_sigmas,-24,-23,0.8261,0.8499,0.9005,0.8824,0.8379,0.9034,0.9464,0.6167
all_features_sigmas,-23,-22,0.7813,0.8648,0.8661,0.8656,0.8209,0.8880,0.9371,0.5696
all_features_sigmas,-22,-21,0.7736,0.8348,0.8773,0.8631,0.8030,0.8808,0.9363,0.5946
all_features_sigmas,-21,-20,0.7772,0.8130,0.9000,0.8739,0.7947,0.8713,0.9412,0.6009
all_features_sigmas,-20,-19,0.6497,0.8183,0.9077,0.8923,0.7243,0.7887,0.9497,0.5108
