Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-26,-25,0.5159,0.6733,0.7870,0.7583,0.5842,0.5911,0.8072,0.4986
all_features,-25,-24,0.5358,0.7984,0.5699,0.6575,0.6413,0.6426,0.7579,0.4917
all_features,-24,-23,0.4745,0.8361,0.4355,0.5872,0.6054,0.5616,0.7064,0.4621
all_features,-23,-22,0.4532,0.7556,0.5137,0.5978,0.5666,0.5180,0.6910,0.4581
all_features,-22,-21,0.4585,0.6823,0.6595,0.6663,0.5485,0.5076,0.7303,0.4607
all_features,-21,-20,0.4580,0.6218,0.8157,0.7769,0.5275,0.4779,0.8158,0.4440
all_features,-20,-19,0.3136,0.4111,0.9530,0.9261,0.3558,0.2946,0.8818,0.4365
all_features_bcg,-26,-25,0.9136,0.9729,0.9690,0.9700,0.9423,0.9663,0.9918,0.7348
all_features_bcg,-25,-24,0.9328,0.9696,0.9565,0.9615,0.9508,0.9835,0.9924,0.6556
all_features_bcg,-24,-23,0.9271,0.9560,0.9541,0.9549,0.9413,0.9834,0.9913,0.6770
all_features_bcg,-23,-22,0.8965,0.9444,0.9418,0.9427,0.9198,0.9755,0.9879,0.6302
all_features_bcg,-22,-21,0.8660,0.9113,0.9404,0.9318,0.8881,0.9529,0.9815,0.6578
all_features_bcg,-21,-20,0.7719,0.8362,0.9381,0.9177,0.8027,0.8788,0.9688,0.6211
all_features_bcg,-20,-19,0.3476,0.7222,0.9292,0.9189,0.4693,0.4066,0.9448,0.5698
all_features_sigmas,-26,-25,0.7736,0.8448,0.9166,0.8985,0.8076,0.8706,0.9544,0.5210
all_features_sigmas,-25,-24,0.8185,0.8683,0.8803,0.8757,0.8427,0.9051,0.9424,0.5870
all_features_sigmas,-24,-23,0.7874,0.8743,0.8561,0.8630,0.8286,0.8955,0.9363,0.5715
all_features_sigmas,-23,-22,0.7755,0.8402,0.8702,0.8598,0.8065,0.8842,0.9353,0.5890
all_features_sigmas,-22,-21,0.7691,0.8146,0.8967,0.8723,0.7912,0.8663,0.9388,0.5958
all_features_sigmas,-21,-20,0.6884,0.8212,0.9069,0.8897,0.7489,0.8191,0.9477,0.5108
all_features_sigmas,-20,-19,0.4962,0.7222,0.9617,0.9498,0.5882,0.5541,0.9638,0.5355
