Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-26,-25,0.4879,0.6689,0.7958,0.7672,0.5642,0.5497,0.8105,0.4915
all_features,-25,-24,0.5437,0.7669,0.6432,0.6873,0.6363,0.6442,0.7771,0.5043
all_features,-24,-23,0.5029,0.7982,0.5072,0.6191,0.6171,0.5827,0.7181,0.4911
all_features,-23,-22,0.4502,0.7674,0.5007,0.5934,0.5674,0.5161,0.692,0.4581
all_features,-22,-21,0.459,0.6958,0.6293,0.65,0.5531,0.5134,0.7199,0.4607
all_features,-21,-20,0.4723,0.6436,0.7831,0.7508,0.5448,0.4958,0.7995,0.4527
all_features,-20,-19,0.3591,0.5267,0.9305,0.9028,0.427,0.3393,0.8883,0.432
all_features_bcg,-26,-25,0.9091,0.9603,0.9721,0.9694,0.934,0.9702,0.9928,0.7597
all_features_bcg,-25,-24,0.9331,0.9721,0.9614,0.9652,0.9522,0.9832,0.993,0.6683
all_features_bcg,-24,-23,0.9178,0.9744,0.9455,0.9566,0.9452,0.9841,0.9918,0.5757
all_features_bcg,-23,-22,0.9089,0.9425,0.9497,0.9472,0.9254,0.9779,0.9891,0.6634
all_features_bcg,-22,-21,0.8732,0.9187,0.9397,0.9332,0.8954,0.959,0.9829,0.6572
all_features_bcg,-21,-20,0.7598,0.8959,0.9146,0.9102,0.8222,0.8964,0.9696,0.5331
all_features_bcg,-20,-19,0.4529,0.6733,0.9399,0.9216,0.5416,0.511,0.9465,0.6373
all_features_sigmas,-26,-25,0.708,0.7947,0.9046,0.8799,0.7488,0.8271,0.9313,0.4775
all_features_sigmas,-25,-24,0.7731,0.8253,0.8657,0.8513,0.7983,0.8728,0.9203,0.5263
all_features_sigmas,-24,-23,0.7738,0.8362,0.8473,0.843,0.8038,0.8771,0.9171,0.5537
all_features_sigmas,-23,-22,0.7616,0.8342,0.8609,0.8516,0.7962,0.8702,0.9233,0.559
all_features_sigmas,-22,-21,0.756,0.8107,0.8817,0.8596,0.7824,0.8604,0.9279,0.5762
all_features_sigmas,-21,-20,0.7255,0.8043,0.9082,0.8841,0.7629,0.8349,0.9425,0.5626
all_features_sigmas,-20,-19,0.5234,0.82,0.9448,0.9362,0.639,0.6415,0.962,0.5087
