Features,ri_min,ri_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,none,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648
all_features,none,0.2700,0.2546,0.6797,0.6334,0.6406,0.3704,0.2958,0.7237,0.3256,0.2516,0.6935,0.6201,0.6315,0.3693,0.2919,0.7188,0.5104
all_features,0.2700,0.4343,0.4993,0.7991,0.4878,0.6092,0.6146,0.5724,0.7020,0.4799,0.4969,0.8084,0.4768,0.6061,0.6155,0.5778,0.7047,0.4099
all_features,0.4343,none,0.4570,0.8099,0.4599,0.5857,0.5843,0.5447,0.7017,0.4648,0.4406,0.8692,0.3806,0.5563,0.5848,0.5485,0.7036,0.3922
all_features_bcg,none,none,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626
all_features_bcg,none,0.2700,0.8553,0.8588,0.9733,0.9554,0.8571,0.9344,0.9876,0.6909,0.8497,0.8860,0.9711,0.9579,0.8675,0.9413,0.9892,0.8078
all_features_bcg,0.2700,0.4343,0.9005,0.9516,0.9328,0.9401,0.9254,0.9777,0.9871,0.6081,0.9123,0.9492,0.9417,0.9446,0.9304,0.9794,0.9882,0.5758
all_features_bcg,0.4343,none,0.8925,0.9404,0.9364,0.9379,0.9158,0.9698,0.9853,0.6441,0.8991,0.9473,0.9403,0.9428,0.9226,0.9742,0.9875,0.5883
all_features_sigmas,none,none,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815
all_features_sigmas,none,0.2700,0.7050,0.7113,0.9452,0.9088,0.7081,0.7765,0.9450,0.5785,0.6870,0.7282,0.9389,0.9061,0.7070,0.7750,0.9447,0.7502
all_features_sigmas,0.2700,0.4343,0.7851,0.8724,0.8474,0.8571,0.8264,0.8989,0.9355,0.5570,0.7830,0.8769,0.8446,0.8572,0.8273,0.8993,0.9358,0.4852
all_features_sigmas,0.4343,none,0.7591,0.8823,0.8428,0.8570,0.8161,0.8870,0.9363,0.5296,0.7669,0.8762,0.8505,0.8598,0.8179,0.8868,0.9364,0.5090
