Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,0.25,0.2190,0.6076,0.7059,0.6942,0.3219,0.2400,0.7303,0.2688
all_features,0.25,0.5,0.2478,0.7424,0.5810,0.6063,0.3716,0.3032,0.7215,0.3116
all_features,0.5,0.75,0.4764,0.7541,0.5260,0.6090,0.5839,0.5401,0.6952,0.4746
all_features,0.75,1.0,0.5114,0.8603,0.3920,0.5911,0.6414,0.6068,0.6995,0.4929
all_features,1.0,1.25,0.4266,0.8122,0.4873,0.5912,0.5594,0.4972,0.7089,0.4473
all_features,1.25,1.5,0.4008,0.7995,0.4772,0.5753,0.5339,0.4379,0.6847,0.4473
all_features,1.5,1.75,0.3349,0.7609,0.4927,0.5601,0.4651,0.3480,0.6451,0.4299
all_features_bcg,0,0.25,0.7473,0.8684,0.9602,0.9492,0.8033,0.8903,0.9841,0.5123
all_features_bcg,0.25,0.5,0.8663,0.8820,0.9747,0.9601,0.8740,0.9418,0.9891,0.6705
all_features_bcg,0.5,0.75,0.8868,0.9408,0.9313,0.9348,0.9130,0.9722,0.9850,0.6081
all_features_bcg,0.75,1.0,0.9128,0.9648,0.9319,0.9459,0.9381,0.9804,0.9883,0.6215
all_features_bcg,1.0,1.25,0.8780,0.9350,0.9390,0.9377,0.9056,0.9642,0.9847,0.6645
all_features_bcg,1.25,1.5,0.8479,0.9341,0.9267,0.9289,0.8889,0.9544,0.9817,0.5711
all_features_bcg,1.5,1.75,0.8036,0.9783,0.9197,0.9344,0.8824,0.9451,0.9817,0.4071
all_features_sigmas,0,0.25,0.6641,0.6658,0.9543,0.9198,0.6650,0.7048,0.9375,0.5620
all_features_sigmas,0.25,0.5,0.6595,0.7653,0.9265,0.9012,0.7085,0.7773,0.9446,0.5113
all_features_sigmas,0.5,0.75,0.7756,0.8561,0.8583,0.8575,0.8139,0.8857,0.9342,0.5552
all_features_sigmas,0.75,1.0,0.8034,0.8851,0.8398,0.8591,0.8423,0.9132,0.9378,0.5796
all_features_sigmas,1.0,1.25,0.7861,0.8213,0.8950,0.8715,0.8033,0.8724,0.9361,0.6359
all_features_sigmas,1.25,1.5,0.7892,0.8022,0.9062,0.8746,0.7956,0.8603,0.9316,0.6481
all_features_sigmas,1.5,1.75,0.7766,0.7935,0.9234,0.8907,0.7849,0.8642,0.9343,0.5818
