Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-0.25,0,0.4726,0.7448,0.6011,0.6477,0.5783,0.5445,0.7371,0.4648
all_features,0,0.25,0.4899,0.7055,0.6851,0.6912,0.5783,0.5412,0.7605,0.4795
all_features,0.25,0.5,0.4542,0.8072,0.4521,0.5803,0.5813,0.5492,0.6978,0.4478
all_features,0.5,0.75,0.3426,0.6568,0.6802,0.6754,0.4503,0.3393,0.7110,0.3820
all_features_bcg,-0.25,0,0.8987,0.9302,0.9497,0.9434,0.9142,0.9715,0.9875,0.6626
all_features_bcg,0,0.25,0.8999,0.9304,0.9556,0.9481,0.9149,0.9725,0.9890,0.6621
all_features_bcg,0.25,0.5,0.8876,0.9445,0.9325,0.9368,0.9152,0.9708,0.9854,0.6115
all_features_bcg,0.5,0.75,0.7635,0.9172,0.9279,0.9257,0.8333,0.9066,0.9760,0.4023
all_features_sigmas,-0.25,0,0.7798,0.8408,0.8861,0.8714,0.8092,0.8839,0.9418,0.5815
all_features_sigmas,0,0.25,0.7770,0.8338,0.8974,0.8783,0.8044,0.8796,0.9449,0.5815
all_features_sigmas,0.25,0.5,0.7599,0.8819,0.8427,0.8568,0.8164,0.8893,0.9366,0.5223
all_features_sigmas,0.5,0.75,0.8086,0.7751,0.9535,0.9174,0.7915,0.8588,0.9514,0.5900
