Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-0.25,0,0.4725,0.7447,0.6013,0.6478,0.5782,0.5444,0.7371,0.4648
all_features,0,0.25,0.2415,0.686,0.632,0.6399,0.3572,0.2733,0.7265,0.3134
all_features,0.25,0.5,0.4873,0.8044,0.4728,0.6001,0.6069,0.5676,0.7014,0.4717
all_features,0.5,0.75,0.4243,0.815,0.4769,0.5855,0.5581,0.5169,0.715,0.4352
all_features,0.75,1,0.3973,0.8614,0.5672,0.6404,0.5437,0.4704,0.7638,0.3657
all_features,1,1.25,0.2931,0.9444,0.4938,0.5758,0.4474,0.2236,0.6413,0.2557
all_features_bcg,-0.25,0,0.8987,0.9299,0.9497,0.9433,0.914,0.9715,0.9875,0.6626
all_features_bcg,0,0.25,0.8525,0.854,0.9748,0.9571,0.8532,0.9321,0.9879,0.6909
all_features_bcg,0.25,0.5,0.907,0.9388,0.94,0.9395,0.9226,0.9753,0.9864,0.6626
all_features_bcg,0.5,0.75,0.8805,0.9442,0.9394,0.9409,0.9112,0.9704,0.9871,0.557
all_features_bcg,0.75,1,0.9064,0.9109,0.9689,0.9544,0.9086,0.956,0.9882,0.7646
all_features_bcg,1,1.25,0.7826,1,0.9383,0.9495,0.878,0.8566,0.9712,0.3107
all_features_sigmas,-0.25,0,0.7558,0.8274,0.8718,0.8574,0.79,0.8658,0.9279,0.5537
all_features_sigmas,0,0.25,0.624,0.7184,0.9261,0.8958,0.6679,0.7166,0.9255,0.4772
all_features_sigmas,0.25,0.5,0.769,0.8506,0.8408,0.8446,0.8077,0.8831,0.9231,0.5568
all_features_sigmas,0.5,0.75,0.7409,0.8066,0.8666,0.8473,0.7723,0.8413,0.9132,0.5544
all_features_sigmas,0.75,1,0.8304,0.703,0.9525,0.8904,0.7614,0.8356,0.9141,0.7038
all_features_sigmas,1,1.25,0.8462,0.6111,0.9753,0.9091,0.7097,0.7234,0.8868,0.5397
